game_date,rows,coverage_rolling,coverage_global,coverage_raw,improvement_vs_global,improvement_vs_raw
2025-10-21,35,0.4857142857142857,0.4857142857142857,0.4857142857142857,0.0,0.0
2025-10-22,204,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.0,0.0
2025-10-23,284,0.4295774647887324,0.4295774647887324,0.4295774647887324,0.0,0.0
2025-10-24,170,0.48823529411764705,0.5058823529411764,0.5058823529411764,-0.017647058823529405,-0.017647058823529405
2025-10-25,385,0.45194805194805193,0.45714285714285713,0.45714285714285713,-0.0051948051948051965,-0.0051948051948051965
2025-10-26,313,0.44089456869009586,0.4440894568690096,0.4440894568690096,-0.003194888178913724,-0.003194888178913724
2025-10-27,137,0.45985401459854014,0.45985401459854014,0.45985401459854014,0.0,0.0
2025-10-28,385,0.44155844155844154,0.44415584415584414,0.44415584415584414,-0.0025974025974025983,-0.0025974025974025983
2025-10-29,240,0.4,0.4041666666666667,0.4041666666666667,-0.004166666666666652,-0.004166666666666652
2025-10-30,248,0.47580645161290325,0.4798387096774194,0.4798387096774194,-0.0040322580645161255,-0.0040322580645161255
2025-10-31,208,0.4567307692307692,0.4567307692307692,0.4567307692307692,0.0,0.0
2025-11-01,176,0.4602272727272727,0.4602272727272727,0.4602272727272727,0.0,0.0
2025-11-17,175,0.45714285714285713,0.45714285714285713,0.45714285714285713,0.0,0.0
2025-11-18,281,0.4377224199288256,0.4412811387900356,0.4412811387900356,-0.0035587188612100085,-0.0035587188612100085
