bucket,n_slates,mae_A_mean,mae_A_median,mae_A_std,mae_B_mean,mae_B_median,mae_B_std,mae_C_mean,mae_C_median,mae_C_std,A_better,C_better
0-10,12,4.393487185227615,3.652519156773473,2.1029115563249454,4.586125987255852,3.8709176980379607,1.5639954278854964,3.5255278614767196,2.572400067378976,2.160979591985294,True,True
10-20,12,6.350736680282452,6.368692597019448,0.8196290015711352,5.322304638192343,4.342299966134681,2.095522021442781,7.2481309998062,6.416468667313756,1.545447611211238,False,False
20-30,12,6.978915444649027,7.199654037379222,0.9575703363933344,6.384545352260827,6.141923764782787,0.7161584649341199,7.437587001332026,7.517981842387259,1.2210428602360557,False,False
30+,12,5.893075121430313,6.506179283766333,1.911494887155471,5.822199422836963,5.782565402124815,1.341170758656287,5.172301981977195,5.705657893588032,1.298941178124699,False,True
