game_date,rows,coverage_rolling,coverage_global,coverage_raw,improvement_vs_global,improvement_vs_raw
2025-10-21,35,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0,0.0
2025-10-22,204,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.0,0.0
2025-10-23,284,0.954225352112676,0.954225352112676,0.954225352112676,0.0,0.0
2025-10-24,170,0.888235294117647,0.888235294117647,0.888235294117647,0.0,0.0
2025-10-25,385,0.9376623376623376,0.9376623376623376,0.9376623376623376,0.0,0.0
2025-10-26,313,0.9137380191693291,0.9137380191693291,0.9137380191693291,0.0,0.0
2025-10-27,137,0.8467153284671532,0.8467153284671532,0.8467153284671532,0.0,0.0
2025-10-28,385,0.8961038961038961,0.9038961038961039,0.9038961038961039,-0.007792207792207795,-0.007792207792207795
2025-10-29,240,0.9541666666666667,0.9541666666666667,0.9541666666666667,0.0,0.0
2025-10-30,248,0.9717741935483871,0.9717741935483871,0.9717741935483871,0.0,0.0
2025-10-31,208,0.8846153846153846,0.8942307692307693,0.8942307692307693,-0.009615384615384692,-0.009615384615384692
2025-11-01,176,0.9545454545454546,0.9602272727272727,0.9602272727272727,-0.005681818181818121,-0.005681818181818121
2025-11-17,175,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0,0.0
2025-11-18,281,0.9466192170818505,0.9466192170818505,0.9466192170818505,0.0,0.0
