period_id,contest_id,contest_name,contest_type,entries,buyin,purse
2425,179930,NBA $1M MEGA 8's Special [$250K to 1st],4,1251,888.0,1000000.0
2425,179931,NBA $333K Zone Special [$100K to 1st],4,79270,5.0,333333.0
2425,179949,NBA $2 Double Up,1,1149,2.0,2000.0
2425,179959,NBA $15K Pull Up Jumper [$5K to 1st] (Turbo),4,1764,10.0,15000.0
2425,179960,NBA $2.1K mini-MAX [150 Entry Max] (Turbo),4,5112,0.5,2150.0
2425,179964,NBA $120K Fadeaway [$30K to 1st] (Night),4,7843,18.0,120000.0
2425,179968,NBA $5K mini-MAX [150 Entry Max] (Night),4,11890,0.5,5000.0
2425,180001,NBA Showdown $15K Pull Up Jumper [$5K to 1st] (HOU @ CLE),4,1764,10.0,15000.0
2425,180002,NBA Showdown $2.1K mini-MAX [150 Entry Max] (HOU @ CLE),4,5112,0.5,2150.0
2425,180006,NBA Showdown $8K Pull Up Jumper [$2K to 1st] (GSW @ MIA),4,941,10.0,8000.0
2425,180009,NBA Showdown $200 Dime Time [Just $0.10!] (GSW @ MIA),4,2378,0.1,200.0
2425,180010,NBA Showdown $15K Fadeaway [$5K to 1st] (NYK @ DAL),4,1176,15.0,15000.0
2425,180011,NBA Showdown $2.5K And-One (NYK @ DAL),4,2972,1.0,2500.0
2425,180014,NBA Showdown $80K Fadeaway [$20K to 1st] (CHI @ POR),4,5228,18.0,80000.0
2425,180017,NBA Showdown $3K mini-MAX [150 Entry Max] (CHI @ POR),4,7134,0.5,3000.0
