period_id,contest_id,contest_name,contest_type,entries,buyin,purse
2428,180193,NBA $30K Fadeaway [$10K to 1st] (Early),4,2352,15.0,30000.0
2428,180196,NBA $1.25K Quarter Jukebox [Just $0.25!] (Early),4,5945,0.25,1250.0
2428,180197,NBA $200K Fadeaway [$50K to 1st],4,13071,18.0,200000.0
2428,180201,NBA $2 Double Up,1,574,2.0,1000.0
2428,180203,NBA $15K mini-MAX [150 Entry Max],4,35671,0.5,15000.0
2428,180212,NBA $6K Pull Up Jumper [$2K to 1st] (Turbo),4,705,10.0,6000.0
2428,180214,NBA $400 Quarter Jukebox [Just $0.25!] (Turbo),4,1902,0.25,400.0
2428,180215,NBA $40K Fadeaway [$10K to 1st]  (Night),4,3137,15.0,40000.0
2428,180216,NBA $5K And-One (Night),4,5945,1.0,5000.0
2428,180242,NBA Showdown $6K Pull Up Jumper [$2K to 1st] (LAC @ CHA),4,705,10.0,6000.0
2428,180244,NBA Showdown $500 Quarter Jukebox [Just $0.25!] (LAC @ CHA),4,2378,0.25,500.0
2428,180245,NBA Showdown $6K Pull Up Jumper [$2K to 1st] (NYK @ ORL),4,705,10.0,6000.0
2428,180247,NBA Showdown $250 Quarter Jukebox [Just $0.25!]  (NYK @ ORL),4,1189,0.25,250.0
2428,180248,NBA Showdown $6K Pull Up Jumper [$2K to 1st] (ATL @ NOP),4,705,10.0,6000.0
2428,180249,NBA Showdown $1.25K And-One [20 Entry Max] (ATL @ NOP),4,1486,1.0,1250.0
2428,180251,NBA Showdown $80K Fadeaway [$20K to 1st] (SAC @ DEN),4,5228,18.0,80000.0
2428,180254,NBA Showdown $2.5K mini-MAX [150 Entry Max] (SAC @ DEN),4,5945,0.5,2500.0
