period_id,contest_id,contest_name,contest_type,entries,buyin,purse
2415,179126,NBA $150K Fadeaway [$50K to 1st],4,9803,18.0,150000.0
2415,179127,NBA $15K mini-MAX [150 Entry Max],4,35671,0.5,15000.0
2415,179135,NBA $2 Double Up,1,574,2.0,1000.0
2415,179136,NBA $2.1K mini-MAX [150 Entry Max] (Night),4,5112,0.5,2150.0
2415,179138,NBA $30K Fadeaway [$10K to 1st] (Night),4,2352,15.0,30000.0
2415,179160,NBA Showdown $2K And-One (HOU @ MIL),4,2378,1.0,2000.0
2415,179161,NBA Showdown $15K Fadeaway [$5K to 1st] (HOU @ MIL),4,1176,15.0,15000.0
2415,179164,NBA Showdown $300 Quarter Jukebox [Just $0.25!]  (OKC @ MEM),4,1426,0.25,300.0
2415,179166,NBA Showdown $6K Pull Up Jumper [$2K to 1st] (OKC @ MEM),4,705,10.0,6000.0
2415,179167,NBA Showdown $300 Quarter Jukebox [Just $0.25!]  (DET @ PHI),4,1426,0.25,300.0
2415,179168,NBA Showdown $4K Pull Up Jumper [$1K to 1st] (DET @ PHI),4,470,10.0,4000.0
2415,179172,NBA Showdown $50K Fadeaway [$10K to 1st]  (MIN @ SAC),4,3921,15.0,50000.0
2415,179175,NBA Showdown $6K And-One (MIN @ SAC),4,7134,1.0,6000.0
