period_id,contest_id,contest_name,contest_type,entries,buyin,purse
2431,180397,NBA $300K Fadeaway [$100K to 1st],4,19607,18.0,300000.0
2431,180402,NBA $30K mini-MAX [150 Entry Max],4,71343,0.5,30000.0
2431,180411,NBA $2 Double Up,1,1149,2.0,2000.0
2431,180419,NBA $50K Fadeaway [$10K to 1st]  (Night),4,3921,15.0,50000.0
2431,180420,NBA $5K And-One (Night),4,5945,1.0,5000.0
2431,180441,NBA Showdown $8K Pull Up Jumper [$2K to 1st] (ATL @ WAS),4,941,10.0,8000.0
2431,180442,NBA Showdown $2.1K mini-MAX [150 Entry Max] (ATL @ WAS),4,5112,0.5,2150.0
2431,180446,NBA Showdown $15K Fadeaway [$5K to 1st] (ORL @ PHI),4,1176,15.0,15000.0
2431,180447,NBA Showdown $2K And-One (ORL @ PHI),4,2378,1.0,2000.0
2431,180450,NBA Showdown $150K Fadeaway [$50K to 1st] (LAC @ LAL),4,9803,18.0,150000.0
2431,180452,NBA Showdown $12.5K And-One [20 Entry Max] (LAC @ LAL),4,14863,1.0,12500.0
