period_id,contest_id,contest_name,contest_type,entries,buyin,purse
2408,178572,NBA $2 Double Up,1,574,2.0,1000.0
2408,178576,NBA $150K Fadeaway [$50K to 1st],4,9803,18.0,150000.0
2408,178577,NBA $15K mini-MAX [150 Entry Max],4,35671,0.5,15000.0
2408,178578,NBA $30K Fadeaway [$10K to 1st] (Night),4,2352,15.0,30000.0
2408,178581,NBA $2.1K mini-MAX [150 Entry Max] (Night),4,5112,0.5,2150.0
2408,178602,NBA Showdown $1K Quarter Jukebox [Just $0.25!]  (NOP @ OKC),4,4756,0.25,1000.0
2408,178604,NBA Showdown $15K Fadeaway [$5K to 1st] (NOP @ OKC),4,1176,15.0,15000.0
2408,178606,NBA Showdown $6K Pull Up Jumper [$2K to 1st] (ATL @ CLE),4,705,10.0,6000.0
2408,178608,NBA Showdown $200 Dime Time [Just $0.10!] (ATL @ CLE),4,2378,0.1,200.0
2408,178610,NBA Showdown $200 Dime Time [Just $0.10!] (CHI @ NYK),4,2378,0.1,200.0
2408,178612,NBA Showdown $4K Pull Up Jumper [$1K to 1st] (CHI @ NYK),4,470,10.0,4000.0
2408,178617,NBA Showdown $5K And-One (MIA @ LAL),4,5945,1.0,5000.0
2408,178618,NBA Showdown $60K Fadeaway [$20K to 1st] (MIA @ LAL),4,4705,15.0,60000.0
