player_name,team,pos,salary,proj_own_pct,proj_fpts,scored_fpts,floor_fpts,ceil_fpts,conf,value_per_k,game_id,home_team,away_team,matchup,game_ticks,ppg,opp_rank,opp_total,sport,site,slate_id,scraped_at,player_id,salary_id,daily_contest_id
Donte DiVincenzo,MIN,PG/SG,5200,30.6,33.57,24.75,14.05,34.8,85.0,6.4557692307692305,15308,MIN,DEN,DEN@MIN 6:30 PM,/Date(1761604200000-0400)/,24.0,3.0,30.0,NBA,DraftKings,2402,2025-12-07T16:30:39.252882+00:00,988,1458486,0
Royce O'Neale,PHX,SF/PF,4400,24.1,29.04,55.75,9.74,27.73,82.0,6.6,15303,UTA,UTA,PHX@UTA 6:00 PM,/Date(1761602400000-0400)/,21.3,13.0,30.0,NBA,DraftKings,2402,2025-12-07T16:30:39.252882+00:00,928,1458530,0
Victor Wembanyama,SAS,C,11000,22.0,58.32,52.25,45.87,66.85,89.0,5.301818181818182,15309,SAS,TOR,TOR@SAS 5:00 PM,/Date(1761598800000-0400)/,70.7,20.0,30.0,NBA,DraftKings,2402,2025-12-07T16:30:39.252882+00:00,1710,1458404,0
Matas Buzelis,CHI,PF,5300,21.6,30.54,27.25,15.64,39.42,78.0,5.7622641509433965,15306,CHI,ATL,ATL@CHI 5:00 PM,/Date(1761598800000-0400)/,21.1,30.0,30.0,NBA,DraftKings,2402,2025-12-07T16:30:39.252882+00:00,1770,1458485,0
Tre Jones,CHI,PG,5000,20.8,28.84,42.25,19.73,39.36,87.0,5.768,15306,CHI,ATL,ATL@CHI 5:00 PM,/Date(1761598800000-0400)/,35.5,17.0,30.0,NBA,DraftKings,2402,2025-12-07T16:30:39.252882+00:00,1357,1458491,0
Adem Bona,PHI,C,3800,20.2,22.52,19.5,17.13,38.28,77.0,5.926315789473684,15302,PHI,ORL,ORL@PHI 4:00 PM,/Date(1761595200000-0400)/,5.4,9.0,30.0,NBA,DraftKings,2402,2025-12-07T16:30:39.252882+00:00,1762,1458558,0
Anthony Davis,DAL,PF/C,10000,20.1,50.39,47.75,28.98,65.39,90.0,5.039,15301,DAL,OKC,OKC@DAL 5:30 PM,/Date(1761600600000-0400)/,52.2,11.0,30.0,NBA,DraftKings,2402,2025-12-07T16:30:39.252882+00:00,387,1458406,0
Jaden McDaniels,MIN,SF/PF,5300,19.3,29.46,37.75,18.79,36.74,85.0,5.558490566037737,15308,MIN,DEN,DEN@MIN 6:30 PM,/Date(1761604200000-0400)/,25.0,16.0,30.0,NBA,DraftKings,2402,2025-12-07T16:30:39.252882+00:00,1370,1458483,0
Collin Gillespie,PHX,PG,3700,18.8,23.62,48.25,13.04,33.27,69.0,6.383783783783784,15303,UTA,UTA,PHX@UTA 6:00 PM,/Date(1761602400000-0400)/,20.4,29.0,30.0,NBA,DraftKings,2402,2025-12-07T16:30:39.252882+00:00,1612,1458566,0
Saddiq Bey,NOP,SF/PF,4600,18.1,26.74,17.5,19.79,36.61,85.0,5.8130434782608695,15304,NOP,BOS,BOS@NOP 5:00 PM,/Date(1761598800000-0400)/,22.4,21.0,30.0,NBA,DraftKings,2402,2025-12-07T16:30:39.252882+00:00,1296,1458517,0
Josh Okogie,HOU,SG/SF,3500,17.7,18.56,16.5,10.58,26.95,72.0,5.3028571428571425,15307,HOU,BKN,BKN@HOU 5:00 PM,/Date(1761598800000-0400)/,15.5,16.0,30.0,NBA,DraftKings,2402,2025-12-07T16:30:39.252882+00:00,1068,1458574,0
