period_id,contest_id,contest_name,contest_type,entries,buyin,purse
2400,177894,NBA $200K Fadeaway [$50K to 1st],4,15686,15.0,200000.0
2400,177898,NBA $2 Double Up,1,1149,2.0,2000.0
2400,177902,NBA $25K And-One [20 Entry Max],4,29726,1.0,25000.0
2400,177910,NBA $5K And-One (Night),4,5945,1.0,5000.0
2400,177914,NBA $40K Fadeaway [$10K to 1st]  (Night),4,3137,15.0,40000.0
2400,177939,NBA Showdown $15K Pull Up Jumper [$5K to 1st] (CHI @ ORL),4,1764,10.0,15000.0
2400,177941,NBA Showdown $500 Quarter Jukebox [Just $0.25!] (CHI @ ORL),4,2378,0.25,500.0
2400,177944,NBA Showdown $8K Pull Up Jumper [$2K to 1st] (OKC @ ATL),4,941,10.0,8000.0
2400,177945,NBA Showdown $400 Quarter Jukebox [Just $0.25!] (OKC @ ATL),4,1902,0.25,400.0
2400,177947,NBA Showdown $3K mini-MAX [150 Entry Max] (PHX @ DEN),4,7134,0.5,3000.0
2400,177951,NBA Showdown $70K Fadeaway [$20K to 1st] (PHX @ DEN),4,5490,15.0,70000.0
