period_id,contest_id,contest_name,contest_type,entries,buyin,purse
2411,178811,NBA $400K SLAM Jam [$100K to 1st],4,2002,222.0,400000.0
2411,178820,NBA $2 Double Up,1,1724,2.0,3000.0
2411,178821,NBA $333K Zone Special [$100K to 1st],4,79270,5.0,333333.0
2411,178835,NBA $10K Pull Up Jumper [$2K to 1st] (Turbo),4,1176,10.0,10000.0
2411,178837,NBA $2.1K mini-MAX [150 Entry Max] (Turbo),4,5112,0.5,2150.0
2411,178840,NBA $15K Pull Up Jumper [$5K to 1st] (Turbo),4,1764,10.0,15000.0
2411,178843,NBA $2.1K mini-MAX [150 Entry Max] (Turbo),4,5112,0.5,2150.0
2411,178847,NBA $150K Fadeaway [$50K to 1st] (Night),4,9803,18.0,150000.0
2411,178851,NBA $5K mini-MAX [150 Entry Max] (Night),4,11890,0.5,5000.0
2411,178888,NBA Showdown $10K Pull Up Jumper [$2K to 1st] (PHI @ CLE),4,1176,10.0,10000.0
2411,178889,NBA Showdown $2.1K mini-MAX [150 Entry Max] (PHI @ CLE),4,5112,0.5,2150.0
2411,178893,NBA Showdown $15K Pull Up Jumper [$5K to 1st] (MIN @ NYK),4,1764,10.0,15000.0
2411,178896,NBA Showdown $200 Dime Time [Just $0.10!] (MIN @ NYK),4,2378,0.1,200.0
2411,178897,NBA Showdown $200 Dime Time [Just $0.10!] (MIA @ DEN),4,2378,0.1,200.0
2411,178900,NBA Showdown $10K Pull Up Jumper [$2K to 1st] (MIA @ DEN),4,1176,10.0,10000.0
2411,178901,NBA Showdown $8K And-One (SAS @ LAL),4,9512,1.0,8000.0
2411,178904,NBA Showdown $80K Fadeaway [$20K to 1st] (SAS @ LAL),4,6274,15.0,80000.0
