period_id,contest_id,contest_name,contest_type,entries,buyin,purse
2433,180572,NBA $300K Fadeaway [$100K to 1st],4,23529,15.0,300000.0
2433,180577,NBA $25K mini-MAX [150 Entry Max],4,59453,0.5,25000.0
2433,180586,NBA $2 Double Up,1,1724,2.0,3000.0
2433,180596,NBA $150K Fadeaway [$50K to 1st] (Night),4,9803,18.0,150000.0
2433,180626,NBA Showdown $10K Pull Up Jumper [$2K to 1st] (MIL @ NYK),4,1176,10.0,10000.0
2433,180627,NBA Showdown $2.1K mini-MAX [150 Entry Max] (MIL @ NYK),4,5112,0.5,2150.0
2433,180631,NBA Showdown $10K Fadeaway [$2K to 1st] (PHX @ OKC),4,784,15.0,10000.0
2433,180632,NBA Showdown $2K And-One (PHX @ OKC),4,2378,1.0,2000.0
2433,180635,NBA Showdown $100K Fadeaway [$20K to 1st] (DAL @ LAL),4,6535,18.0,100000.0
2433,180639,NBA Showdown $3K mini-MAX [150 Entry Max] (DAL @ LAL),4,7134,0.5,3000.0
