player_name,team,pos,salary,actual_own_pct,contest_id,sport,site,slate_id,scraped_at,player_id,salary_id
Ryan Rollins,MIL,PG,6100,87.59,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,1571,1470979
Paul Reed,DET,C,3900,87.18,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,1283,1471072
Daniss Jenkins,DET,PG,4100,83.64,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,1776,1471063
De'Andre Hunter,CLE,SF,6500,71.46,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,1152,1470968
Kyle Kuzma,MIL,SF/PF,5200,68.5,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,877,1471010
Alperen Sengun,HOU,C,9300,51.62,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,1436,1470923
Deni Avdija,POR,PF,8700,50.93,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,1317,1470930
Kevin Durant,HOU,SF,8000,46.98,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,535,1470940
Victor Wembanyama,SAS,C,11600,35.03,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,1710,1470917
Sam Merrill,CLE,SG,4500,32.95,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,1300,1471051
Kon Knueppel,CHA,SG/SF,6600,29.99,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,1913,1470963
Ronald Holland II,DET,SF/PF,4800,24.54,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,1773,1471026
Javonte Green,DET,SG/SF,4700,18.91,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,1108,1471036
Lonzo Ball,CLE,PG/SG,4500,9.63,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,878,1471050
Miles Bridges,CHA,PF,8600,6.67,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,1006,1470931
Jarrett Allen,CLE,C,6300,5.97,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,814,1470975
Cedric Coward,MEM,SG/SF,6000,5.97,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,1947,1470986
Devin Booker,PHX,PG,9400,4.47,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,346,1470922
Jaylen Brown,BOS,SF,8500,3.77,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,658,1470933
Jaime Jaquez Jr.,MIA,SG/SF,7300,3.25,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,1673,1470953
Desmond Bane,ORL,SG,6200,3.19,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,1362,1470976
Kevin Huerter,CHI,SG/SF,5500,2.44,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,990,1471002
Karl-Anthony Towns,NYK,PF,9000,2.44,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,512,1470926
Bobby Portis,MIL,PF/C,5500,2.32,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,114,1471001
Cam Spencer,MEM,PG/SG,4000,2.26,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,1835,1471068
Jalen Suggs,ORL,PG,4700,2.09,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,1417,1471039
Trey Murphy III,NOP,SG,7800,1.97,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,1431,1470943
Cooper Flagg,DAL,SG,6900,1.97,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,1940,1470958
Stephon Castle,SAS,SG,7600,1.91,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,1828,1470945
Payton Pritchard,BOS,PG/SG,6100,1.68,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,1277,1470980
Amen Thompson,HOU,PG,8100,1.45,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,1709,1470939
Royce O'Neale,PHX,SF/PF,5200,1.33,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,928,1471009
Caris LeVert,DET,PG/SG,4900,99.0,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,664,1471024
Nikola Vucevic,CHI,C,7900,93.0,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,251,1470942
Myles Turner,MIL,C,6200,87.0,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,175,1470977
Andrew Wiggins,MIA,PF,6800,87.0,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,513,1470959
Josh Hart,NYK,SF/PF,5600,81.0,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,875,1470998
Toumani Camara,POR,SF,5800,81.0,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,1725,1470989
Craig Porter Jr.,CLE,PG,3200,81.0,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,1653,1471113
Derrick White,BOS,PG,7300,75.0,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,902,1470952
Santi Aldama,MEM,PF/C,5600,70.0,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,1441,1470997
Matas Buzelis,CHI,PF,5800,70.0,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,1770,1470990
Jabari Smith Jr.,HOU,PF,5200,64.0,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,1594,1471008
Brandon Williams,DAL,PG,4700,57.99999999999999,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,1513,1471037
Norman Powell,MIA,SG,7200,57.99999999999999,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,91,1470954
Stephen Curry,GSW,PG,8800,46.0,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,296,1470929
Paolo Banchero,ORL,PF,9200,41.0,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,1561,1470924
Tre Jones,CHI,PG,6400,41.0,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,1357,1470973
Mikal Bridges,NYK,SG,6500,28.999999999999996,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,1028,1470970
Saddiq Bey,NOP,SF/PF,4800,28.999999999999996,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,1296,1471028
Mitchell Robinson,NYK,C,4100,17.0,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,963,1471062
Isaac Okoro,CHI,SF,3900,12.0,179368,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,1291,1471075
Paul Reed,DET,C,3900,50.64,179371,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,1283,1471072
Ryan Rollins,MIL,PG,6100,46.26,179371,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,1571,1470979
Daniss Jenkins,DET,PG,4100,42.11,179371,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,1776,1471063
De'Andre Hunter,CLE,SF,6500,34.41,179371,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,1152,1470968
Kyle Kuzma,MIL,SF/PF,5200,34.27,179371,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,877,1471010
Kon Knueppel,CHA,SG/SF,6600,32.33,179371,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,1913,1470963
Deni Avdija,POR,PF,8700,28.29,179371,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,1317,1470930
Jarrett Allen,CLE,C,6300,25.69,179371,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,814,1470975
Alperen Sengun,HOU,C,9300,24.58,179371,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,1436,1470923
Miles Bridges,CHA,PF,8600,22.94,179371,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,1006,1470931
Victor Wembanyama,SAS,C,11600,22.91,179371,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,1710,1470917
Ronald Holland II,DET,SF/PF,4800,21.87,179371,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,1773,1471026
Sam Merrill,CLE,SG,4500,20.38,179371,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,1300,1471051
Lonzo Ball,CLE,PG/SG,4500,14.77,179371,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,878,1471050
Bobby Portis,MIL,PF/C,5500,12.78,179371,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,114,1471001
Jaylen Brown,BOS,SF,8500,12.68,179371,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,658,1470933
Jaime Jaquez Jr.,MIA,SG/SF,7300,12.57,179371,NBA,DraftKings,2418,2025-12-07T16:32:54.775013+00:00,1673,1470953
