player_name,team,pos,salary,proj_own_pct,proj_fpts,scored_fpts,floor_fpts,ceil_fpts,conf,value_per_k,game_id,home_team,away_team,matchup,game_ticks,ppg,opp_rank,opp_total,sport,site,slate_id,scraped_at,player_id,salary_id,daily_contest_id
Tyrese Martin,BKN,SG/SF,3600,37.2,21.96,19.75,11.04,26.34,75.0,6.1,15354,BKN,MIN,MIN@BKN 4:00 PM,/Date(1762203600000-0500)/,15.0,29.0,30.0,NBA,DraftKings,2409,2025-12-07T16:31:42.517638+00:00,1553,1463953,0
Tari Eason,HOU,SF/PF,4600,36.5,31.05,30.0,13.04,32.03,86.0,6.750000000000001,15359,HOU,DAL,DAL@HOU 5:00 PM,/Date(1762207200000-0500)/,23.4,19.0,30.0,NBA,DraftKings,2409,2025-12-07T16:31:42.517638+00:00,1592,1463909,0
Quenton Jackson,IND,PG/SG,4700,36.4,28.14,15.0,0.0,30.92,60.0,5.987234042553191,15353,IND,MIL,MIL@IND 4:00 PM,/Date(1762203600000-0500)/,26.4,22.0,30.0,NBA,DraftKings,2409,2025-12-07T16:31:42.517638+00:00,1564,1463905,0
Derrick White,BOS,PG,7200,29.7,39.0,35.75,23.14,42.7,88.0,5.416666666666667,15360,BOS,UTA,UTA@BOS 4:30 PM,/Date(1762205400000-0500)/,31.0,13.0,30.0,NBA,DraftKings,2409,2025-12-07T16:31:42.517638+00:00,902,1463841,0
Karl-Anthony Towns,NYK,PF,8500,26.0,48.67,62.25,34.25,50.94,88.0,5.725882352941177,15357,NYK,WAS,WAS@NYK 4:30 PM,/Date(1762205400000-0500)/,43.0,28.0,30.0,NBA,DraftKings,2409,2025-12-07T16:31:42.517638+00:00,512,1463833,0
Ryan Rollins,MIL,PG,5800,24.0,33.26,26.25,9.92,40.01,68.0,5.73448275862069,15353,IND,IND,MIL@IND 4:00 PM,/Date(1762203600000-0500)/,35.9,28.0,30.0,NBA,DraftKings,2409,2025-12-07T16:31:42.517638+00:00,1571,1463870,0
Giannis Antetokounmpo,MIL,PF,11800,23.0,58.13,61.25,57.43,79.14,91.0,4.926271186440678,15353,IND,IND,MIL@IND 4:00 PM,/Date(1762203600000-0500)/,66.1,21.0,30.0,NBA,DraftKings,2409,2025-12-07T16:31:42.517638+00:00,178,1463822,0
Jusuf Nurkic,UTA,C,4800,22.9,29.18,32.75,16.38,34.18,82.0,6.079166666666667,15360,BOS,BOS,UTA@BOS 4:30 PM,/Date(1762205400000-0500)/,22.6,18.0,30.0,NBA,DraftKings,2409,2025-12-07T16:31:42.517638+00:00,494,1463902,0
Cam Whitmore,WAS,SF/PF,3400,19.8,17.94,2.25,1.8,27.26,76.0,5.276470588235295,15357,NYK,NYK,WAS@NYK 4:30 PM,/Date(1762205400000-0500)/,16.9,11.0,30.0,NBA,DraftKings,2409,2025-12-07T16:31:42.517638+00:00,1708,1463969,0
Cam Thomas,BKN,SG,6800,19.3,36.14,36.0,23.23,45.15,81.0,5.314705882352942,15354,BKN,MIN,MIN@BKN 4:00 PM,/Date(1762203600000-0500)/,31.5,6.0,30.0,NBA,DraftKings,2409,2025-12-07T16:31:42.517638+00:00,1390,1463849,0
Noah Clowney,BKN,PF/C,3800,18.5,21.55,29.0,7.66,22.76,74.0,5.671052631578948,15354,BKN,MIN,MIN@BKN 4:00 PM,/Date(1762203600000-0500)/,11.6,13.0,30.0,NBA,DraftKings,2409,2025-12-07T16:31:42.517638+00:00,1638,1463944,0
Taylor Hendricks,UTA,SF/PF,3400,16.0,18.89,6.75,8.18,26.85,78.0,5.555882352941177,15360,BOS,BOS,UTA@BOS 4:30 PM,/Date(1762205400000-0500)/,13.0,16.0,30.0,NBA,DraftKings,2409,2025-12-07T16:31:42.517638+00:00,1732,1463968,0
Jaylen Brown,BOS,SF,8300,15.5,41.8,47.0,28.65,47.72,88.0,5.036144578313253,15360,BOS,UTA,UTA@BOS 4:30 PM,/Date(1762205400000-0500)/,39.1,10.0,30.0,NBA,DraftKings,2409,2025-12-07T16:31:42.517638+00:00,658,1463835,0
Payton Pritchard,BOS,PG/SG,6300,15.3,33.73,30.25,13.23,34.36,79.0,5.353968253968254,15360,BOS,UTA,UTA@BOS 4:30 PM,/Date(1762205400000-0500)/,31.2,30.0,30.0,NBA,DraftKings,2409,2025-12-07T16:31:42.517638+00:00,1277,1463861,0
Terance Mann,BKN,SF,4100,15.3,22.91,21.5,10.99,27.76,81.0,5.587804878048781,15354,BKN,MIN,MIN@BKN 4:00 PM,/Date(1762203600000-0500)/,24.1,30.0,30.0,NBA,DraftKings,2409,2025-12-07T16:31:42.517638+00:00,1185,1463929,0
Nikola Jokic,DEN,C,12000,14.8,60.15,78.75,47.36,73.42,92.0,5.0125,15358,DEN,SAC,SAC@DEN 6:00 PM,/Date(1762210800000-0500)/,62.7,9.0,30.0,NBA,DraftKings,2409,2025-12-07T16:31:42.517638+00:00,489,1463821,0
Tobias Harris,DET,PF,5800,14.2,0.0,0.0,0.0,0.0,0.0,0.0,15355,MEM,MEM,DET@MEM 5:00 PM,/Date(1762207200000-0500)/,27.3,19.0,30.0,NBA,DraftKings,2409,2025-12-07T16:31:42.517638+00:00,241,1463871,0
CJ McCollum,WAS,PG,5900,12.5,28.76,9.75,17.76,42.15,87.0,4.874576271186441,15357,NYK,NYK,WAS@NYK 4:30 PM,/Date(1762205400000-0500)/,26.2,25.0,30.0,NBA,DraftKings,2409,2025-12-07T16:31:42.517638+00:00,527,1463866,0
Lauri Markkanen,UTA,SF,8100,12.2,38.57,33.25,20.29,50.61,88.0,4.761728395061729,15360,BOS,BOS,UTA@BOS 4:30 PM,/Date(1762205400000-0500)/,48.8,22.0,30.0,NBA,DraftKings,2409,2025-12-07T16:31:42.517638+00:00,832,1463836,0
Cade Cunningham,DET,PG,10000,12.0,52.32,53.25,40.91,62.34,89.0,5.232,15355,MEM,MEM,DET@MEM 5:00 PM,/Date(1762207200000-0500)/,47.8,21.0,30.0,NBA,DraftKings,2409,2025-12-07T16:31:42.517638+00:00,1409,1463824,0
Alexandre Sarr,WAS,C,6700,11.9,32.25,44.5,20.77,42.55,87.0,4.813432835820896,15357,NYK,NYK,WAS@NYK 4:30 PM,/Date(1762205400000-0500)/,38.4,2.0,30.0,NBA,DraftKings,2409,2025-12-07T16:31:42.517638+00:00,1794,1463851,0
Jaren Jackson Jr.,MEM,PF,8400,11.7,36.45,33.0,21.8,37.6,87.0,4.339285714285714,15355,MEM,DET,DET@MEM 5:00 PM,/Date(1762207200000-0500)/,29.9,27.0,30.0,NBA,DraftKings,2409,2025-12-07T16:31:42.517638+00:00,1059,1463834,0
