player_name,team,pos,salary,proj_own_pct,proj_fpts,scored_fpts,floor_fpts,ceil_fpts,conf,value_per_k,game_id,home_team,away_team,matchup,game_ticks,ppg,opp_rank,opp_total,sport,site,slate_id,scraped_at,player_id,salary_id,daily_contest_id
D'Angelo Russell,LAL,PG,4900,39.8,32.16,18.75,18.98,31.65,86.0,6.563265306122448,14245,MIA,MIA,LAL@MIA 4:30 PM,/Date(1733347800000-0500)/,25.4,22.0,30.0,NBA,DraftKings,2223,2025-09-18T02:59:32.596795+00:00,339,1347200,0
Kristaps Porzingis,BOS,C,7000,33.7,40.34,44.75,20.99,47.54,86.0,5.762857142857143,14244,BOS,DET,DET@BOS 4:30 PM,/Date(1733347800000-0500)/,35.8,23.0,30.0,NBA,DraftKings,2223,2025-09-18T02:59:32.596795+00:00,52,1347169,0
Derrick White,BOS,PG/SG,6600,32.5,35.84,46.5,27.83,44.42,87.0,5.4303030303030315,14244,BOS,DET,DET@BOS 4:30 PM,/Date(1733347800000-0500)/,36.0,24.0,30.0,NBA,DraftKings,2223,2025-09-18T02:59:32.596795+00:00,902,1347173,0
Payton Pritchard,BOS,PG/SG,5500,29.8,32.36,33.75,17.33,40.01,77.0,5.883636363636364,14244,BOS,DET,DET@BOS 4:30 PM,/Date(1733347800000-0500)/,28.5,1.0,30.0,NBA,DraftKings,2223,2025-09-18T02:59:32.596795+00:00,1277,1347189,0
Jaylen Brown,BOS,SG/SF,8200,29.3,44.88,53.5,35.3,50.14,88.0,5.4731707317073175,14244,BOS,DET,DET@BOS 4:30 PM,/Date(1733347800000-0500)/,42.7,10.0,30.0,NBA,DraftKings,2223,2025-09-18T02:59:32.596795+00:00,658,1347157,0
Jordan Miller,LAC,SG/SF,3000,29.0,17.79,14.5,2.22,18.06,68.0,5.93,14243,LAC,MIN,MIN@LAC 7:30 PM,/Date(1733358600000-0500)/,11.7,19.0,30.0,NBA,DraftKings,2223,2025-09-18T02:59:32.596795+00:00,1686,1347293,0
Giannis Antetokounmpo,MIL,PF/C,12100,27.9,60.01,53.75,47.65,75.81,90.0,4.959504132231405,14242,MIL,ATL,ATL@MIL 5:00 PM,/Date(1733349600000-0500)/,61.2,20.0,30.0,NBA,DraftKings,2223,2025-09-18T02:59:32.596795+00:00,178,1347142,0
Sam Hauser,BOS,SF/PF,4500,26.3,24.69,27.75,10.82,22.77,78.0,5.486666666666667,14244,BOS,DET,DET@BOS 4:30 PM,/Date(1733347800000-0500)/,16.9,10.0,30.0,NBA,DraftKings,2223,2025-09-18T02:59:32.596795+00:00,1449,1347214,0
Trae Young,ATL,PG,8800,20.3,46.09,30.5,31.56,56.37,90.0,5.2375,14242,MIL,MIL,ATL@MIL 5:00 PM,/Date(1733349600000-0500)/,46.9,28.0,30.0,NBA,DraftKings,2223,2025-09-18T02:59:32.596795+00:00,992,1347154,0
Derrick Jones Jr.,LAC,PF,3700,15.8,20.73,24.0,11.26,26.46,78.0,5.602702702702703,14243,LAC,MIN,MIN@LAC 7:30 PM,/Date(1733358600000-0500)/,18.8,12.0,30.0,NBA,DraftKings,2223,2025-09-18T02:59:32.596795+00:00,744,1347250,0
Franz Wagner,ORL,SF/PF,9800,15.1,45.61,47.25,39.13,58.71,89.0,4.654081632653061,14246,PHI,PHI,ORL@PHI 4:30 PM,/Date(1733347800000-0500)/,44.0,9.0,30.0,NBA,DraftKings,2223,2025-09-18T02:59:32.596795+00:00,1418,1347146,0
Quenton Jackson,IND,SG/SF,3600,14.4,18.95,2.0,3.46,22.5,71.0,5.263888888888888,14247,BKN,BKN,IND@BKN 4:30 PM,/Date(1733347800000-0500)/,15.2,16.0,30.0,NBA,DraftKings,2223,2025-09-18T02:59:32.596795+00:00,1564,1347251,0
Kris Dunn,LAC,PG/SG,4000,14.0,23.61,10.5,11.86,25.8,82.0,5.9025,14243,LAC,MIN,MIN@LAC 7:30 PM,/Date(1733358600000-0500)/,19.2,11.0,30.0,NBA,DraftKings,2223,2025-09-18T02:59:32.596795+00:00,782,1347236,0
Al Horford,BOS,PF/C,4900,13.7,22.91,28.0,14.84,32.03,85.0,4.6755102040816325,14244,BOS,DET,DET@BOS 4:30 PM,/Date(1733347800000-0500)/,23.4,14.0,30.0,NBA,DraftKings,2223,2025-09-18T02:59:32.596795+00:00,200,1347201,0
Jalen Suggs,ORL,PG,6600,13.6,32.17,34.5,17.04,38.27,83.0,4.874242424242425,14246,PHI,PHI,ORL@PHI 4:30 PM,/Date(1733347800000-0500)/,30.7,23.0,30.0,NBA,DraftKings,2223,2025-09-18T02:59:32.596795+00:00,1417,1347177,0
