player_name,team,pos,salary,proj_own_pct,proj_fpts,scored_fpts,floor_fpts,ceil_fpts,conf,value_per_k,game_id,home_team,away_team,matchup,game_ticks,ppg,opp_rank,opp_total,sport,site,slate_id,scraped_at,player_id,salary_id,daily_contest_id
Jonathan Kuminga,GSW,PF,5700,38.0,32.51,33.75,18.94,36.69,85.0,5.703508771929824,15142,GSW,DAL,DAL@GSW 5:30 PM,/Date(1734301800000-0500)/,26.5,15.0,30.0,NBA,DraftKings,2343,2025-09-18T03:02:28.930926+00:00,1424,1353278,0
Buddy Hield,GSW,SG,4800,32.6,26.35,12.5,10.22,28.06,82.0,5.489583333333334,15142,GSW,DAL,DAL@GSW 5:30 PM,/Date(1734301800000-0500)/,24.5,5.0,30.0,NBA,DraftKings,2343,2025-09-18T03:02:28.930926+00:00,749,1353305,0
Jayson Tatum,BOS,SF/PF,9900,27.6,48.71,46.5,43.83,61.08,90.0,4.92020202020202,15145,WAS,WAS,BOS@WAS 3:00 PM,/Date(1734292800000-0500)/,52.6,17.0,30.0,NBA,DraftKings,2343,2025-09-18T03:02:28.930926+00:00,802,1353239,0
Justin Champagnie,WAS,SF,4800,23.4,26.84,47.0,5.61,32.32,69.0,5.591666666666667,15145,WAS,BOS,BOS@WAS 3:00 PM,/Date(1734292800000-0500)/,22.1,1.0,30.0,NBA,DraftKings,2343,2025-09-18T03:02:28.930926+00:00,1454,1353304,0
Luka Doncic,DAL,PG,11500,22.8,56.18,94.25,44.86,68.11,91.0,4.885217391304348,15142,GSW,GSW,DAL@GSW 5:30 PM,/Date(1734301800000-0500)/,56.3,11.0,30.0,NBA,DraftKings,2343,2025-09-18T03:02:28.930926+00:00,1044,1353235,0
Jrue Holiday,BOS,PG,5100,22.3,27.32,16.25,21.62,34.59,86.0,5.35686274509804,15145,WAS,WAS,BOS@WAS 3:00 PM,/Date(1734292800000-0500)/,26.6,29.0,30.0,NBA,DraftKings,2343,2025-09-18T03:02:28.930926+00:00,393,1353295,0
Goga Bitadze,ORL,C,5500,20.5,29.65,29.25,17.39,39.36,76.0,5.390909090909091,15147,ORL,NYK,NYK@ORL 3:00 PM,/Date(1734292800000-0500)/,25.9,5.0,30.0,NBA,DraftKings,2343,2025-09-18T03:02:28.930926+00:00,1144,1353286,0
Bilal Coulibaly,WAS,SF,5200,19.0,27.53,35.75,17.53,36.59,80.0,5.2942307692307695,15145,WAS,BOS,BOS@WAS 3:00 PM,/Date(1734292800000-0500)/,28.0,1.0,30.0,NBA,DraftKings,2343,2025-09-18T03:02:28.930926+00:00,1676,1353292,0
Mike Conley,MIN,PG,4700,18.0,25.05,31.25,15.62,31.29,88.0,5.329787234042553,15141,SAS,SAS,MIN@SAS 4:00 PM,/Date(1734296400000-0500)/,23.0,15.0,30.0,NBA,DraftKings,2343,2025-09-18T03:02:28.930926+00:00,463,1353308,0
Jalen Suggs,ORL,PG,7400,18.0,38.04,34.75,18.0,42.59,83.0,5.14054054054054,15147,ORL,NYK,NYK@ORL 3:00 PM,/Date(1734292800000-0500)/,32.1,4.0,30.0,NBA,DraftKings,2343,2025-09-18T03:02:28.930926+00:00,1417,1353254,0
Kevin Durant,PHX,PF/C,8700,17.5,44.89,41.25,34.46,53.13,91.0,5.159770114942529,15143,PHX,POR,POR@PHX 5:00 PM,/Date(1734300000000-0500)/,43.1,10.0,30.0,NBA,DraftKings,2343,2025-09-18T03:02:28.930926+00:00,535,1353247,0
Dereck Lively II,DAL,C,5100,16.9,26.73,24.25,17.54,32.77,83.0,5.241176470588235,15142,GSW,GSW,DAL@GSW 5:30 PM,/Date(1734301800000-0500)/,26.0,6.0,30.0,NBA,DraftKings,2343,2025-09-18T03:02:28.930926+00:00,1702,1353296,0
Brandon Clarke,MEM,PF/C,4300,14.2,20.83,12.25,13.86,28.61,79.0,4.844186046511628,15144,LAL,LAL,MEM@LAL 6:30 PM,/Date(1734305400000-0500)/,17.6,19.0,30.0,NBA,DraftKings,2343,2025-09-18T03:02:28.930926+00:00,1227,1353323,0
Jaden McDaniels,MIN,SF,4200,14.0,22.1,37.25,13.86,33.67,83.0,5.261904761904762,15141,SAS,SAS,MIN@SAS 4:00 PM,/Date(1734296400000-0500)/,22.0,21.0,30.0,NBA,DraftKings,2343,2025-09-18T03:02:28.930926+00:00,1370,1353325,0
Derrick White,BOS,PG/SG,6800,13.8,34.23,37.75,27.37,44.78,87.0,5.033823529411764,15145,WAS,WAS,BOS@WAS 3:00 PM,/Date(1734292800000-0500)/,36.1,8.0,30.0,NBA,DraftKings,2343,2025-09-18T03:02:28.930926+00:00,902,1353261,0
Klay Thompson,DAL,SG/SF,4600,12.8,22.03,50.25,15.11,29.74,84.0,4.789130434782609,15142,GSW,GSW,DAL@GSW 5:30 PM,/Date(1734301800000-0500)/,23.1,14.0,30.0,NBA,DraftKings,2343,2025-09-18T03:02:28.930926+00:00,308,1353310,0
Kyrie Irving,DAL,PG/SG,8200,12.2,40.11,36.25,30.37,52.79,89.0,4.8914634146341465,15142,GSW,GSW,DAL@GSW 5:30 PM,/Date(1734301800000-0500)/,41.3,21.0,30.0,NBA,DraftKings,2343,2025-09-18T03:02:28.930926+00:00,125,1353250,0
Jalen Brunson,NYK,PG,8400,11.8,39.57,44.75,33.79,53.15,90.0,4.710714285714285,15147,ORL,ORL,NYK@ORL 3:00 PM,/Date(1734292800000-0500)/,42.1,6.0,30.0,NBA,DraftKings,2343,2025-09-18T03:02:28.930926+00:00,1039,1353249,0
Austin Reaves,LAL,PG/SG,6100,11.4,28.46,38.0,20.65,37.51,88.0,4.665573770491804,15144,LAL,MEM,MEM@LAL 6:30 PM,/Date(1734305400000-0500)/,31.3,9.0,30.0,NBA,DraftKings,2343,2025-09-18T03:02:28.930926+00:00,1482,1353272,0
Anthony Black,ORL,PG/SG,4300,11.3,21.44,11.75,10.23,30.84,69.0,4.986046511627907,15147,ORL,NYK,NYK@ORL 3:00 PM,/Date(1734292800000-0500)/,20.3,23.0,30.0,NBA,DraftKings,2343,2025-09-18T03:02:28.930926+00:00,1674,1353322,0
Kristaps Porzingis,BOS,C,7500,10.8,39.29,16.5,21.77,43.51,87.0,5.238666666666666,15145,WAS,WAS,BOS@WAS 3:00 PM,/Date(1734292800000-0500)/,38.6,17.0,30.0,NBA,DraftKings,2343,2025-09-18T03:02:28.930926+00:00,52,1353253,0
Victor Wembanyama,SAS,C,10800,10.4,51.04,56.5,40.91,69.59,88.0,4.725925925925925,15141,SAS,MIN,MIN@SAS 4:00 PM,/Date(1734296400000-0500)/,51.8,9.0,30.0,NBA,DraftKings,2343,2025-09-18T03:02:28.930926+00:00,1710,1353236,0
Anthony Edwards,MIN,PG/SG,9300,10.3,43.02,36.25,34.92,51.8,88.0,4.625806451612903,15141,SAS,SAS,MIN@SAS 4:00 PM,/Date(1734296400000-0500)/,43.5,24.0,30.0,NBA,DraftKings,2343,2025-09-18T03:02:28.930926+00:00,1372,1353245,0
Rudy Gobert,MIN,C,6700,10.2,35.26,27.25,27.88,37.03,87.0,5.262686567164178,15141,SAS,SAS,MIN@SAS 4:00 PM,/Date(1734296400000-0500)/,31.7,18.0,30.0,NBA,DraftKings,2343,2025-09-18T03:02:28.930926+00:00,558,1353263,0
Harrison Barnes,SAS,SF/PF,4400,10.1,18.77,23.25,11.32,31.8,82.0,4.265909090909091,15141,SAS,MIN,MIN@SAS 4:00 PM,/Date(1734296400000-0500)/,20.2,3.0,30.0,NBA,DraftKings,2343,2025-09-18T03:02:28.930926+00:00,293,1353319,0
LeBron James,LAL,PF,9800,10.0,47.54,45.0,36.52,67.79,91.0,4.851020408163265,15144,LAL,MEM,MEM@LAL 6:30 PM,/Date(1734305400000-0500)/,50.0,23.0,30.0,NBA,DraftKings,2343,2025-09-18T03:02:28.930926+00:00,126,1353240,0
Rui Hachimura,LAL,SF/PF,5600,9.9,26.68,19.5,15.16,32.28,81.0,4.764285714285714,15144,LAL,MEM,MEM@LAL 6:30 PM,/Date(1734305400000-0500)/,25.7,9.0,30.0,NBA,DraftKings,2343,2025-09-18T03:02:28.930926+00:00,1165,1353283,0
Payton Pritchard,BOS,PG/SG,5700,9.6,27.17,40.25,16.22,43.84,77.0,4.766666666666667,15145,WAS,WAS,BOS@WAS 3:00 PM,/Date(1734292800000-0500)/,29.1,29.0,30.0,NBA,DraftKings,2343,2025-09-18T03:02:28.930926+00:00,1277,1353280,0
Stephon Castle,SAS,PG/SG,5500,9.4,21.3,10.5,10.08,34.63,85.0,3.872727272727273,15141,SAS,MIN,MIN@SAS 4:00 PM,/Date(1734296400000-0500)/,23.5,6.0,30.0,NBA,DraftKings,2343,2025-09-18T03:02:28.930926+00:00,1828,1353284,0
