player_name,team,pos,salary,actual_own_pct,contest_id,sport,site,slate_id,scraped_at,player_id,salary_id
Giannis Antetokounmpo,MIL,PF/C,11100,95.78,164886,NBA,DraftKings,2197,2025-09-18T02:52:04.040626+00:00,178,1326249
Ayo Dosunmu,CHI,PG/SG,5300,87.44,164886,NBA,DraftKings,2197,2025-09-18T02:52:04.040626+00:00,1404,1326278
Victor Wembanyama,SAS,C,10500,84.19,164886,NBA,DraftKings,2197,2025-09-18T02:52:04.040626+00:00,1710,1326250
Donte DiVincenzo,MIN,PG/SG,4900,83.61,164886,NBA,DraftKings,2197,2025-09-18T02:52:04.040626+00:00,988,1326282
Andre Jackson Jr.,MIL,PG/SF,3500,76.33,164886,NBA,DraftKings,2197,2025-09-18T02:52:04.040626+00:00,1664,1326305
Brook Lopez,MIL,C,5700,69.54,164886,NBA,DraftKings,2197,2025-09-18T02:52:04.040626+00:00,34,1326274
Mike Conley,MIN,PG,4600,68.57,164886,NBA,DraftKings,2197,2025-09-18T02:52:04.040626+00:00,463,1326288
Stephon Castle,SAS,SG/SF,4400,54.56,164886,NBA,DraftKings,2197,2025-09-18T02:52:04.040626+00:00,1828,1326291
Julian Champagnie,SAS,SG/SF,5000,32.74,164886,NBA,DraftKings,2197,2025-09-18T02:52:04.040626+00:00,1533,1326281
Dalen Terry,CHI,SF,3200,31.28,164886,NBA,DraftKings,2197,2025-09-18T02:52:04.040626+00:00,1538,1326312
Jaden McDaniels,MIN,SF,4300,19.98,164886,NBA,DraftKings,2197,2025-09-18T02:52:04.040626+00:00,1370,1326292
Chris Paul,SAS,PG,6900,19.3,164886,NBA,DraftKings,2197,2025-09-18T02:52:04.040626+00:00,318,1326262
Harrison Barnes,SAS,SF/PF,4800,7.9,164886,NBA,DraftKings,2197,2025-09-18T02:52:04.040626+00:00,293,1326283
Naz Reid,MIN,PF/C,5600,6.55,164886,NBA,DraftKings,2197,2025-09-18T02:52:04.040626+00:00,1238,1326275
Keyonte George,UTA,PG,6400,6.3,164886,NBA,DraftKings,2197,2025-09-18T02:52:04.040626+00:00,1733,1326268
Julius Randle,MIN,PF/C,8200,5.77,164886,NBA,DraftKings,2197,2025-09-18T02:52:04.040626+00:00,338,1326254
Anthony Edwards,MIN,SG,9300,4.75,164886,NBA,DraftKings,2197,2025-09-18T02:52:04.040626+00:00,1372,1326252
