player_name,team,pos,salary,proj_own_pct,proj_fpts,scored_fpts,floor_fpts,ceil_fpts,conf,value_per_k,game_id,home_team,away_team,matchup,game_ticks,ppg,opp_rank,opp_total,sport,site,slate_id,scraped_at,player_id,salary_id,daily_contest_id
Kel'el Ware,MIA,PF/C,4200,43.3,30.61,45.25,11.65,32.73,75.0,7.288095238095238,14533,MIA,POR,POR@MIA 4:30 PM,/Date(1737495000000-0500)/,16.0,28.0,30.0,NBA,DraftKings,2265,2025-09-18T03:11:55.841540+00:00,1787,1380700,0
Terry Rozier,MIA,PG/SG,4800,35.5,28.59,17.25,16.38,31.4,87.0,5.95625,14533,MIA,POR,POR@MIA 4:30 PM,/Date(1737495000000-0500)/,23.5,7.0,30.0,NBA,DraftKings,2265,2025-09-18T03:11:55.841540+00:00,13,1380687,0
Nikola Jokic,DEN,C,12000,33.5,62.43,72.75,54.31,80.35,91.0,5.2025,14530,DEN,PHI,PHI@DEN 7:00 PM,/Date(1737504000000-0500)/,68.5,1.0,30.0,NBA,DraftKings,2265,2025-09-18T03:11:55.841540+00:00,489,1380630,0
Anthony Black,ORL,PG,4400,33.3,27.82,31.75,10.36,29.23,69.0,6.322727272727272,14532,TOR,TOR,ORL@TOR 4:30 PM,/Date(1737495000000-0500)/,20.0,21.0,30.0,NBA,DraftKings,2265,2025-09-18T03:11:55.841540+00:00,1674,1380693,0
Kentavious Caldwell-Pope,ORL,SG,4000,30.8,25.3,27.25,12.95,28.86,83.0,6.325,14532,TOR,TOR,ORL@TOR 4:30 PM,/Date(1737495000000-0500)/,19.2,5.0,30.0,NBA,DraftKings,2265,2025-09-18T03:11:55.841540+00:00,145,1380706,0
Tristan da Silva,ORL,SF/PF,4300,30.4,25.67,23.25,9.6,31.93,79.0,5.969767441860466,14532,TOR,TOR,ORL@TOR 4:30 PM,/Date(1737495000000-0500)/,17.6,27.0,30.0,NBA,DraftKings,2265,2025-09-18T03:11:55.841540+00:00,1792,1380697,0
LeBron James,LAL,PF,9800,29.5,51.24,62.0,40.89,62.8,91.0,5.228571428571429,14531,LAL,WAS,WAS@LAL 7:30 PM,/Date(1737505800000-0500)/,49.9,26.0,30.0,NBA,DraftKings,2265,2025-09-18T03:11:55.841540+00:00,126,1380633,0
Wendell Carter Jr.,ORL,C,5900,24.2,36.6,27.0,13.86,35.33,83.0,6.203389830508474,14532,TOR,TOR,ORL@TOR 4:30 PM,/Date(1737495000000-0500)/,23.8,25.0,30.0,NBA,DraftKings,2265,2025-09-18T03:11:55.841540+00:00,972,1380669,0
Jakob Poeltl,TOR,C,6200,22.7,36.19,13.25,26.7,39.8,86.0,5.837096774193548,14532,TOR,ORL,ORL@TOR 4:30 PM,/Date(1737495000000-0500)/,36.5,6.0,30.0,NBA,DraftKings,2265,2025-09-18T03:11:55.841540+00:00,685,1380661,0
Trevelin Queen,ORL,PG/SG,3700,21.6,21.18,12.75,3.64,25.21,53.0,5.724324324324324,14532,TOR,TOR,ORL@TOR 4:30 PM,/Date(1737495000000-0500)/,13.5,24.0,30.0,NBA,DraftKings,2265,2025-09-18T03:11:55.841540+00:00,1355,1380719,0
Scottie Barnes,TOR,PG/SF,8500,21.4,42.95,50.25,32.3,50.51,89.0,5.052941176470589,14532,TOR,ORL,ORL@TOR 4:30 PM,/Date(1737495000000-0500)/,44.3,17.0,30.0,NBA,DraftKings,2265,2025-09-18T03:11:55.841540+00:00,1401,1380638,0
Josh Hart,NYK,SF/PF,7900,17.4,36.67,39.0,30.84,53.88,86.0,4.641772151898734,14534,BKN,BKN,NYK@BKN 4:30 PM,/Date(1737495000000-0500)/,38.9,9.0,30.0,NBA,DraftKings,2265,2025-09-18T03:11:55.841540+00:00,875,1380644,0
Deandre Ayton,POR,C,6400,16.1,32.12,46.75,19.2,43.55,85.0,5.018749999999999,14533,MIA,MIA,POR@MIA 4:30 PM,/Date(1737495000000-0500)/,31.8,18.0,30.0,NBA,DraftKings,2265,2025-09-18T03:11:55.841540+00:00,1025,1380658,0
Russell Westbrook,DEN,PG,6400,15.1,32.79,33.25,24.54,47.62,85.0,5.1234375,14530,DEN,PHI,PHI@DEN 7:00 PM,/Date(1737504000000-0500)/,33.0,19.0,30.0,NBA,DraftKings,2265,2025-09-18T03:11:55.841540+00:00,549,1380657,0
Paolo Banchero,ORL,PF,8600,14.8,46.02,46.5,24.05,63.54,88.0,5.351162790697675,14532,TOR,TOR,ORL@TOR 4:30 PM,/Date(1737495000000-0500)/,44.5,24.0,30.0,NBA,DraftKings,2265,2025-09-18T03:11:55.841540+00:00,1561,1380637,0
Scoot Henderson,POR,PG,6900,14.5,31.05,25.5,16.32,45.62,83.0,4.5,14533,MIA,MIA,POR@MIA 4:30 PM,/Date(1737495000000-0500)/,26.6,25.0,30.0,NBA,DraftKings,2265,2025-09-18T03:11:55.841540+00:00,1726,1380651,0
Mikal Bridges,NYK,SG/SF,6200,13.8,30.16,19.25,18.96,40.54,86.0,4.864516129032258,14534,BKN,BKN,NYK@BKN 4:30 PM,/Date(1737495000000-0500)/,30.0,17.0,30.0,NBA,DraftKings,2265,2025-09-18T03:11:55.841540+00:00,1028,1380662,0
Anfernee Simons,POR,PG/SG,6600,13.7,29.77,38.0,21.96,45.51,83.0,4.510606060606061,14533,MIA,MIA,POR@MIA 4:30 PM,/Date(1737495000000-0500)/,31.1,16.0,30.0,NBA,DraftKings,2265,2025-09-18T03:11:55.841540+00:00,1071,1380655,0
Christian Braun,DEN,SG/SF,4500,12.7,22.47,27.5,16.03,30.13,80.0,4.993333333333333,14530,DEN,PHI,PHI@DEN 7:00 PM,/Date(1737504000000-0500)/,25.8,8.0,30.0,NBA,DraftKings,2265,2025-09-18T03:11:55.841540+00:00,1608,1380691,0
Nikola Jovic,MIA,PF/C,4900,12.2,25.62,29.5,16.67,35.73,75.0,5.228571428571429,14533,MIA,POR,POR@MIA 4:30 PM,/Date(1737495000000-0500)/,21.4,11.0,30.0,NBA,DraftKings,2265,2025-09-18T03:11:55.841540+00:00,1557,1380684,0
RJ Barrett,TOR,SF,7700,11.1,38.17,35.0,30.65,50.73,87.0,4.957142857142857,14532,TOR,ORL,ORL@TOR 4:30 PM,/Date(1737495000000-0500)/,41.9,22.0,30.0,NBA,DraftKings,2265,2025-09-18T03:11:55.841540+00:00,1112,1380646,0
Duncan Robinson,MIA,SG,4100,11.1,24.0,38.25,10.51,29.42,77.0,5.853658536585367,14533,MIA,POR,POR@MIA 4:30 PM,/Date(1737495000000-0500)/,19.6,11.0,30.0,NBA,DraftKings,2265,2025-09-18T03:11:55.841540+00:00,994,1380702,0
Karl-Anthony Towns,NYK,C,9700,11.0,49.1,63.0,38.13,66.46,89.0,5.0618556701030935,14534,BKN,BKN,NYK@BKN 4:30 PM,/Date(1737495000000-0500)/,52.5,9.0,30.0,NBA,DraftKings,2265,2025-09-18T03:11:55.841540+00:00,512,1380634,0
OG Anunoby,NYK,SF/PF,6100,10.7,29.01,38.5,14.59,36.75,85.0,4.755737704918033,14534,BKN,BKN,NYK@BKN 4:30 PM,/Date(1737495000000-0500)/,29.7,9.0,30.0,NBA,DraftKings,2265,2025-09-18T03:11:55.841540+00:00,828,1380665,0
Max Christie,LAL,SG/SF,4300,10.7,21.08,18.25,13.2,29.01,68.0,4.902325581395349,14531,LAL,WAS,WAS@LAL 7:30 PM,/Date(1737505800000-0500)/,16.1,23.0,30.0,NBA,DraftKings,2265,2025-09-18T03:11:55.841540+00:00,1578,1380696,0
Tyrese Maxey,PHI,PG,9900,10.6,44.47,51.5,36.21,58.57,88.0,4.491919191919192,14530,DEN,DEN,PHI@DEN 7:00 PM,/Date(1737504000000-0500)/,44.9,8.0,30.0,NBA,DraftKings,2265,2025-09-18T03:11:55.841540+00:00,1285,1380632,0
Paul George,PHI,SG/SF,8100,10.3,41.46,33.75,25.12,47.85,87.0,5.118518518518519,14530,DEN,DEN,PHI@DEN 7:00 PM,/Date(1737504000000-0500)/,36.0,15.0,30.0,NBA,DraftKings,2265,2025-09-18T03:11:55.841540+00:00,166,1380642,0
Rui Hachimura,LAL,SF/PF,5000,10.2,24.73,17.25,15.33,30.01,81.0,4.946,14531,LAL,WAS,WAS@LAL 7:30 PM,/Date(1737505800000-0500)/,24.3,24.0,30.0,NBA,DraftKings,2265,2025-09-18T03:11:55.841540+00:00,1165,1380682,0
Bam Adebayo,MIA,C,7800,9.9,40.01,25.5,28.14,44.3,88.0,5.129487179487179,14533,MIA,POR,POR@MIA 4:30 PM,/Date(1737495000000-0500)/,39.4,28.0,30.0,NBA,DraftKings,2265,2025-09-18T03:11:55.841540+00:00,852,1380645,0
Michael Porter Jr.,DEN,SF/PF,5900,9.4,27.32,29.5,23.81,38.22,87.0,4.630508474576271,14530,DEN,PHI,PHI@DEN 7:00 PM,/Date(1737504000000-0500)/,32.9,7.0,30.0,NBA,DraftKings,2265,2025-09-18T03:11:55.841540+00:00,1063,1380668,0
