player_name,team,pos,salary,actual_own_pct,contest_id,sport,site,slate_id,scraped_at,player_id,salary_id
Scotty Pippen Jr.,MEM,PG,4600,55.04,174612,NBA,DraftKings,2333,2025-09-18T03:30:49.762888+00:00,1577,1436093
Isaiah Stewart,DET,C,3300,45.52,174612,NBA,DraftKings,2333,2025-09-18T03:30:49.762888+00:00,1293,1436121
Jaren Jackson Jr.,MEM,PF/C,7500,39.51,174612,NBA,DraftKings,2333,2025-09-18T03:30:49.762888+00:00,1059,1436059
Zach Edey,MEM,C,4700,36.97,174612,NBA,DraftKings,2333,2025-09-18T03:30:49.762888+00:00,1832,1436092
Giannis Antetokounmpo,MIL,PF/C,12400,36.5,174612,NBA,DraftKings,2333,2025-09-18T03:30:49.762888+00:00,178,1436045
Desmond Bane,MEM,SG,7900,35.23,174612,NBA,DraftKings,2333,2025-09-18T03:30:49.762888+00:00,1362,1436057
Ausar Thompson,DET,SF/PF,6300,32.61,174612,NBA,DraftKings,2333,2025-09-18T03:30:49.762888+00:00,1656,1436071
Davion Mitchell,MIA,PG,4800,31.06,174612,NBA,DraftKings,2333,2025-09-18T03:30:49.762888+00:00,1430,1436090
Bam Adebayo,MIA,PF/C,8700,28.81,174612,NBA,DraftKings,2333,2025-09-18T03:30:49.762888+00:00,852,1436054
Santi Aldama,MEM,PF,5400,26.69,174612,NBA,DraftKings,2333,2025-09-18T03:30:49.762888+00:00,1441,1436084
Jaylen Wells,MEM,SF,3100,24.56,174612,NBA,DraftKings,2333,2025-09-18T03:30:49.762888+00:00,1831,1436125
Duncan Robinson,MIA,SG/SF,3500,22.85,174612,NBA,DraftKings,2333,2025-09-18T03:30:49.762888+00:00,994,1436111
Cade Cunningham,DET,PG,10600,22.52,174612,NBA,DraftKings,2333,2025-09-18T03:30:49.762888+00:00,1409,1436046
Rudy Gobert,MIN,C,6700,20.12,174612,NBA,DraftKings,2333,2025-09-18T03:30:49.762888+00:00,558,1436066
Anthony Davis,DAL,PF,9400,18.16,174612,NBA,DraftKings,2333,2025-09-18T03:30:49.762888+00:00,387,1436049
Nickeil Alexander-Walker,MIN,SG/SF,3600,18.12,174612,NBA,DraftKings,2333,2025-09-18T03:30:49.762888+00:00,1204,1436107
James Harden,LAC,PG,9800,18.1,174612,NBA,DraftKings,2333,2025-09-18T03:30:49.762888+00:00,425,1436047
Anthony Edwards,MIN,SG,9500,18.03,174612,NBA,DraftKings,2333,2025-09-18T03:30:49.762888+00:00,1372,1436048
Tim Hardaway Jr.,DET,SG/SF,4500,17.89,174612,NBA,DraftKings,2333,2025-09-18T03:30:49.762888+00:00,198,1436095
Adem Bona,PHI,C,5200,16.3,174612,NBA,DraftKings,2333,2025-09-18T03:30:49.762888+00:00,1762,1436085
Ivica Zubac,LAC,C,8100,15.2,174612,NBA,DraftKings,2333,2025-09-18T03:30:49.762888+00:00,735,1436056
Bogdan Bogdanovic,LAC,SG/SF,3900,14.8,174612,NBA,DraftKings,2333,2025-09-18T03:30:49.762888+00:00,884,1436101
Julius Randle,MIN,PF/C,7400,13.07,174612,NBA,DraftKings,2333,2025-09-18T03:30:49.762888+00:00,338,1436060
Kel'el Ware,MIA,C,6200,12.79,174612,NBA,DraftKings,2333,2025-09-18T03:30:49.762888+00:00,1787,1436072
Pelle Larsson,MIA,SG/SF,4600,12.65,174612,NBA,DraftKings,2333,2025-09-18T03:30:49.762888+00:00,1790,1436094
