player_name,team,pos,salary,proj_own_pct,proj_fpts,scored_fpts,floor_fpts,ceil_fpts,conf,value_per_k,game_id,home_team,away_team,matchup,game_ticks,ppg,opp_rank,opp_total,sport,site,slate_id,scraped_at,player_id,salary_id,daily_contest_id
Myles Turner,IND,C,6100,49.3,34.8,25.5,23.28,43.22,86.0,5.704918032786885,15186,IND,MIL,MIL@IND 4:00 PM,/Date(1745352000000-0400)/,32.2,11.0,30.0,NBA,DraftKings,2352,2025-09-18T03:34:38.112386+00:00,175,1445522,0
Giannis Antetokounmpo,MIL,PF/C,11300,42.9,60.29,68.5,49.58,73.58,90.0,5.3353982300884955,15186,IND,IND,MIL@IND 4:00 PM,/Date(1745352000000-0400)/,59.6,5.0,30.0,NBA,DraftKings,2352,2025-09-18T03:34:38.112386+00:00,178,1445505,0
Pascal Siakam,IND,PF,6900,40.9,39.02,49.75,25.03,45.53,88.0,5.655072463768116,15186,IND,MIL,MIL@IND 4:00 PM,/Date(1745352000000-0400)/,37.2,13.0,30.0,NBA,DraftKings,2352,2025-09-18T03:34:38.112386+00:00,686,1445517,0
Alex Caruso,OKC,PG/SG,3400,36.5,16.78,32.0,12.02,30.2,85.0,4.935294117647059,15185,OKC,MEM,MEM@OKC 4:30 PM,/Date(1745353800000-0400)/,18.8,20.0,30.0,NBA,DraftKings,2352,2025-09-18T03:34:38.112386+00:00,789,1445553,0
Jaden McDaniels,MIN,SF/PF,4900,35.2,25.53,16.0,14.21,34.25,85.0,5.210204081632653,15187,LAL,LAL,MIN@LAL 7:00 PM,/Date(1745362800000-0400)/,27.2,26.0,30.0,NBA,DraftKings,2352,2025-09-18T03:34:38.112386+00:00,1370,1445528,0
Donte DiVincenzo,MIN,PG/SG,4200,34.0,23.32,9.75,19.45,30.52,85.0,5.552380952380952,15187,LAL,LAL,MIN@LAL 7:00 PM,/Date(1745362800000-0400)/,25.2,17.0,30.0,NBA,DraftKings,2352,2025-09-18T03:34:38.112386+00:00,988,1445538,0
Chet Holmgren,OKC,PF/C,7000,32.9,36.84,46.25,21.1,44.62,86.0,5.262857142857143,15185,OKC,MEM,MEM@OKC 4:30 PM,/Date(1745353800000-0400)/,34.4,25.0,30.0,NBA,DraftKings,2352,2025-09-18T03:34:38.112386+00:00,1623,1445516,0
Tyrese Haliburton,IND,PG,8200,32.1,45.22,46.75,36.7,55.39,87.0,5.514634146341463,15186,IND,MIL,MIL@IND 4:00 PM,/Date(1745352000000-0400)/,42.3,22.0,30.0,NBA,DraftKings,2352,2025-09-18T03:34:38.112386+00:00,1338,1445510,0
John Konchar,MEM,SG/SF,3100,31.7,15.25,4.0,2.47,18.94,69.0,4.919354838709677,15185,OKC,OKC,MEM@OKC 4:30 PM,/Date(1745353800000-0400)/,10.1,7.0,30.0,NBA,DraftKings,2352,2025-09-18T03:34:38.112386+00:00,1229,1445562,0
Anthony Edwards,MIN,PG/SG,8700,23.3,45.69,32.5,34.67,57.73,89.0,5.251724137931035,15187,LAL,LAL,MIN@LAL 7:00 PM,/Date(1745362800000-0400)/,45.7,13.0,30.0,NBA,DraftKings,2352,2025-09-18T03:34:38.112386+00:00,1372,1445509,0
Andrew Nembhard,IND,PG/SG,4700,22.9,25.02,30.75,15.73,32.27,84.0,5.323404255319149,15186,IND,MIL,MIL@IND 4:00 PM,/Date(1745352000000-0400)/,24.2,25.0,30.0,NBA,DraftKings,2352,2025-09-18T03:34:38.112386+00:00,1548,1445533,0
Scotty Pippen Jr.,MEM,PG,5100,22.8,27.29,20.0,17.45,39.14,83.0,5.350980392156863,15185,OKC,OKC,MEM@OKC 4:30 PM,/Date(1745353800000-0400)/,23.6,12.0,30.0,NBA,DraftKings,2352,2025-09-18T03:34:38.112386+00:00,1577,1445526,0
Desmond Bane,MEM,PG/SG,7200,20.2,37.5,46.0,23.56,51.69,88.0,5.208333333333333,15185,OKC,OKC,MEM@OKC 4:30 PM,/Date(1745353800000-0400)/,38.0,6.0,30.0,NBA,DraftKings,2352,2025-09-18T03:34:38.112386+00:00,1362,1445514,0
