period_id,contest_id,contest_name,contest_type,entries,buyin,purse
2293,171777,NBA Single Entry $10 Double Up,1,344,10.0,3000.0
2293,171778,NBA $25K mini-MAX [150 Entry Max],4,59453,0.5,25000.0
2293,171792,NBA $300K Fadeaway [$100K to 1st],4,23529,15.0,300000.0
2293,171798,NBA $2 Double Up,1,1724,2.0,3000.0
2293,171814,NBA Showdown $100K Fadeaway [$20K to 1st] (CHA @ SAC),4,6535,18.0,100000.0
2293,171820,NBA Showdown $15K Pull Up Jumper [$5K to 1st] (MIN @ OKC),4,1764,10.0,15000.0
2293,171822,NBA Showdown $10K Pull Up Jumper [$2K to 1st] (DEN @ IND),4,1176,10.0,10000.0
