bucket,mae_A_mean,mae_B_mean,mae_A_median,mae_B_median,mae_A_std,mae_B_std,n_slates,A_better
0-10,5.687377793800416,6.250080340967476,6.188564542311369,6.681009339246723,0.8089960654709838,0.6192562054384435,3,True
10-20,8.478244440756546,7.198223148116267,9.74816183030859,8.067437227368528,1.8377604509077754,2.1573240866100294,3,False
20-30,8.31087916442061,6.985556685349135,8.484576998547512,6.720554149312065,0.5646082639669491,0.574184328424392,3,False
30+,5.518451427801527,5.63332397938206,5.744211916544101,5.301121482072324,0.42376022833985444,0.5953606905178916,3,True
