player_id,game_id,team_id,player_name,minutes_mean_A,minutes_mean_B,delta,delta_abs,share,p_rot,mu_cond,status,eligible_flag
1630702,22500415,1610612742,Jaden Hardy,7.703135339173783,26.516732053205146,-18.813596714031362,18.813596714031362,10.396333333333335,0.9775280898876404,25.250356097535473,UNK,1
1641713,22500419,1610612763,GG Jackson,6.591812897083945,22.67020676014909,-16.078393863065145,16.078393863065145,9.266,0.9774305555555556,24.054781748420936,UNK,1
1642354,22500409,1610612766,KJ Simpson,16.005829971441283,0.0,16.005829971441283,16.005829971441283,22.939666666666668,0.6181015452538632,13.877322387098408,UNK,1
1630551,22500409,1610612764,Justin Champagnie,14.633677076904752,0.0,14.633677076904752,14.633677076904752,22.691,0.9456398640996603,17.2663603873107,UNK,1
1629012,22500409,1610612766,Collin Sexton,14.459414541398514,0.0,14.459414541398514,14.459414541398514,20.723333333333333,0.44324324324324327,15.95573679203593,UNK,1
1627936,22500417,1610612760,Alex Caruso,14.211966156848684,0.0,14.211966156848684,14.211966156848684,19.762666666666668,0.9938080495356038,15.442703518341222,UNK,1
1631119,22500417,1610612760,Jaylin Williams,13.975371726326328,0.0,13.975371726326328,13.975371726326328,19.43366666666667,0.853763440860215,16.160540542243723,UNK,1
1631213,22500410,1610612751,Tyrese Martin,13.477683489134552,0.0,13.477683489134552,13.477683489134552,17.197,0.6666666666666666,15.739419388495609,UNK,1
203914,22500413,1610612749,Gary Harris,13.057359599153614,0.0,13.057359599153614,13.057359599153614,16.815666666666665,0.853763440860215,13.856000493318858,UNK,1
1631165,22500421,1610612758,Keon Ellis,12.931724851627436,0.0,12.931724851627436,12.931724851627436,19.64666666666667,0.8865979381443299,15.004945473992215,UNK,1
1641716,22500413,1610612754,Jarace Walker,12.848558577057334,0.0,12.848558577057334,12.848558577057334,18.424333333333333,0.7945205479452054,18.162148934645877,UNK,1
1631217,22500409,1610612766,Moussa Diabaté,13.557939702047374,26.280445738628025,-12.72250603658065,12.72250603658065,19.431333333333335,0.9938080495356038,26.391374509840123,UNK,1
1641726,22500415,1610612742,Dereck Lively II,12.696379340330484,0.0,12.696379340330484,12.696379340330484,17.135333333333335,0.6666666666666666,13.048161933204012,UNK,1
1630173,22500421,1610612758,Precious Achiuwa,10.29974366194093,22.902904324504373,-12.603160662563443,12.603160662563443,15.648000000000001,0.9938080495356038,25.043480807530752,UNK,1
1641707,22500419,1610612762,Taylor Hendricks,12.502498933203956,0.0,12.502498933203956,12.502498933203956,17.823666666666668,0.8865979381443299,14.90586396770573,UNK,1
201572,22500422,1610612746,Brook Lopez,10.44586509542538,22.777935666126375,-12.332070570700994,12.332070570700994,14.862333333333334,0.9938080495356038,23.749783839694057,UNK,1
1631245,22500413,1610612754,Quenton Jackson,12.247658971070807,0.0,12.247658971070807,12.247658971070807,17.562666666666665,0.7945205479452054,17.28630699304318,UNK,1
1641737,22500410,1610612755,Adem Bona,12.05556369182986,0.0,12.05556369182986,12.05556369182986,18.178333333333335,0.9456398640996603,16.401254807337924,UNK,1
1641733,22500418,1610612747,Nick Smith Jr.,10.267050571212813,22.128440523974977,-11.861389952762163,11.861389952762163,14.124666666666666,0.9938080495356038,25.755398545064672,UNK,1
1642272,22500410,1610612755,Jared McCain,12.730905162051556,24.51193328232576,-11.781028120274204,11.781028120274204,19.196666666666665,0.9775280898876404,27.75103283170165,UNK,1
1642860,22500409,1610612764,Will Riley,11.73007247188143,0.0,11.73007247188143,11.73007247188143,18.188666666666666,0.9166666666666666,16.120181833192937,UNK,1
204456,22500413,1610612754,T.J. McConnell,11.67325938639278,0.0,11.67325938639278,11.67325938639278,16.739,0.853763440860215,16.75405428930206,UNK,1
1628370,22500421,1610612758,Malik Monk,11.626485096922114,0.0,11.626485096922114,11.626485096922114,17.663666666666664,0.9456398640996603,14.234249998867806,UNK,1
1631133,22500410,1610612755,Jabari Walker,10.579981265077054,22.205824124846067,-11.625842859769014,11.625842859769014,15.953333333333333,0.9938080495356038,24.728354442943825,UNK,1
1629027,22500411,1610612737,Trae Young,19.23131615339685,30.838802342183605,-11.607486188786755,11.607486188786755,23.573333333333334,0.9775280898876404,28.606011943724784,UNK,1
1629130,22500421,1610612765,Duncan Robinson,18.440257692639307,30.03460042457832,-11.594342731939012,11.594342731939012,23.318333333333335,0.9968652037617555,29.056933523384846,UNK,1
1631172,22500417,1610612760,Ousmane Dieng,11.331123334135698,0.0,11.331123334135698,11.331123334135698,15.756666666666666,0.9456398640996603,14.454462026573465,UNK,1
201567,22500419,1610612762,Kevin Love,14.185990775867614,25.440546923952507,-11.254556148084893,11.254556148084893,20.223666666666666,0.9983818770226537,28.34255957997495,UNK,1
1631222,22500418,1610612747,Jake LaRavia,16.34334958062601,27.55405342789449,-11.21070384726848,11.21070384726848,22.483999999999998,0.9983818770226537,31.923373808892,UNK,1
1630172,22500411,1610612741,Patrick Williams,11.200608108459894,0.0,11.200608108459894,11.200608108459894,14.939666666666668,0.44324324324324327,15.94727785966132,UNK,1
1630188,22500411,1610612741,Jalen Smith,11.001931577385445,0.0,11.001931577385445,11.001931577385445,14.674666666666667,0.762962962962963,16.0736166086127,UNK,1
1630168,22500411,1610612737,Onyeka Okongwu,27.897917479878153,38.809000676286885,-10.911083196408732,10.911083196408732,34.19666666666667,0.9983818770226537,35.24721674565522,UNK,1
1642854,22500411,1610612737,Asa Newell,10.74691196807471,0.0,10.74691196807471,10.74691196807471,13.173333333333332,0.5194508009153318,12.959546111677907,UNK,1
