game_date,quality_tier,skip_reason,missing_feature_frac,n_games,n_teams,n_players,has_labels,mae_A,rmse_A,top5_sum_A,max_minutes_A,gini_A,roster_size_A,bench_crush_A,mae_B,rmse_B,top5_sum_B,max_minutes_B,gini_B,roster_size_B,bench_crush_B,mae_C,rmse_C,top5_sum_C,max_minutes_C,gini_C,roster_size_C,bench_crush_C,mae_D,rmse_D,top5_sum_D,max_minutes_D,gini_D,roster_size_D,bench_crush_D,mae_E,rmse_E,top5_sum_E,max_minutes_E,gini_E,roster_size_E,bench_crush_E,mae_F,rmse_F,top5_sum_F,max_minutes_F,gini_F,roster_size_F,bench_crush_F,mae_D_best,best_D_alpha,mae_F_best,best_F_p,A_wins_top5,C_wins_top5,D_wins_top5,E_wins_top5,F_wins_top5
2025-12-08,skipped,too_many_missing_features (9/58),0.15517241379310345,3,6,107,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,False,False,False,False,False
2025-12-09,skipped,too_many_missing_features (9/58),0.15517241379310345,2,4,68,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,False,False,False,False,False
2025-12-10,skipped,too_many_missing_features (9/58),0.15517241379310345,1,2,35,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,False,False,False,False,False
2025-12-11,skipped,too_many_missing_features (9/58),0.15517241379310345,1,2,35,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,False,False,False,False,False
2025-12-12,skipped,too_many_missing_features (9/58),0.15517241379310345,7,14,247,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,False,False,False,False,False
2025-12-13,skipped,too_many_missing_features (9/58),0.15517241379310345,2,4,70,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,False,False,False,False,False
2025-12-14,skipped,'minutes_mean',0.0,0,0,0,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,False,False,False,False,False
2025-12-15,skipped,'minutes_mean',0.0,0,0,0,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,False,False,False,False,False
2025-12-16,skipped,'minutes_mean',0.0,0,0,0,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,False,False,False,False,False
2025-12-17,skipped,'minutes_mean',0.0,0,0,0,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,False,False,False,False,False
2025-12-18,skipped,'minutes_mean',0.0,0,0,0,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,False,False,False,False,False
2025-12-19,skipped,'minutes_mean',0.0,0,0,0,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,False,False,False,False,False
2025-12-20,skipped,'minutes_mean',0.0,0,0,0,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,False,False,False,False,False
2025-12-21,skipped,'minutes_mean',0.0,0,0,0,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,False,False,False,False,False
2025-12-22,skipped,'minutes_mean',0.0,0,0,0,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,False,False,False,False,False
2025-12-23,skipped,'minutes_mean',0.0,0,0,0,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,False,False,False,False,False
2025-12-24,skipped,'minutes_mean',0.0,0,0,0,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,False,False,False,False,False
2025-12-25,skipped,'minutes_mean',0.0,0,0,0,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,False,False,False,False,False
2025-12-26,skipped,'minutes_mean',0.0,0,0,0,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,False,False,False,False,False
2025-12-27,skipped,'minutes_mean',0.0,0,0,0,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,False,False,False,False,False
2025-12-28,skipped,'minutes_mean',0.0,0,0,0,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,False,False,False,False,False
2025-12-29,skipped,'minutes_mean',0.0,0,0,0,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,False,False,False,False,False
2025-12-30,skipped,'minutes_mean',0.0,0,0,0,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,False,False,False,False,False
2025-12-31,skipped,features_not_found,0.0,0,0,0,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,False,False,False,False,False
