game_date,quality_tier,skip_reason,missing_feature_frac,n_games,n_teams,n_players,has_labels,mae_A,rmse_A,top5_sum_A,max_minutes_A,gini_A,roster_size_A,bench_crush_A,mae_B,rmse_B,top5_sum_B,max_minutes_B,gini_B,roster_size_B,bench_crush_B,mae_C,rmse_C,top5_sum_C,max_minutes_C,gini_C,roster_size_C,bench_crush_C,mae_D,rmse_D,top5_sum_D,max_minutes_D,gini_D,roster_size_D,bench_crush_D,mae_D_best,best_D_alpha,A_wins_mae,C_wins_mae,D_wins_mae,A_wins_top5,C_wins_top5,D_wins_top5
2025-11-01,clean,,0.0,8,16,280,True,4.526817497008416,5.731532389616136,155.5014168809538,37.49576070739416,0.47747747086124476,17.5,6.7639357914930365,4.331493476550129,6.552683947980578,147.74466408723313,32.16590201333781,0.18517412552197823,10.9375,14.642900166965006,3.853901652975035,5.941206613791885,171.28758052844756,41.19718382533245,0.33194244780390914,10.9375,6.656869288141877,3.910186455835447,5.782658789310426,168.63371070991207,39.9794532474304,0.31440994816308604,10.9375,7.787832187830405,3.8539016208907366,1.0,False,True,True,True,True,True
2025-11-02,clean,,0.0,8,16,280,False,,,155.45105597138502,37.41425972102095,0.47577042122984003,17.5,6.753935257223398,,,148.15063319310548,32.28706765766998,0.1849248687554524,10.9375,14.663962643039387,,,171.49263967556053,41.21592565773377,0.3313551397861396,10.9375,6.987779694423849,,,168.92481792060488,40.01201497313893,0.31414527845332085,10.9375,8.079094161752959,,,,,,True,True,True
2025-11-03,clean,,0.0,8,16,280,False,,,153.5291778557414,37.90130088853722,0.4766555585598261,17.5,7.32505447062656,,,148.355016557548,32.398351949956016,0.19040874495470628,11.0,14.37439838828546,,,168.34466038040188,41.41840140013132,0.3255214729476327,11.0,7.900219384364293,,,166.96022785995098,40.02357305095431,0.31220805652729394,11.0,8.614221231809507,,,,,,True,True,True
2025-11-04,clean,,0.0,8,16,280,False,,,154.9810502475632,37.71163274745774,0.48061093811316236,17.5,7.618563001497793,,,149.78492218788023,32.53142172016696,0.1914269972721325,10.9375,14.105558027150154,,,169.51102733043695,41.242937803015366,0.32354968530295203,10.9375,8.174593034139189,,,168.37256975263625,39.7882378311447,0.311600343613034,10.9375,8.7127952045457,,,,,,True,True,True
2025-11-05,clean,,0.0,8,16,280,False,,,154.37503321331891,37.615540301607396,0.4790561395005869,17.5,7.803873105419684,,,148.66065791184855,32.267987856036775,0.18908226875314063,11.0,14.479363055818038,,,169.08053527665004,41.19631376737308,0.32550421656650075,11.0,8.049037174061247,,,167.5065205276607,39.82471499839767,0.31185588750091003,11.0,8.797502747112624,,,,,,True,True,True
2025-11-06,clean,,0.0,8,16,280,False,,,152.56026378945168,35.867902292859554,0.47033003456949385,17.375,7.946508214837932,,,148.78223099782997,32.321704645000004,0.19071379496213048,11.0,14.265106221476472,,,166.87377224156936,39.19947276526656,0.3079944189445376,11.0,8.358242446195518,,,165.9697772598363,38.73000967641299,0.300678345199542,11.0,8.928418387139464,,,,,,True,True,True
2025-11-07,clean,,0.0,8,16,280,False,,,151.7204847494999,35.75659863058691,0.4672684524200117,17.375,7.951119456889183,,,148.41485701235635,32.080427093037585,0.18888164377088004,11.0,14.274985965506097,,,165.97661918481532,39.08449726801214,0.3036826065387981,11.0,8.427127247283446,,,164.71485428993583,38.51143760048743,0.29514867503463127,11.0,8.938675668663691,,,,,,True,True,True
2025-11-08,skipped,too_many_missing_features (9/58),0.15517241379310345,8,16,280,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,False,False,False
2025-11-09,skipped,too_many_missing_features (9/58),0.15517241379310345,7,14,246,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,False,False,False
2025-11-10,skipped,too_many_missing_features (9/58),0.15517241379310345,9,18,316,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,False,False,False
2025-11-11,skipped,too_many_missing_features (9/58),0.15517241379310345,6,12,211,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,False,False,False
2025-11-12,skipped,too_many_missing_features (9/58),0.15517241379310345,12,24,421,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,False,False,False
2025-11-13,skipped,too_many_missing_features (9/58),0.15517241379310345,3,6,105,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,False,False,False
2025-11-14,skipped,too_many_missing_features (9/58),0.15517241379310345,9,18,315,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,False,False,False
