game_date,rows,coverage_rolling,coverage_global,coverage_raw,improvement_vs_global,improvement_vs_raw
2025-10-21,35,0.4857142857142857,0.4857142857142857,0.4857142857142857,0.0,0.0
2025-10-22,204,0.4215686274509804,0.4215686274509804,0.4215686274509804,0.0,0.0
2025-10-23,284,0.426056338028169,0.426056338028169,0.426056338028169,0.0,0.0
2025-10-24,170,0.5352941176470588,0.5352941176470588,0.5352941176470588,0.0,0.0
2025-10-25,385,0.4727272727272727,0.4805194805194805,0.4805194805194805,-0.007792207792207795,-0.007792207792207795
2025-10-26,313,0.46325878594249204,0.46645367412140576,0.46645367412140576,-0.003194888178913724,-0.003194888178913724
2025-10-27,137,0.48175182481751827,0.48175182481751827,0.48175182481751827,0.0,0.0
2025-10-28,385,0.4649350649350649,0.4649350649350649,0.4649350649350649,0.0,0.0
2025-10-29,240,0.44166666666666665,0.44166666666666665,0.44166666666666665,0.0,0.0
2025-10-30,248,0.4959677419354839,0.4959677419354839,0.4959677419354839,0.0,0.0
2025-10-31,208,0.4807692307692308,0.4807692307692308,0.4807692307692308,0.0,0.0
2025-11-01,176,0.44886363636363635,0.44886363636363635,0.44886363636363635,0.0,0.0
2025-11-17,175,0.45714285714285713,0.45714285714285713,0.45714285714285713,0.0,0.0
2025-11-18,281,0.43416370106761565,0.43416370106761565,0.43416370106761565,0.0,0.0
