player_name,team,pos,salary,proj_own_pct,proj_fpts,scored_fpts,floor_fpts,ceil_fpts,conf,value_per_k,game_id,home_team,away_team,matchup,game_ticks,ppg,opp_rank,opp_total,sport,site,slate_id,scraped_at,player_id,salary_id,daily_contest_id
Jalen Brunson,NYK,PG,9500,47.0,44.77,30.5,41.23,63.87,91.0,4.712631578947369,13908,NYK,IND,IND@NYK 12:30 PM,/Date(1716136200000-0400)/,46.6,11.0,30.0,NBA,DraftKings,2166,2025-09-18T02:44:08.745100+00:00,1039,1311742,0
Kentavious Caldwell-Pope,DEN,SG,4100,44.9,18.13,23.5,12.29,26.56,83.0,4.421951219512195,13907,DEN,MIN,MIN@DEN 5:00 PM,/Date(1716152400000-0400)/,20.5,6.0,30.0,NBA,DraftKings,2166,2025-09-18T02:44:08.745100+00:00,145,1311764,0
Andrew Nembhard,IND,PG/SG,4400,37.5,19.73,35.75,17.55,30.26,84.0,4.4840909090909085,13908,NYK,NYK,IND@NYK 12:30 PM,/Date(1716136200000-0400)/,20.5,3.0,30.0,NBA,DraftKings,2166,2025-09-18T02:44:08.745100+00:00,1548,1311761,0
Karl-Anthony Towns,MIN,PF/C,7200,36.9,38.1,47.5,25.85,43.24,87.0,5.291666666666667,13907,DEN,DEN,MIN@DEN 5:00 PM,/Date(1716152400000-0400)/,39.2,25.0,30.0,NBA,DraftKings,2166,2025-09-18T02:44:08.745100+00:00,512,1311748,0
Michael Porter Jr.,DEN,SF/PF,6000,36.4,22.99,22.75,19.64,39.33,85.0,3.8316666666666666,13907,DEN,MIN,MIN@DEN 5:00 PM,/Date(1716152400000-0400)/,31.1,8.0,30.0,NBA,DraftKings,2166,2025-09-18T02:44:08.745100+00:00,1063,1311754,0
Nikola Jokic,DEN,C,11300,35.6,62.97,71.25,50.51,72.8,91.0,5.5725663716814156,13907,DEN,MIN,MIN@DEN 5:00 PM,/Date(1716152400000-0400)/,61.2,29.0,30.0,NBA,DraftKings,2166,2025-09-18T02:44:08.745100+00:00,489,1311741,0
Christian Braun,DEN,PG/SG,3500,35.6,13.56,15.25,4.39,25.55,75.0,3.8742857142857146,13907,DEN,MIN,MIN@DEN 5:00 PM,/Date(1716152400000-0400)/,15.7,1.0,30.0,NBA,DraftKings,2166,2025-09-18T02:44:08.745100+00:00,1608,1311768,0
Rudy Gobert,MIN,C,6400,34.8,35.69,30.25,24.37,50.01,87.0,5.5765625,13907,DEN,DEN,MIN@DEN 5:00 PM,/Date(1716152400000-0400)/,37.5,30.0,30.0,NBA,DraftKings,2166,2025-09-18T02:44:08.745100+00:00,558,1311751,0
Naz Reid,MIN,PF/C,4200,34.0,21.54,22.0,10.82,34.15,84.0,5.128571428571428,13907,DEN,DEN,MIN@DEN 5:00 PM,/Date(1716152400000-0400)/,25.0,3.0,30.0,NBA,DraftKings,2166,2025-09-18T02:44:08.745100+00:00,1238,1311763,0
Aaron Nesmith,IND,SG/SF,4700,32.8,19.75,28.0,16.39,28.11,81.0,4.202127659574468,13908,NYK,NYK,IND@NYK 12:30 PM,/Date(1716136200000-0400)/,22.8,3.0,30.0,NBA,DraftKings,2166,2025-09-18T02:44:08.745100+00:00,1276,1311759,0
