player_name,team,pos,salary,proj_own_pct,proj_fpts,scored_fpts,floor_fpts,ceil_fpts,conf,value_per_k,game_id,home_team,away_team,matchup,game_ticks,ppg,opp_rank,opp_total,sport,site,slate_id,scraped_at,player_id,salary_id,daily_contest_id
Duop Reath,POR,C,3900,34.0,13.42,30.0,5.44,25.72,78.0,3.4410256410256412,13821,SAC,SAC,POR@SAC 12:30 PM,/Date(1713112200000-0400)/,17.3,5.0,30.0,NBA,DraftKings,2133,2025-09-18T02:34:58.834672+00:00,1724,1302840,0
Cam Whitmore,HOU,SG/SF,4900,31.8,27.7,38.5,13.4,29.32,81.0,5.653061224489796,13826,LAC,LAC,HOU@LAC 12:30 PM,/Date(1713112200000-0400)/,20.0,12.0,30.0,NBA,DraftKings,2133,2025-09-18T02:34:58.834672+00:00,1708,1302785,0
Anthony Davis,LAL,PF/C,10300,28.5,54.39,52.25,34.22,72.16,90.0,5.2805825242718445,13822,NOP,NOP,LAL@NOP 12:30 PM,/Date(1713112200000-0400)/,53.5,21.0,30.0,NBA,DraftKings,2133,2025-09-18T02:34:58.834672+00:00,387,1302690,0
Jaden Hardy,DAL,PG/SG,4400,28.2,34.75,21.0,0.4,18.51,67.0,7.8977272727272725,13830,OKC,OKC,DAL@OKC 12:30 PM,/Date(1713112200000-0400)/,12.1,8.0,30.0,NBA,DraftKings,2133,2025-09-18T02:34:58.834672+00:00,1588,1302812,0
Olivier-Maxence Prosper,DAL,SF/PF,3400,26.4,26.91,26.5,0.0,12.38,40.0,7.9147058823529415,13830,OKC,OKC,DAL@OKC 12:30 PM,/Date(1713112200000-0400)/,5.8,25.0,30.0,NBA,DraftKings,2133,2025-09-18T02:34:58.834672+00:00,1705,1302881,0
De'Aaron Fox,SAC,PG,9400,26.2,47.5,39.5,39.46,56.51,89.0,5.053191489361702,13821,SAC,POR,POR@SAC 12:30 PM,/Date(1713112200000-0400)/,46.0,24.0,30.0,NBA,DraftKings,2133,2025-09-18T02:34:58.834672+00:00,887,1302695,0
Amen Thompson,HOU,PG/SF,6700,25.7,38.22,61.75,20.68,44.73,84.0,5.704477611940298,13826,LAC,LAC,HOU@LAC 12:30 PM,/Date(1713112200000-0400)/,24.2,17.0,30.0,NBA,DraftKings,2133,2025-09-18T02:34:58.834672+00:00,1709,1302730,0
Dalano Banton,POR,PG/SG,7000,25.2,38.41,34.75,22.17,49.2,72.0,5.487142857142857,13821,SAC,SAC,POR@SAC 12:30 PM,/Date(1713112200000-0400)/,18.9,18.0,30.0,NBA,DraftKings,2133,2025-09-18T02:34:58.834672+00:00,1402,1302724,0
Jordan Goodwin,MEM,PG/SG,6000,23.6,34.38,28.0,20.4,41.78,71.0,5.73,13820,MEM,DEN,DEN@MEM 12:30 PM,/Date(1713112200000-0400)/,17.5,8.0,30.0,NBA,DraftKings,2133,2025-09-18T02:34:58.834672+00:00,1474,1302751,0
Kenneth Lofton Jr.,UTA,PF/C,4100,21.5,27.29,19.25,5.45,45.3,40.0,6.65609756097561,13825,GSW,GSW,UTA@GSW 12:30 PM,/Date(1713112200000-0400)/,7.4,23.0,30.0,NBA,DraftKings,2133,2025-09-18T02:34:58.834672+00:00,1603,1302829,0
LeBron James,LAL,SF/PF,10200,18.7,58.39,81.75,44.43,60.82,91.0,5.724509803921569,13822,NOP,NOP,LAL@NOP 12:30 PM,/Date(1713112200000-0400)/,50.3,12.0,30.0,NBA,DraftKings,2133,2025-09-18T02:34:58.834672+00:00,126,1302692,0
James Wiseman,DET,C,4700,17.7,29.56,50.75,9.64,29.71,76.0,6.289361702127659,13828,SAS,SAS,DET@SAS 12:30 PM,/Date(1713112200000-0400)/,15.5,27.0,30.0,NBA,DraftKings,2133,2025-09-18T02:34:58.834672+00:00,1331,1302792,0
Xavier Moon,LAC,PG,3500,17.6,5.25,0.0,3.75,6.75,0.0,1.5,13826,LAC,HOU,HOU@LAC 12:30 PM,/Date(1713112200000-0400)/,3.9,0.0,30.0,NBA,DraftKings,2133,2025-09-18T02:34:58.834672+00:00,1515,1302871,0
Sandro Mamukelashvili,SAS,PF/C,5200,17.1,33.8,29.5,2.44,29.65,65.0,6.499999999999999,13828,SAS,DET,DET@SAS 12:30 PM,/Date(1713112200000-0400)/,9.5,5.0,30.0,NBA,DraftKings,2133,2025-09-18T02:34:58.834672+00:00,1411,1302775,0
Brandon Boston Jr.,LAC,SG,4500,16.0,7.98,33.0,0.0,20.01,44.0,1.7733333333333334,13826,LAC,HOU,HOU@LAC 12:30 PM,/Date(1713112200000-0400)/,7.8,30.0,30.0,NBA,DraftKings,2133,2025-09-18T02:34:58.834672+00:00,1426,1302803,0
Zion Williamson,NOP,PF,8900,14.0,47.62,36.0,32.73,55.3,88.0,5.350561797752809,13822,NOP,LAL,LAL@NOP 12:30 PM,/Date(1713112200000-0400)/,40.0,29.0,30.0,NBA,DraftKings,2133,2025-09-18T02:34:58.834672+00:00,1208,1302700,0
Domantas Sabonis,SAC,C,10200,13.3,53.01,44.75,39.65,57.85,92.0,5.197058823529412,13821,SAC,POR,POR@SAC 12:30 PM,/Date(1713112200000-0400)/,52.7,17.0,30.0,NBA,DraftKings,2133,2025-09-18T02:34:58.834672+00:00,788,1302691,0
Jake LaRavia,MEM,SF/PF,5500,13.2,30.43,41.25,16.53,37.41,80.0,5.532727272727272,13820,MEM,DEN,DEN@MEM 12:30 PM,/Date(1713112200000-0400)/,19.0,10.0,30.0,NBA,DraftKings,2133,2025-09-18T02:34:58.834672+00:00,1606,1302766,0
Chimezie Metu,DET,PF/C,5400,10.7,31.65,15.5,9.65,33.35,73.0,5.861111111111111,13828,SAS,SAS,DET@SAS 12:30 PM,/Date(1713112200000-0400)/,14.3,27.0,30.0,NBA,DraftKings,2133,2025-09-18T02:34:58.834672+00:00,1051,1302770,0
Devonte' Graham,SAS,PG,4400,10.6,24.1,16.75,2.19,21.15,66.0,5.4772727272727275,13828,SAS,DET,DET@SAS 12:30 PM,/Date(1713112200000-0400)/,10.4,3.0,30.0,NBA,DraftKings,2133,2025-09-18T02:34:58.834672+00:00,1007,1302808,0
Jamal Murray,DEN,PG,8000,10.4,39.04,37.0,31.17,54.8,89.0,4.88,13820,MEM,MEM,DEN@MEM 12:30 PM,/Date(1713112200000-0400)/,39.6,5.0,30.0,NBA,DraftKings,2133,2025-09-18T02:34:58.834672+00:00,779,1302710,0
Chet Holmgren,OKC,C,7000,9.6,33.8,25.25,18.75,47.44,86.0,4.828571428571428,13830,OKC,DAL,DAL@OKC 12:30 PM,/Date(1713112200000-0400)/,36.5,6.0,30.0,NBA,DraftKings,2133,2025-09-18T02:34:58.834672+00:00,1623,1302725,0
Kevin Durant,PHX,PF,9000,9.0,39.58,26.0,32.03,48.6,91.0,4.397777777777778,13829,MIN,MIN,PHX@MIN 12:30 PM,/Date(1713112200000-0400)/,47.4,9.0,30.0,NBA,DraftKings,2133,2025-09-18T02:34:58.834672+00:00,535,1302699,0
Mason Plumlee,LAC,C,4200,8.9,20.8,35.75,1.69,17.44,81.0,4.9523809523809526,13826,LAC,HOU,HOU@LAC 12:30 PM,/Date(1713112200000-0400)/,14.1,3.0,30.0,NBA,DraftKings,2133,2025-09-18T02:34:58.834672+00:00,529,1302822,0
Nikola Jokic,DEN,C,12400,8.9,62.69,48.75,50.04,76.99,91.0,5.055645161290323,13820,MEM,MEM,DEN@MEM 12:30 PM,/Date(1713112200000-0400)/,61.2,29.0,30.0,NBA,DraftKings,2133,2025-09-18T02:34:58.834672+00:00,489,1302688,0
Justin Minaya,POR,PF,3700,8.6,16.29,18.0,1.2,12.89,53.0,4.402702702702702,13821,SAC,SAC,POR@SAC 12:30 PM,/Date(1713112200000-0400)/,5.4,7.0,30.0,NBA,DraftKings,2133,2025-09-18T02:34:58.834672+00:00,1635,1302854,0
Anthony Edwards,MIN,SG/SF,9600,8.6,41.0,28.0,31.91,57.87,87.0,4.270833333333334,13829,MIN,PHX,PHX@MIN 12:30 PM,/Date(1713112200000-0400)/,44.3,20.0,30.0,NBA,DraftKings,2133,2025-09-18T02:34:58.834672+00:00,1372,1302694,0
Jalen Williams,OKC,PF,7100,8.5,31.64,14.0,23.71,47.04,89.0,4.456338028169014,13830,OKC,DAL,DAL@OKC 12:30 PM,/Date(1713112200000-0400)/,34.6,2.0,30.0,NBA,DraftKings,2133,2025-09-18T02:34:58.834672+00:00,1621,1302723,0
Zach Collins,SAS,C,5600,8.4,29.45,33.75,15.83,30.7,86.0,5.258928571428572,13828,SAS,DET,DET@SAS 12:30 PM,/Date(1713112200000-0400)/,23.9,22.0,30.0,NBA,DraftKings,2133,2025-09-18T02:34:58.834672+00:00,917,1302760,0
