player_name,team,pos,salary,proj_own_pct,proj_fpts,scored_fpts,floor_fpts,ceil_fpts,conf,value_per_k,game_id,home_team,away_team,matchup,game_ticks,ppg,opp_rank,opp_total,sport,site,slate_id,scraped_at,player_id,salary_id,daily_contest_id
Duop Reath,POR,C,3800,33.6,17.25,0.0,7.48,27.02,66.0,4.5394736842105265,13020,POR,SAS,SAS@POR 7:00 PM,/Date(1703808000000-0500)/,16.3,28.0,30.0,NBA,DraftKings,2027,2025-09-18T02:07:50.429351+00:00,1724,1221434,0
Andre Drummond,CHI,C,7500,31.8,44.64,28.5,7.98,36.39,78.0,5.952,13027,CHI,IND,IND@CHI 5:00 PM,/Date(1703800800000-0500)/,19.7,7.0,30.0,NBA,DraftKings,2027,2025-09-18T02:07:50.429351+00:00,147,1221311,0
Justin Holiday,DEN,SG/SF,3200,30.7,17.0,17.0,2.1,19.06,67.0,5.3125,13026,DEN,MEM,MEM@DEN 6:00 PM,/Date(1703804400000-0500)/,10.5,14.0,30.0,NBA,DraftKings,2027,2025-09-18T02:07:50.429351+00:00,199,1221464,0
Michael Porter Jr.,DEN,SF/PF,6100,30.7,31.87,15.0,21.34,42.84,85.0,5.224590163934427,13026,DEN,MEM,MEM@DEN 6:00 PM,/Date(1703804400000-0500)/,32.3,16.0,30.0,NBA,DraftKings,2027,2025-09-18T02:07:50.429351+00:00,1063,1221342,0
DeMar DeRozan,CHI,SF/PF,8300,24.2,42.85,38.25,33.8,50.26,88.0,5.162650602409638,13027,CHI,IND,IND@CHI 5:00 PM,/Date(1703800800000-0500)/,38.9,20.0,30.0,NBA,DraftKings,2027,2025-09-18T02:07:50.429351+00:00,84,1221297,0
Dante Exum,DAL,PG/SF,6300,18.1,28.83,21.0,13.97,35.78,81.0,4.576190476190476,13023,MIN,MIN,DAL@MIN 5:00 PM,/Date(1703800800000-0500)/,18.1,1.0,30.0,NBA,DraftKings,2027,2025-09-18T02:07:50.429351+00:00,556,1221338,0
LeBron James,LAL,PG/SF,9800,17.9,50.21,40.0,38.06,61.69,91.0,5.123469387755102,13021,LAL,CHA,CHA@LAL 7:30 PM,/Date(1703809800000-0500)/,50.4,29.0,30.0,NBA,DraftKings,2027,2025-09-18T02:07:50.429351+00:00,126,1221286,0
Nikola Jokic,DEN,C,11300,17.6,58.72,66.0,44.35,74.59,91.0,5.19646017699115,13026,DEN,MEM,MEM@DEN 6:00 PM,/Date(1703804400000-0500)/,61.1,13.0,30.0,NBA,DraftKings,2027,2025-09-18T02:07:50.429351+00:00,489,1221281,0
Anthony Davis,LAL,PF/C,10000,16.6,53.68,50.0,46.27,66.55,90.0,5.368,13021,LAL,CHA,CHA@LAL 7:30 PM,/Date(1703809800000-0500)/,53.7,27.0,30.0,NBA,DraftKings,2027,2025-09-18T02:07:50.429351+00:00,387,1221283,0
Kevin Knox II,DET,PF,3500,16.4,18.44,10.5,1.73,29.39,56.99999999999999,5.268571428571429,13022,BOS,BOS,DET@BOS 4:30 PM,/Date(1703799000000-0500)/,11.4,26.0,30.0,NBA,DraftKings,2027,2025-09-18T02:07:50.429351+00:00,962,1221444,0
Derrick Jones Jr.,DAL,SF/PF,5100,16.3,25.02,34.25,13.48,31.45,71.0,4.905882352941177,13023,MIN,MIN,DAL@MIN 5:00 PM,/Date(1703800800000-0500)/,19.9,1.0,30.0,NBA,DraftKings,2027,2025-09-18T02:07:50.429351+00:00,744,1221377,0
Peyton Watson,DEN,PF,3800,14.4,15.32,31.25,7.11,24.39,73.0,4.031578947368422,13026,DEN,MEM,MEM@DEN 6:00 PM,/Date(1703804400000-0500)/,13.2,5.0,30.0,NBA,DraftKings,2027,2025-09-18T02:07:50.429351+00:00,1613,1221433,0
Brandin Podziemski,GSW,PG/SG,5700,14.1,28.34,23.25,14.44,37.84,78.0,4.971929824561403,13025,GSW,MIA,MIA@GSW 7:00 PM,/Date(1703808000000-0500)/,22.6,28.0,30.0,NBA,DraftKings,2027,2025-09-18T02:07:50.429351+00:00,1685,1221360,0
