period_id,contest_id,contest_name,contest_type,entries,buyin,purse
2001,148663,NBA $300K Fadeaway [$100K to 1st],4,23529,15.0,300000.0
2001,148665,NBA Single Entry $5 Double Up,1,919,5.0,4000.0
2001,148667,NBA $35K And-One [20 Entry Max],4,41617,1.0,35000.0
2001,148677,NBA $2 Double Up,1,1149,2.0,2000.0
2001,148745,NBA Showdown $15K Pull Up Jumper [$5K to 1st] (WAS vs CHA),4,1764,10.0,15000.0
2001,148748,NBA Showdown $10K Pull Up Jumper [$2K to 1st] (MIL vs BOS),4,1176,10.0,10000.0
2001,148755,NBA Showdown $100K Fadeaway [$25K to 1st] (DAL vs LAL),4,7843,15.0,100000.0
