period_id,contest_id,contest_name,contest_type,entries,buyin,purse
2070,155267,NBA $2 Double Up,1,1149,2.0,2000.0
2070,155274,NBA $30K And-One [20 Entry Max],4,35671,1.0,30000.0
2070,155278,NBA Single Entry $5 Double Up,1,689,5.0,3000.0
2070,155287,NBA $300K Fadeaway [$100K to 1st],4,23529,15.0,300000.0
2070,155334,NBA Showdown $15K Pull Up Jumper [$5K to 1st] (ATL vs PHI),4,1764,10.0,15000.0
2070,155342,NBA Showdown $10K Pull Up Jumper [$2K to 1st] (CHA vs MIL),4,1176,10.0,10000.0
2070,155348,NBA Showdown $120K Fadeaway [$30K to 1st] (NOP vs LAL),4,9411,15.0,120000.0
