player_name,team,pos,salary,actual_own_pct,contest_id,sport,site,slate_id,scraped_at,player_id,salary_id
Isaiah Jackson,IND,C,5000,92.16,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,1412,1213762
PJ Washington,CHA,PF/C,5900,82.57,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,1173,1213717
Vince Williams Jr.,MEM,SF,4600,81.92,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,1604,1213785
Trae Young,ATL,PG,10000,81.05,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,992,1213613
Santi Aldama,MEM,PF,5500,69.5,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,1441,1213730
Paul George,LAC,SG/SF,8100,55.77,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,166,1213642
Richaun Holmes,DAL,C,3000,37.47,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,65,1213924
Immanuel Quickley,NYK,PG/SG,4800,27.67,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,1280,1213770
Jacob Gilyard,MEM,PG,3800,25.93,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,1601,1213840
Kawhi Leonard,LAC,SF/PF,8600,25.71,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,447,1213631
Clint Capela,ATL,C,6700,22.88,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,422,1213672
Marvin Bagley III,DET,C,4900,15.25,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,1030,1213766
Spencer Dinwiddie,BKN,PG/SG,7500,14.16,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,146,1213649
Jaden Ivey,DET,PG,5300,13.29,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,1544,1213739
Coby White,CHI,PG,7800,11.11,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,1131,1213646
Luka Doncic,DAL,PG,12100,8.93,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,1044,1213606
Marcus Sasser,DET,PG/SG,4300,7.63,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,1659,1213805
Ziaire Williams,MEM,SG/SF,3900,7.19,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,1442,1213834
Desmond Bane,MEM,SG/SF,8900,6.75,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,1362,1213623
Dennis Schroder,TOR,PG,6500,5.66,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,208,1213685
Terry Rozier,CHA,PG/SG,8700,5.45,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,13,1213626
Kris Dunn,UTA,PG/SG,5300,5.45,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,782,1213738
Nic Claxton,BKN,C,6600,4.79,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,1109,1213677
Mikal Bridges,BKN,SF/PF,7700,4.58,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,1028,1213647
Collin Sexton,UTA,PG/SG,7000,3.92,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,977,1213658
Derrick Jones Jr.,DAL,SF,5300,3.7,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,744,1213741
Isaiah Joe,OKC,SG/SF,3900,3.27,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,1284,1213833
Nick Richards,CHA,C,6100,3.27,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,1325,1213704
Alec Burks,DET,SG/SF,4100,3.27,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,553,1213818
Donovan Mitchell,CLE,PG/SG,9900,3.05,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,927,1213614
James Harden,LAC,PG,8500,2.4,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,425,1213636
Nikola Jokic,DEN,C,11700,2.18,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,489,1213607
Xavier Tillman,MEM,C,4800,2.18,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,1358,1213771
James Johnson,IND,PF/C,3000,1.74,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,85,1213934
Tyus Jones,WAS,PG,6600,1.74,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,501,1213682
Julius Randle,NYK,PF/C,8600,1.74,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,338,1213632
Cam Thomas,BKN,PG/SG,7300,1.74,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,1390,1213653
Josh Giddey,OKC,PG/SG,6000,1.53,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,1445,1213713
Jamal Murray,DEN,PG,7200,1.53,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,779,1213655
Daniel Gafford,WAS,C,6000,1.31,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,1132,1213711
Jalen Brunson,NYK,PG,8600,1.31,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,1039,1213633
Bryce McGowens,CHA,SG/SF,5100,1.31,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,1569,1213752
Joel Embiid,PHI,C,11500,1.09,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,63,1213608
Ausar Thompson,DET,SF/PF,6000,1.09,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,1656,1213709
Domantas Sabonis,SAC,C,9800,1.09,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,788,1213615
Patrick Williams,CHI,SF/PF,5900,1.09,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,1288,1213720
Norman Powell,LAC,SG/SF,5500,1.09,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,91,1213727
Terance Mann,LAC,PG/SG,4500,1.09,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,1185,1213791
Cameron Johnson,BKN,PF,6200,87.0,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,1192,1213697
Kevin Huerter,SAC,SG,5500,87.0,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,990,1213726
Pascal Siakam,TOR,PF/C,8500,87.0,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,686,1213634
Keegan Murray,SAC,PF,7000,87.0,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,1580,1213659
Anthony Davis,LAL,PF/C,10400,87.0,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,387,1213611
Precious Achiuwa,TOR,C,4600,87.0,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,1307,1213780
Cade Cunningham,DET,PG/SG,8200,87.0,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,1409,1213641
Markieff Morris,DAL,PF/C,4000,65.0,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,354,1213828
Jaren Jackson Jr.,MEM,PF/C,8300,65.0,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,1059,1213639
Talen Horton-Tucker,UTA,SG/SF,6200,65.0,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,1191,1213696
Jakob Poeltl,TOR,C,6100,65.0,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,685,1213703
Kevin Love,MIA,C,5800,65.0,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,131,1213721
Shai Gilgeous-Alexander,OKC,PG,10500,65.0,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,1016,1213610
Luguentz Dort,OKC,SF,5200,65.0,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,1246,1213746
Lauri Markkanen,UTA,SF/PF,8400,65.0,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,832,1213637
Jalen Williams,OKC,SF/PF,6500,65.0,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,1621,1213687
Scottie Barnes,TOR,PG/SF,9400,65.0,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,1401,1213619
Chris Boucher,TOR,PF,3600,65.0,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,868,1213849
Brandon Miller,CHA,SG/SF,6800,65.0,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,1681,1213667
James Wiseman,DET,C,5900,65.0,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,1331,1213718
Bojan Bogdanovic,DET,SF/PF,6700,65.0,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,23,1213671
OG Anunoby,TOR,SG/SF,6600,65.0,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,828,1213678
Buddy Hield,IND,SG/SF,6300,65.0,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,749,1213693
Josh Richardson,MIA,PG/SG,4700,44.0,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,228,1213779
Dwight Powell,DAL,C,4200,44.0,150666,NBA,DraftKings,2018,2025-09-18T02:05:37.240499+00:00,415,1213813
