player_name,team,pos,salary,actual_own_pct,contest_id,sport,site,slate_id,scraped_at,player_id,salary_id
Amen Thompson,HOU,PG/SG,5300,91.82,155267,NBA,DraftKings,2070,2025-09-18T02:19:28.743293+00:00,1709,1255085
Tobias Harris,PHI,SF/PF,7800,88.08,155267,NBA,DraftKings,2070,2025-09-18T02:19:28.743293+00:00,241,1255042
Cameron Payne,PHI,PG,3800,87.21,155267,NBA,DraftKings,2070,2025-09-18T02:19:28.743293+00:00,542,1255124
Buddy Hield,PHI,SG/SF,5000,78.15,155267,NBA,DraftKings,2070,2025-09-18T02:19:28.743293+00:00,749,1255635
Trae Young,ATL,PG,9300,71.71,155267,NBA,DraftKings,2070,2025-09-18T02:19:28.743293+00:00,992,1255032
Bogdan Bogdanovic,ATL,SG,5900,63.27,155267,NBA,DraftKings,2070,2025-09-18T02:19:28.743293+00:00,884,1255073
Paul Reed,PHI,C,5800,56.74,155267,NBA,DraftKings,2070,2025-09-18T02:19:28.743293+00:00,1283,1255075
Zion Williamson,NOP,PF,7100,44.13,155267,NBA,DraftKings,2070,2025-09-18T02:19:28.743293+00:00,1208,1255051
Onyeka Okongwu,ATL,PF/C,6200,23.5,155267,NBA,DraftKings,2070,2025-09-18T02:19:28.743293+00:00,1305,1255064
Alperen Sengun,HOU,C,9000,21.93,155267,NBA,DraftKings,2070,2025-09-18T02:19:28.743293+00:00,1436,1255034
Eugene Omoruyi,WAS,PF/C,3800,15.75,155267,NBA,DraftKings,2070,2025-09-18T02:19:28.743293+00:00,1490,1255122
CJ McCollum,NOP,PG,6700,13.75,155267,NBA,DraftKings,2070,2025-09-18T02:19:28.743293+00:00,527,1255057
Jalen Johnson,ATL,PF,7400,13.66,155267,NBA,DraftKings,2070,2025-09-18T02:19:28.743293+00:00,1415,1255047
Brandon Ingram,NOP,SG/SF,7700,13.32,155267,NBA,DraftKings,2070,2025-09-18T02:19:28.743293+00:00,734,1255044
Immanuel Quickley,TOR,PG,6800,12.71,155267,NBA,DraftKings,2070,2025-09-18T02:19:28.743293+00:00,1280,1255056
Jabari Smith Jr.,HOU,PF,5400,10.97,155267,NBA,DraftKings,2070,2025-09-18T02:19:28.743293+00:00,1594,1255083
Peyton Watson,DEN,PF/C,4200,9.57,155267,NBA,DraftKings,2070,2025-09-18T02:19:28.743293+00:00,1613,1255108
Cody Martin,CHA,SG,5200,6.79,155267,NBA,DraftKings,2070,2025-09-18T02:19:28.743293+00:00,1176,1255088
Jae Crowder,MIL,SF/PF,4500,4.87,155267,NBA,DraftKings,2070,2025-09-18T02:19:28.743293+00:00,3,1255100
Scottie Barnes,TOR,PG/SF,8500,4.09,155267,NBA,DraftKings,2070,2025-09-18T02:19:28.743293+00:00,1401,1255037
Miles Bridges,CHA,SF/PF,8600,3.83,155267,NBA,DraftKings,2070,2025-09-18T02:19:28.743293+00:00,1006,1255036
Dillon Brooks,HOU,SG/SF,4800,3.83,155267,NBA,DraftKings,2070,2025-09-18T02:19:28.743293+00:00,908,1255094
Herbert Jones,NOP,SF/PF,4400,3.57,155267,NBA,DraftKings,2070,2025-09-18T02:19:28.743293+00:00,1433,1255104
Domantas Sabonis,SAC,C,10300,3.22,155267,NBA,DraftKings,2070,2025-09-18T02:19:28.743293+00:00,788,1255027
