player_name,team,pos,salary,actual_own_pct,contest_id,sport,site,slate_id,scraped_at,player_id,salary_id
Jonathan Isaac,ORL,PF/C,4500,67.93,160663,NBA,DraftKings,2139,2025-09-18T02:36:37.015176+00:00,854,1305586
Jamal Murray,DEN,PG,7800,59.9,160663,NBA,DraftKings,2139,2025-09-18T02:36:37.015176+00:00,779,1305566
Kyle Lowry,PHI,PG/SG,4400,39.44,160663,NBA,DraftKings,2139,2025-09-18T02:36:37.015176+00:00,88,1305587
Jalen Suggs,ORL,PG,5000,39.08,160663,NBA,DraftKings,2139,2025-09-18T02:36:37.015176+00:00,1417,1305583
Anthony Davis,LAL,PF/C,9500,37.65,160663,NBA,DraftKings,2139,2025-09-18T02:36:37.015176+00:00,387,1305560
Mitchell Robinson,NYK,C,4200,36.72,160663,NBA,DraftKings,2139,2025-09-18T02:36:37.015176+00:00,963,1305592
Franz Wagner,ORL,SF,6500,32.62,160663,NBA,DraftKings,2139,2025-09-18T02:36:37.015176+00:00,1418,1305572
Kentavious Caldwell-Pope,DEN,SG,4600,31.65,160663,NBA,DraftKings,2139,2025-09-18T02:36:37.015176+00:00,145,1305585
Michael Porter Jr.,DEN,SF/PF,6200,29.47,160663,NBA,DraftKings,2139,2025-09-18T02:36:37.015176+00:00,1063,1305574
Evan Mobley,CLE,PF/C,6800,28.28,160663,NBA,DraftKings,2139,2025-09-18T02:36:37.015176+00:00,1405,1305569
Josh Hart,NYK,SF/PF,6900,27.23,160663,NBA,DraftKings,2139,2025-09-18T02:36:37.015176+00:00,875,1305568
Nikola Jokic,DEN,C,11500,24.0,160663,NBA,DraftKings,2139,2025-09-18T02:36:37.015176+00:00,489,1305558
LeBron James,LAL,SF/PF,9400,22.87,160663,NBA,DraftKings,2139,2025-09-18T02:36:37.015176+00:00,126,1305561
D'Angelo Russell,LAL,PG,6300,20.99,160663,NBA,DraftKings,2139,2025-09-18T02:36:37.015176+00:00,339,1305573
Bojan Bogdanovic,NYK,SF/PF,3700,20.98,160663,NBA,DraftKings,2139,2025-09-18T02:36:37.015176+00:00,23,1305600
OG Anunoby,NYK,SF/PF,5100,20.86,160663,NBA,DraftKings,2139,2025-09-18T02:36:37.015176+00:00,828,1305582
Donovan Mitchell,CLE,PG/SG,8500,19.76,160663,NBA,DraftKings,2139,2025-09-18T02:36:37.015176+00:00,927,1305563
Jalen Brunson,NYK,PG,9300,19.57,160663,NBA,DraftKings,2139,2025-09-18T02:36:37.015176+00:00,1039,1305562
