player_name,team,pos,salary,proj_own_pct,proj_fpts,scored_fpts,floor_fpts,ceil_fpts,conf,value_per_k,game_id,home_team,away_team,matchup,game_ticks,ppg,opp_rank,opp_total,sport,site,slate_id,scraped_at,player_id,salary_id,daily_contest_id
Pascal Siakam,IND,SF/PF,8400,39.7,42.22,40.75,30.32,53.78,88.0,5.026190476190476,13868,IND,MIL,MIL@IND 4:00 PM,/Date(1714334400000-0400)/,39.7,19.0,30.0,NBA,DraftKings,2145,2025-09-18T02:38:17.146787+00:00,686,1307489,0
Bobby Portis,MIL,PF/C,7300,35.4,36.23,7.75,23.93,43.19,84.0,4.963013698630137,13868,IND,IND,MIL@IND 4:00 PM,/Date(1714334400000-0400)/,28.1,6.0,30.0,NBA,DraftKings,2145,2025-09-18T02:38:17.146787+00:00,114,1307499,0
Joel Embiid,PHI,C,10500,32.5,61.18,58.5,41.29,74.74,90.0,5.826666666666666,13867,PHI,NYK,NYK@PHI 10:00 AM,/Date(1714312800000-0400)/,62.3,27.0,30.0,NBA,DraftKings,2145,2025-09-18T02:38:17.146787+00:00,63,1307484,0
Patrick Beverley,MIL,PG/SG,5300,31.6,29.32,18.75,8.89,29.86,78.0,5.532075471698113,13868,IND,IND,MIL@IND 4:00 PM,/Date(1714334400000-0400)/,16.9,8.0,30.0,NBA,DraftKings,2145,2025-09-18T02:38:17.146787+00:00,420,1307513,0
Andrew Nembhard,IND,PG/SG,4400,31.1,24.07,33.75,14.21,28.26,83.0,5.470454545454545,13868,IND,MIL,MIL@IND 4:00 PM,/Date(1714334400000-0400)/,19.9,24.0,30.0,NBA,DraftKings,2145,2025-09-18T02:38:17.146787+00:00,1548,1307522,0
Myles Turner,IND,C,6800,28.0,37.63,55.75,23.12,44.66,87.0,5.533823529411765,13868,IND,MIL,MIL@IND 4:00 PM,/Date(1714334400000-0400)/,33.0,13.0,30.0,NBA,DraftKings,2145,2025-09-18T02:38:17.146787+00:00,175,1307502,0
Bradley Beal,PHX,PG/SG,6600,26.4,29.42,12.75,26.13,45.47,87.0,4.457575757575758,13870,PHX,MIN,MIN@PHX 6:30 PM,/Date(1714343400000-0400)/,33.9,5.0,30.0,NBA,DraftKings,2145,2025-09-18T02:38:17.146787+00:00,254,1307503,0
T.J. McConnell,IND,PG,4000,24.5,16.43,25.0,17.45,33.36,81.0,4.1075,13868,IND,MIL,MIL@IND 4:00 PM,/Date(1714334400000-0400)/,23.3,28.0,30.0,NBA,DraftKings,2145,2025-09-18T02:38:17.146787+00:00,69,1307532,0
Precious Achiuwa,NYK,PF/C,3300,23.8,11.33,20.25,3.68,26.32,82.0,3.4333333333333336,13867,PHI,PHI,NYK@PHI 10:00 AM,/Date(1714312800000-0400)/,20.5,28.0,30.0,NBA,DraftKings,2145,2025-09-18T02:38:17.146787+00:00,1307,1307553,0
Nickeil Alexander-Walker,MIN,SG/SF,4300,20.4,21.4,18.75,8.25,29.96,76.0,4.976744186046512,13870,PHX,PHX,MIN@PHX 6:30 PM,/Date(1714343400000-0400)/,17.6,13.0,30.0,NBA,DraftKings,2145,2025-09-18T02:38:17.146787+00:00,1204,1307526,0
Anthony Edwards,MIN,SG/SF,8900,20.2,48.41,68.75,29.65,53.57,87.0,5.439325842696628,13870,PHX,PHX,MIN@PHX 6:30 PM,/Date(1714343400000-0400)/,44.2,25.0,30.0,NBA,DraftKings,2145,2025-09-18T02:38:17.146787+00:00,1372,1307487,0
Aaron Nesmith,IND,SG/SF,5200,18.7,26.01,23.25,16.38,28.24,81.0,5.001923076923077,13868,IND,MIL,MIL@IND 4:00 PM,/Date(1714334400000-0400)/,23.1,27.0,30.0,NBA,DraftKings,2145,2025-09-18T02:38:17.146787+00:00,1276,1307514,0
Derrick Jones Jr.,DAL,SF/PF,3700,16.7,16.59,29.25,8.38,21.69,75.0,4.4837837837837835,13869,DAL,LAC,LAC@DAL 12:30 PM,/Date(1714321800000-0400)/,17.0,14.0,30.0,NBA,DraftKings,2145,2025-09-18T02:38:17.146787+00:00,744,1307540,0
Josh Hart,NYK,SF/PF,7400,16.3,41.73,36.25,25.64,51.21,84.0,5.639189189189189,13867,PHI,PHI,NYK@PHI 10:00 AM,/Date(1714312800000-0400)/,29.4,28.0,30.0,NBA,DraftKings,2145,2025-09-18T02:38:17.146787+00:00,875,1307498,0
Ivica Zubac,LAC,C,6200,15.7,32.79,23.0,23.48,41.58,83.0,5.288709677419354,13869,DAL,DAL,LAC@DAL 12:30 PM,/Date(1714321800000-0400)/,28.6,9.0,30.0,NBA,DraftKings,2145,2025-09-18T02:38:17.146787+00:00,735,1307505,0
Karl-Anthony Towns,MIN,PF/C,7000,15.5,34.31,48.5,25.21,45.2,87.0,4.901428571428572,13870,PHX,PHX,MIN@PHX 6:30 PM,/Date(1714343400000-0400)/,39.3,20.0,30.0,NBA,DraftKings,2145,2025-09-18T02:38:17.146787+00:00,512,1307501,0
Paul George,LAC,SG/SF,7600,14.9,30.64,64.0,23.01,52.27,87.0,4.031578947368422,13869,DAL,DAL,LAC@DAL 12:30 PM,/Date(1714321800000-0400)/,38.8,16.0,30.0,NBA,DraftKings,2145,2025-09-18T02:38:17.146787+00:00,166,1307497,0
Tyrese Haliburton,IND,PG,8700,14.7,45.31,38.0,33.74,54.54,88.0,5.208045977011495,13868,IND,MIL,MIL@IND 4:00 PM,/Date(1714334400000-0400)/,46.3,26.0,30.0,NBA,DraftKings,2145,2025-09-18T02:38:17.146787+00:00,1338,1307488,0
Devin Booker,PHX,PG/SG,8200,13.6,39.27,70.75,29.75,55.03,89.0,4.789024390243903,13870,PHX,MIN,MIN@PHX 6:30 PM,/Date(1714343400000-0400)/,45.4,7.0,30.0,NBA,DraftKings,2145,2025-09-18T02:38:17.146787+00:00,346,1307491,0
Jalen Brunson,NYK,PG,9400,12.4,48.77,71.0,40.67,64.55,91.0,5.188297872340426,13867,PHI,PHI,NYK@PHI 10:00 AM,/Date(1714312800000-0400)/,46.0,12.0,30.0,NBA,DraftKings,2145,2025-09-18T02:38:17.146787+00:00,1039,1307485,0
