player_name,team,pos,salary,actual_own_pct,contest_id,sport,site,slate_id,scraped_at,player_id,salary_id
Dante Exum,DAL,PG/SF,5700,63.51,150166,NBA,DraftKings,2012,2025-09-18T02:03:53.226354+00:00,556,1209031
Dereck Lively II,DAL,C,5600,48.4,150166,NBA,DraftKings,2012,2025-09-18T02:03:53.226354+00:00,1702,1209034
Austin Reaves,LAL,SG/SF,5800,45.13,150166,NBA,DraftKings,2012,2025-09-18T02:03:53.226354+00:00,1482,1209030
Kawhi Leonard,LAC,SF/PF,8000,43.39,150166,NBA,DraftKings,2012,2025-09-18T02:03:53.226354+00:00,447,1209001
Julian Strawther,DEN,SG/SF,3500,42.46,150166,NBA,DraftKings,2012,2025-09-18T02:03:53.226354+00:00,1719,1209100
D'Angelo Russell,LAL,PG,6200,24.14,150166,NBA,DraftKings,2012,2025-09-18T02:03:53.226354+00:00,339,1209024
Anthony Davis,LAL,PF/C,9800,22.15,150166,NBA,DraftKings,2012,2025-09-18T02:03:53.226354+00:00,387,1208990
Grant Williams,DAL,PF,4700,19.83,150166,NBA,DraftKings,2012,2025-09-18T02:03:53.226354+00:00,1104,1209056
James Harden,LAC,PG,7800,19.36,150166,NBA,DraftKings,2012,2025-09-18T02:03:53.226354+00:00,425,1209004
Nikola Jokic,DEN,C,11900,19.33,150166,NBA,DraftKings,2012,2025-09-18T02:03:53.226354+00:00,489,1208986
Taurean Prince,LAL,SF,4100,19.3,150166,NBA,DraftKings,2012,2025-09-18T02:03:53.226354+00:00,707,1209078
Coby White,CHI,PG,7200,18.21,150166,NBA,DraftKings,2012,2025-09-18T02:03:53.226354+00:00,1131,1209011
Luka Doncic,DAL,PG,11800,17.74,150166,NBA,DraftKings,2012,2025-09-18T02:03:53.226354+00:00,1044,1208987
Rui Hachimura,LAL,PF,4100,17.3,150166,NBA,DraftKings,2012,2025-09-18T02:03:53.226354+00:00,1165,1209077
Cam Reddish,LAL,SG,4400,17.01,150166,NBA,DraftKings,2012,2025-09-18T02:03:53.226354+00:00,1149,1209063
Malik Monk,SAC,PG/SG,6100,16.9,150166,NBA,DraftKings,2012,2025-09-18T02:03:53.226354+00:00,864,1209027
Derrick White,BOS,PG/SG,6400,16.69,150166,NBA,DraftKings,2012,2025-09-18T02:03:53.226354+00:00,902,1209020
Chimezie Metu,PHX,C,3900,15.99,150166,NBA,DraftKings,2012,2025-09-18T02:03:53.226354+00:00,1051,1209085
Ivica Zubac,LAC,C,6200,14.91,150166,NBA,DraftKings,2012,2025-09-18T02:03:53.226354+00:00,735,1209025
Paul George,LAC,SG/SF,8400,14.48,150166,NBA,DraftKings,2012,2025-09-18T02:03:53.226354+00:00,166,1208998
DeMar DeRozan,CHI,SF/PF,8200,11.13,150166,NBA,DraftKings,2012,2025-09-18T02:03:53.226354+00:00,84,1209000
Jaden Hardy,DAL,PG/SG,4600,10.87,150166,NBA,DraftKings,2012,2025-09-18T02:03:53.226354+00:00,1588,1209057
Patrick Williams,CHI,SF/PF,5700,9.88,150166,NBA,DraftKings,2012,2025-09-18T02:03:53.226354+00:00,1288,1209033
Payton Pritchard,BOS,PG,3800,9.23,150166,NBA,DraftKings,2012,2025-09-18T02:03:53.226354+00:00,1277,1209088
Seth Curry,DAL,SG,4500,8.84,150166,NBA,DraftKings,2012,2025-09-18T02:03:53.226354+00:00,370,1209058
Bradley Beal,PHX,PG/SG,6900,8.51,150166,NBA,DraftKings,2012,2025-09-18T02:03:53.226354+00:00,254,1209013
Tim Hardaway Jr.,DAL,SG/SF,5900,8.07,150166,NBA,DraftKings,2012,2025-09-18T02:03:53.226354+00:00,198,1209028
LeBron James,LAL,SF/PF,9700,7.97,150166,NBA,DraftKings,2012,2025-09-18T02:03:53.226354+00:00,126,1208991
Christian Braun,DEN,SG/SF,4200,7.96,150166,NBA,DraftKings,2012,2025-09-18T02:03:53.226354+00:00,1608,1209075
Trey Lyles,SAC,C,4000,7.88,150166,NBA,DraftKings,2012,2025-09-18T02:03:53.226354+00:00,565,1209083
Keegan Murray,SAC,PF,5900,6.93,150166,NBA,DraftKings,2012,2025-09-18T02:03:53.226354+00:00,1580,1209029
Jrue Holiday,BOS,PG/SG,6700,6.85,150166,NBA,DraftKings,2012,2025-09-18T02:03:53.226354+00:00,393,1209018
De'Aaron Fox,SAC,PG,9600,6.43,150166,NBA,DraftKings,2012,2025-09-18T02:03:53.226354+00:00,887,1208992
Andre Drummond,CHI,C,4800,6.35,150166,NBA,DraftKings,2012,2025-09-18T02:03:53.226354+00:00,147,1209055
Sam Hauser,BOS,SG/SF,4300,6.09,150166,NBA,DraftKings,2012,2025-09-18T02:03:53.226354+00:00,1449,1209066
Devin Booker,PHX,PG/SG,10400,6.07,150166,NBA,DraftKings,2012,2025-09-18T02:03:53.226354+00:00,346,1208988
Olivier-Maxence Prosper,DAL,SF/PF,3700,5.93,150166,NBA,DraftKings,2012,2025-09-18T02:03:53.226354+00:00,1705,1209093
Kristaps Porzingis,BOS,PF/C,7500,5.88,150166,NBA,DraftKings,2012,2025-09-18T02:03:53.226354+00:00,52,1209007
Reggie Jackson,DEN,PG,6300,5.85,150166,NBA,DraftKings,2012,2025-09-18T02:03:53.226354+00:00,152,1209023
Dario Saric,GSW,PF/C,5300,5.82,150166,NBA,DraftKings,2012,2025-09-18T02:03:53.226354+00:00,675,1209041
Klay Thompson,GSW,SG/SF,6400,5.81,150166,NBA,DraftKings,2012,2025-09-18T02:03:53.226354+00:00,308,1209022
Dean Wade,CLE,PF/C,4400,5.64,150166,NBA,DraftKings,2012,2025-09-18T02:03:53.226354+00:00,1136,1209062
Torrey Craig,CHI,PF,4500,5.17,150166,NBA,DraftKings,2012,2025-09-18T02:03:53.226354+00:00,913,1209061
Norman Powell,LAC,SG/SF,5200,5.16,150166,NBA,DraftKings,2012,2025-09-18T02:03:53.226354+00:00,91,1209045
Andrew Wiggins,GSW,SF/PF,5600,5.01,150166,NBA,DraftKings,2012,2025-09-18T02:03:53.226354+00:00,513,1209035
Jaylen Brown,BOS,SG/SF,7900,4.71,150166,NBA,DraftKings,2012,2025-09-18T02:03:53.226354+00:00,658,1209003
Jusuf Nurkic,PHX,C,7400,4.62,150166,NBA,DraftKings,2012,2025-09-18T02:03:53.226354+00:00,494,1209008
