period_id,contest_id,contest_name,contest_type,entries,buyin,purse
2065,154755,NBA $30K And-One [20 Entry Max],4,35671,1.0,30000.0
2065,154761,NBA Single Entry $5 Double Up,1,689,5.0,3000.0
2065,154767,NBA $2 Double Up,1,1149,2.0,2000.0
2065,154775,NBA $333K Fadeaway [$100K to 1st],4,26117,15.0,333000.0
2065,154828,NBA Showdown $20K Pull Up Jumper [$5K to 1st] (ORL vs DET),4,2352,10.0,20000.0
2065,154831,NBA Showdown $30K Fadeaway [$10K to 1st] (PHX vs WAS),4,2352,15.0,30000.0
2065,154843,NBA Showdown $60K Fadeaway [$20K to 1st] (POR vs DEN),4,4705,15.0,60000.0
