bucket,n_slates,mae_A_mean,mae_A_median,mae_A_std,mae_B_mean,mae_B_median,mae_B_std,mae_C_mean,mae_C_median,mae_C_std,mae_D_mean,mae_D_median,mae_D_std,mae_E_mean,mae_E_median,mae_E_std,mae_F_mean,mae_F_median,mae_F_std,mae_M_mean,mae_M_median,mae_M_std,mae_N_mean,mae_N_median,mae_N_std,mae_P_mean,mae_P_median,mae_P_std,winner,A_better,C_better,D_better,E_better,F_better,M_better,N_better,P_better
0-10,11,2.5690822096103436,2.296012336336517,1.691888117233137,2.9055948444929283,2.568145773885705,1.2254921879691882,2.399835067192557,1.8813141334019292,1.555007288118519,2.2193956841457796,1.7751017805080045,1.4762783738712189,2.2124199343421815,1.783346484729533,1.5784571145938053,2.599775374759986,2.291478033352118,1.2120348357645505,,,,,,,6.708972997762778,6.708972997762778,,E,True,True,True,True,True,,,False
10-20,11,6.714468571953135,6.68667612564051,1.2017302331804436,4.957164446420503,5.4044436089259476,1.2104541698469347,7.467947225023672,7.310511453360712,0.7543142334071027,6.81010107341853,6.992504155087623,0.7740479956679395,7.279216058991232,7.4505444711673645,0.7570224728086152,5.477725955519971,5.965694127155449,1.1096984073069414,,,,,,,4.7372628804181005,4.7372628804181005,,B,False,False,False,False,False,,,True
20-30,11,7.098665312836095,7.153849936009424,1.3218054351552977,6.009166058261962,5.6878195144947234,1.127169307691984,7.214588974693004,7.142956795578496,1.4298282326556702,6.677648049938147,6.716088125133938,1.4508721522379735,6.900777476482617,6.932624626673156,1.4009586114193058,7.053451104347803,6.740424756317776,1.1257491645157565,,,,,,,3.7902656881213423,3.7902656881213423,,B,False,False,False,False,False,,,True
30+,11,6.5081640725428,5.816621658620035,1.841888327140361,4.4381866625322095,4.132794195612103,0.9988322973749594,6.0915863602993845,5.765440614676501,1.050096713661331,5.690773186179903,5.288168109700574,0.9224003925465828,5.780797544234017,5.472879784589154,0.9654143873912066,4.480133161373764,4.5187554064924855,0.8481411595215025,,,,,,,4.735754048643237,4.735754048643237,,B,False,False,False,False,False,,,False
