game_date,quality_tier,skip_reason,missing_feature_frac,n_games,n_teams,n_players,has_labels,mae_A,rmse_A,top5_sum_A,max_minutes_A,gini_A,roster_size_A,bench_crush_A,mae_B,rmse_B,top5_sum_B,max_minutes_B,gini_B,roster_size_B,bench_crush_B,mae_C,rmse_C,top5_sum_C,max_minutes_C,gini_C,roster_size_C,bench_crush_C,mae_D,rmse_D,top5_sum_D,max_minutes_D,gini_D,roster_size_D,bench_crush_D,mae_E,rmse_E,top5_sum_E,max_minutes_E,gini_E,roster_size_E,bench_crush_E,mae_F,rmse_F,top5_sum_F,max_minutes_F,gini_F,roster_size_F,bench_crush_F,mae_M,rmse_M,top5_sum_M,max_minutes_M,gini_M,roster_size_M,bench_crush_M,mae_N,rmse_N,top5_sum_N,max_minutes_N,gini_N,roster_size_N,bench_crush_N,mae_P,rmse_P,top5_sum_P,max_minutes_P,gini_P,roster_size_P,bench_crush_P,mae_D_best,best_D_alpha,mae_F_best,best_F_p,mae_N_best,best_N_bench_pool,best_N_core_k,A_wins_mae,C_wins_mae,D_wins_mae,E_wins_mae,F_wins_mae,A_wins_top5,C_wins_top5,D_wins_top5,E_wins_top5,F_wins_top5
2025-11-21,clean,,0.0,9,18,316,True,4.428767892755406,7.063006226632007,155.83418944695808,35.714050637546435,0.3169663443696229,11.777777777777779,9.735967136614923,3.7278215962059575,5.936142671262693,155.27350943484177,34.66490306281096,0.22271488906161727,10.88888888888889,13.055047446291825,4.403247231851451,7.192669776997983,159.74524370139352,36.60951459005665,0.2537784774922258,10.444444444444445,9.644483506720437,4.054373791124321,6.455346656589024,161.0641035009653,38.087640457542385,0.2823039261080927,10.833333333333334,9.574757577143309,4.262706728305977,6.734702433734823,162.59564322468088,38.145803540315995,0.2880413847482668,10.88888888888889,8.559246991423358,3.923160869959992,6.18618468869497,163.19883855914557,37.209044716874025,0.261009782150626,10.88888888888889,11.561326569534792,,,,,,,,,,,,,,,,,,,,,,4.0006022513171775,0.5,3.7278215962059575,1.0,,,,False,False,False,False,False,True,True,True,True,True
2025-11-22,clean,,0.0,7,14,247,True,5.122802652592042,8.343086788024591,159.34241729587163,37.585407599290356,0.33858548412362705,11.714285714285714,8.796021084969265,4.019905539898816,6.291485902746347,154.97178566465118,35.10188400467091,0.21443810884148282,10.714285714285714,12.891133505093276,5.205230378375213,8.549283151187604,162.71875394392785,38.36867664139023,0.26923997638498187,10.428571428571429,8.390074735402546,4.737080064613987,7.631025060786694,162.4704006801485,39.58354608445428,0.2837801593399039,10.642857142857142,8.722922889005257,4.851141342213342,7.880392831665933,164.65333679670476,39.68938806099457,0.2933310033068663,10.714285714285714,7.663599648710782,4.306141374403202,6.566502826345037,162.53702314884438,37.698549038053734,0.2518855195804031,10.714285714285714,11.380545714614284,,,,,,,,,,,,,,,,,,,,,,4.613746488936825,0.5,4.019905539898816,1.0,,,,False,False,False,False,False,True,True,True,True,True
2025-11-23,clean,,0.0,8,16,277,True,4.39399100320735,7.2292528849210855,169.75824441759292,40.1468914232063,0.36474082040527067,11.1875,8.480199058603976,3.81083705389305,6.068687462652437,159.91376113828392,35.88241406563013,0.23616480318293961,10.6875,12.960176098318026,4.505158704894539,7.411890439865204,171.84668529938378,40.63644204366422,0.30485636126792104,10.3125,8.624093911590002,4.253958012699292,6.933374831137118,172.57183981863167,41.39195553635423,0.32540344337736027,10.625,8.626150079458576,4.3556125116608495,7.13100132266114,173.3960001510856,41.346468098940655,0.3287111424797998,10.6875,7.693650731766233,4.163640847817569,6.423918038231887,168.0282175998828,38.53201003117912,0.2756871160770672,10.6875,11.392558505429633,,,,,,,,,,,,,,,,,,,,,,4.253958012699292,0.7,3.81083705389305,1.0,,,,False,False,False,False,False,True,True,True,True,True
2025-11-24,clean,,0.0,10,20,352,True,4.270173475681567,6.937386633839308,162.25691976234896,38.42648966379666,0.3243034341930425,11.3,7.781037033726053,3.8210223961294303,5.935199104934882,157.0298620729174,34.97212784091933,0.2129864422870491,10.6,12.805289931761454,4.296661239103276,7.034548654671326,164.54942234352893,38.95756269477572,0.271245025259495,10.35,7.660821155342911,4.061267702232035,6.3874170428826496,165.13886299270013,39.79639208276491,0.2889096195024952,10.5,8.063238375942234,4.135824795442403,6.5312204670056655,165.6880478739498,39.764966388343154,0.29285324721180833,10.6,7.284968543445136,4.046829492728212,6.1709870592641005,164.62287607259154,37.42398840620849,0.24967438080494078,10.6,11.293114608833497,,,,,,,,,,,,,,,,,,,,,,4.061267702232035,0.7,3.821022396129431,1.0,,,,False,False,False,False,False,True,True,True,True,True
2025-11-25,clean,,0.0,3,6,103,True,5.625719048386129,8.094446190575699,161.9183792029728,39.76819896316649,0.37842828859244554,12.0,8.951575729705633,4.876898109582357,6.932516120350106,158.56999709430332,36.167349057814484,0.22954771939121252,10.666666666666666,11.477070263640357,5.980342502592119,8.53184265741709,166.74679931053225,40.96022799807033,0.2703750334949357,10.333333333333334,8.746057415396486,5.592881304597055,7.949873028255397,166.79858527995586,41.2798523819478,0.2978700186236559,10.5,8.426769734425152,5.733211483627097,8.046555304761085,167.63258524483186,41.440477126756036,0.2995763740759093,10.666666666666666,7.7587064383775655,5.033152709194348,7.2116981148283354,166.39452009634218,38.90013245127246,0.26855652997671664,10.666666666666666,9.952109035947606,,,,,,,,,,,,,,,,,,,,,,5.464356469804454,0.3,4.876898109582357,1.0,,,,False,False,False,False,False,True,True,True,True,True
2025-11-26,clean,,0.0,9,18,318,True,4.400908739825612,6.797368704829909,153.16335836303367,35.595667713341136,0.33001178299180434,12.11111111111111,9.737616579315151,3.694534013647345,5.837927374663586,154.39207310041084,34.54786964315508,0.21239352207255335,10.833333333333334,13.10649770789891,4.235400258741998,6.7987319552049446,156.8174522839674,36.42483849311013,0.24623237841644297,10.555555555555555,9.835086013294358,3.8202245274775444,6.012320129362383,158.86313028162323,37.57137486830505,0.2700271396759311,10.833333333333334,9.899901975951718,3.8977647919974925,6.164154932234739,159.65009804508244,37.6030092694532,0.2750525941449884,10.833333333333334,8.98615589207939,3.7016202052846854,5.81112044276732,162.02108155533213,37.045179916421176,0.249032296452735,10.833333333333334,11.645071397375055,,,,,,,,,,,,,,,,,,,,,,3.6678612568298203,0.5,3.66517115492621,1.1,,,,False,False,False,False,False,False,True,True,True,True
2025-11-27,clean,,0.0,9,18,318,False,,,153.1326680762154,35.11558144115215,0.3313267166433309,12.055555555555555,9.736438689913207,,,156.7425932837153,34.19046688561695,0.21890139936595185,10.777777777777779,12.030434251287181,,,157.72410776754958,36.15642751287618,0.23781346180906246,10.38888888888889,9.43358358497306,,,162.2477798151493,37.553647245909445,0.2788300836997817,10.777777777777779,9.156205473764555,,,162.65906696778902,37.59054598497229,0.28223251658986714,10.777777777777779,8.060533837786224,,,164.6470899430379,36.50760222747523,0.2565915595215253,10.777777777777779,10.600653152699513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,True,True
2025-11-28,clean,,0.0,11,22,387,True,4.293950658535476,6.7053478386221,153.4858513067725,36.28052948770164,0.3299379241502172,12.136363636363637,10.321758931024478,3.6061234023493376,5.615546491916941,154.49920000131007,34.59781994814458,0.21570948419904468,10.909090909090908,13.260149647069783,4.140602936156096,6.69782052877922,158.22708797758926,37.41353584605313,0.24970689658573947,10.545454545454545,9.752532314306913,3.614908679488651,5.730081433706098,160.6302851211738,38.68668869079678,0.2789021600977603,10.909090909090908,10.034923938403283,3.7476559993849916,5.908160403218897,161.81204647217422,38.75053954814788,0.28471833844703415,10.909090909090908,9.037251717748516,3.497953516046576,5.498054645547925,162.42744374815558,37.16687027058349,0.25370400347914135,10.909090909090908,11.793913532483856,,,,,,,,,,,,,,,,,,,,,,3.403084016757842,0.3,3.497953516046576,1.2,,,,False,False,False,False,True,False,True,True,True,True
2025-11-29,clean,,0.0,8,16,281,True,4.7710482863088055,7.989383676365899,159.0278790662059,38.05641756386449,0.3143446063391205,11.375,9.19788108982913,4.287223652269806,6.684871641208768,155.56040136300632,35.02582855451476,0.22384545094535535,10.875,12.605430770937298,4.792544877996624,8.109168904564726,162.17996851215233,38.81668723923313,0.24871751256881008,10.1875,8.57856717390178,4.354099727383259,7.356218646089722,164.1598789449676,39.378212106187114,0.2963766488594962,10.625,8.887048460520825,4.481242440428159,7.496173694231778,164.82367566218844,39.51667667854646,0.2988717026791149,10.875,7.848281575781895,4.38102012279461,6.864170770386271,163.47469371777493,37.64650412955602,0.26251427173345543,10.875,11.088625111632641,,,,,,,,,,,,,,,,,,,,,,4.261638179404441,0.5,4.287223652269806,1.0,,,,False,False,False,False,False,True,True,True,True,True
2025-11-30,clean,,0.0,8,16,280,True,7.754790740995241,10.442042348658347,122.41083636846642,27.473230864063048,0.29300009468839217,15.6875,13.529102975979969,6.769443324943383,9.769376027920524,143.10770993297257,31.13872741363174,0.16580483612614833,11.0,14.820293660985579,7.1547565126988655,11.014823818535302,142.712013194193,32.03534102253399,0.16121068686234802,10.5625,14.4556085059235,6.7929499644685585,10.271187474531391,145.81843362083183,32.92660917798944,0.20290975693240887,11.0,13.868581565889068,7.0473209425834495,10.501687072938246,145.75570603072993,32.86827911724289,0.20250986336512722,11.0,12.837972089731354,6.639501815842571,9.559571677669654,149.48430658680508,33.06248901948031,0.19658261559294546,11.0,13.574890229747389,,,,,,,,,,,,,,,5.491198135299619,8.396520651952596,155.22310223453746,33.91080828281232,0.1647238859268401,13.0,18.235594438658964,6.605784944396165,0.3,6.639501815842571,1.2,,,,False,False,False,False,True,False,False,True,True,True
