bucket,n_slates,mae_A_mean,mae_A_median,mae_A_std,mae_B_mean,mae_B_median,mae_B_std,mae_C_mean,mae_C_median,mae_C_std,mae_D_mean,mae_D_median,mae_D_std,mae_E_mean,mae_E_median,mae_E_std,mae_F_mean,mae_F_median,mae_F_std,mae_M_mean,mae_M_median,mae_M_std,mae_N_mean,mae_N_median,mae_N_std,mae_P_mean,mae_P_median,mae_P_std,winner,A_better,C_better,D_better,E_better,F_better,M_better,N_better,P_better
0-10,7,2.9148348262059174,2.5589970227472807,2.0241404222968153,2.737963111604276,2.45286815085281,1.1643385025102995,2.710414704032249,2.0891185993080943,1.8654814088089768,2.52223088604007,1.910746512928017,1.7708281613200092,2.527326762701398,1.8628847957965757,1.9015355977016934,2.374790332076022,2.1137794082348758,1.1362667218142626,,,,,,,6.708972997762778,6.708972997762778,,F,False,True,True,True,True,,,False
10-20,7,6.521455409473502,6.564517309615443,1.4031369155972697,6.228235351095741,6.460759508167112,1.7408455967391678,7.374188725905792,7.310511453360712,0.7552114156602571,6.67972467317315,6.755324481945963,0.797914989055239,7.113375102227062,7.090310579902845,0.7540250382188746,7.269451996185356,7.347816624802602,1.6426328383290236,,,,,,,4.7372628804181005,4.7372628804181005,,B,False,False,False,False,False,,,True
20-30,7,7.033504994020745,6.729667738977271,1.5766409986582117,8.246714470014991,7.905498434390438,1.5811965851907623,7.152358431391582,7.016283502245855,1.7075328198292794,6.606152328577677,6.371800540297493,1.7399084602529482,6.846860519408752,6.639320785935262,1.6733626398873613,9.611631049692066,9.199020269146773,1.6068693318727025,,,,,,,3.7902656881213423,3.7902656881213423,,D,True,True,True,True,False,,,True
30+,7,6.578240966581674,5.816621658620035,2.163813451257686,4.755819488619074,4.92109842729137,0.8549094303813884,5.956972375424733,5.765440614676501,1.0015538306215015,5.479051430716625,5.288168109700574,0.798650608963375,5.561851479597394,5.472879784589154,0.8556872648334274,5.9862658589330175,6.0928054168264705,0.614708253523938,,,,,,,4.735754048643237,4.735754048643237,,B,False,False,False,False,False,,,True
