game_date,rows,coverage_rolling,coverage_global,coverage_raw,improvement_vs_global,improvement_vs_raw
2025-10-21,69,0.8405797101449275,0.8405797101449275,0.8405797101449275,0.0,0.0
2025-10-22,418,0.9521531100478469,0.9521531100478469,0.9521531100478469,0.0,0.0
2025-10-23,70,0.8142857142857143,0.8142857142857143,0.8142857142857143,0.0,0.0
2025-10-24,416,0.8942307692307693,0.8966346153846154,0.8966346153846154,-0.0024038461538461453,-0.0024038461538461453
2025-10-25,175,0.9085714285714286,0.9085714285714286,0.9085714285714286,0.0,0.0
2025-10-26,313,0.865814696485623,0.8690095846645367,0.8690095846645367,-0.0031948881789136685,-0.0031948881789136685
2025-10-27,382,0.8507853403141361,0.8534031413612565,0.8534031413612565,-0.002617801047120394,-0.002617801047120394
2025-10-28,175,0.8971428571428571,0.8914285714285715,0.8914285714285715,0.005714285714285672,0.005714285714285672
2025-10-29,348,0.9454022988505747,0.9396551724137931,0.9396551724137931,0.005747126436781547,0.005747126436781547
2025-10-30,141,0.9432624113475178,0.9432624113475178,0.9432624113475178,0.0,0.0
2025-10-31,278,0.7913669064748201,0.7913669064748201,0.7913669064748201,0.0,0.0
2025-11-01,211,0.933649289099526,0.933649289099526,0.933649289099526,0.0,0.0
2025-11-02,280,0.9571428571428572,0.95,0.95,0.0071428571428572285,0.0071428571428572285
2025-11-03,316,0.8860759493670886,0.8829113924050633,0.8829113924050633,0.0031645569620252223,0.0031645569620252223
2025-11-04,209,0.8995215311004785,0.8947368421052632,0.8947368421052632,0.004784688995215336,0.004784688995215336
2025-11-05,387,0.8863049095607235,0.8837209302325582,0.8837209302325582,0.0025839793281653423,0.0025839793281653423
2025-11-06,34,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.0,0.0
2025-11-07,385,0.6883116883116883,0.6727272727272727,0.6753246753246753,0.01558441558441559,0.012987012987012991
2025-11-08,281,0.8932384341637011,0.8825622775800712,0.8861209964412812,0.010676156583629859,0.007117437722419906
2025-11-09,246,0.9471544715447154,0.943089430894309,0.943089430894309,0.004065040650406471,0.004065040650406471
2025-11-10,316,0.9018987341772152,0.8955696202531646,0.8955696202531646,0.006329113924050667,0.006329113924050667
2025-11-11,211,0.9241706161137441,0.919431279620853,0.919431279620853,0.004739336492891044,0.004739336492891044
2025-11-12,420,0.9095238095238095,0.9047619047619048,0.9047619047619048,0.004761904761904745,0.004761904761904745
2025-11-13,106,0.8962264150943396,0.8962264150943396,0.8962264150943396,0.0,0.0
2025-11-14,314,0.8280254777070064,0.8280254777070064,0.8280254777070064,0.0,0.0
2025-11-15,176,0.9147727272727273,0.9147727272727273,0.9147727272727273,0.0,0.0
2025-11-16,280,0.8392857142857143,0.8392857142857143,0.8392857142857143,0.0,0.0
2025-11-17,281,0.9145907473309609,0.9145907473309609,0.9145907473309609,0.0,0.0
2025-11-18,209,0.9282296650717703,0.9282296650717703,0.9282296650717703,0.0,0.0
2025-11-19,316,0.8829113924050633,0.8829113924050633,0.8829113924050633,0.0,0.0
2025-11-20,140,0.9,0.8928571428571429,0.8928571428571429,0.0071428571428571175,0.0071428571428571175
