bucket,n_slates,mae_A_mean,mae_A_median,mae_A_std,mae_B_mean,mae_B_median,mae_B_std,mae_C_mean,mae_C_median,mae_C_std,mae_D_mean,mae_D_median,mae_D_std,mae_E_mean,mae_E_median,mae_E_std,winner,A_better,C_better,D_better,E_better
0-10,12,4.393487185227615,3.652519156773473,2.1029115563249454,4.586125987255852,3.8709176980379607,1.5639954278854964,3.5255278614767196,2.572400067378976,2.160979591985294,3.5328235780255777,2.6870350430186813,1.9817643583615099,3.662819991783728,2.779681736436477,1.969417543329627,C,True,True,True,True
10-20,12,6.350736680282452,6.368692597019448,0.8196290015711352,5.322304638192343,4.342299966134681,2.095522021442781,7.2481309998062,6.416468667313756,1.545447611211238,7.0258841394070375,6.218320299431511,1.6485596809585124,6.918535110198463,6.339625577571505,1.6917890613135238,B,False,False,False,False
20-30,12,6.978915444649027,7.199654037379222,0.9575703363933344,6.384545352260827,6.141923764782787,0.7161584649341199,7.437587001332026,7.517981842387259,1.2210428602360557,7.674950024954033,7.7506728007403565,0.9709943922419308,7.537896955466614,7.644553460100292,1.0568390633397124,B,False,False,False,False
30+,12,5.893075121430313,6.506179283766333,1.911494887155471,5.822199422836963,5.782565402124815,1.341170758656287,5.172301981977195,5.705657893588032,1.298941178124699,4.825654960470025,5.2284208278359685,1.1645396962577137,4.875129531729982,5.412034788713558,1.2802533292248088,D,False,True,True,True
