bucket,n_slates,mae_A_mean,mae_A_median,mae_A_std,mae_B_mean,mae_B_median,mae_B_std,mae_C_mean,mae_C_median,mae_C_std,mae_D_mean,mae_D_median,mae_D_std,mae_E_mean,mae_E_median,mae_E_std,mae_F_mean,mae_F_median,mae_F_std,winner,A_better,C_better,D_better,E_better,F_better
0-10,1,7.090830034860552,7.090830034860552,,6.073997213277931,6.073997213277931,,6.083769304531742,6.083769304531742,,5.799656462227531,5.799656462227531,,5.843040007834384,5.843040007834384,,5.748872313814513,5.748872313814513,,F,False,False,True,True,True
10-20,1,7.7177723752715846,7.7177723752715846,,7.7653312543133195,7.7653312543133195,,9.507286236116206,9.507286236116206,,9.37827064057882,9.37827064057882,,9.263039314184295,9.263039314184295,,8.162300943822803,8.162300943822803,,A,True,False,False,False,False
20-30,1,8.538427359569814,8.538427359569814,,7.679486502913935,7.679486502913935,,9.259982463285725,9.259982463285725,,9.414643777028301,9.414643777028301,,9.267971738853577,9.267971738853577,,8.495706259370715,8.495706259370715,,B,False,False,False,False,False
30+,1,7.180150836300756,7.180150836300756,,6.210048433186295,6.210048433186295,,5.524981410504075,5.524981410504075,,5.25164005806188,5.25164005806188,,5.36216036106856,5.36216036106856,,5.453329709526298,5.453329709526298,,D,False,True,True,True,True
