bucket,n_slates,mae_A_mean,mae_A_median,mae_A_std,mae_B_mean,mae_B_median,mae_B_std,mae_C_mean,mae_C_median,mae_C_std,mae_D_mean,mae_D_median,mae_D_std,mae_E_mean,mae_E_median,mae_E_std,mae_F_mean,mae_F_median,mae_F_std,winner,A_better,C_better,D_better,E_better,F_better
0-10,8,3.73337516314018,2.780124368169904,2.139177454662203,4.050524351036326,3.7234583860047232,1.4153024359005353,2.922997383214276,2.1610500529639034,2.0561767082499496,2.9702221259573376,2.2959602624758366,1.8706643304030237,3.09184469782656,2.3810930594401487,1.858523441915468,3.7431767098518067,3.388901159511929,1.4009347226412763,C,True,True,True,True,True
10-20,8,6.205144027824202,6.255210025720232,0.8172919363307207,4.559223631965633,3.8842692263223664,1.686335414773579,6.7749380412364655,6.302095318748375,1.2255858226766974,6.530187867418739,6.014371815148436,1.3338153479966783,6.402593051693161,5.851251979099199,1.4055155955527796,5.054896497725645,4.296321638577565,1.5626935870455056,B,False,False,False,False,False
20-30,8,7.09887683025546,7.199654037379222,0.9624917063258768,6.246824647121278,5.876319450979796,0.6659764280311542,7.414078798728423,7.374764060712222,1.0641113831274198,7.642113762300568,7.550914207294087,0.8537181129515741,7.486458655930974,7.436417624318065,0.8962056930923447,7.163043609767595,6.874767291081055,0.6060329060634209,B,False,False,False,False,False
30+,8,5.853972320551944,6.506179283766333,2.1277889570064654,6.145980479833655,6.185001706241128,1.359973963087228,5.022711602202276,5.723230045865812,1.5394460620212198,4.718441441418644,5.315019149554151,1.386033984442148,4.7734412865454665,5.4204176996283415,1.4999424716369683,5.2036640971734425,5.348810576180753,1.2867127974480856,D,True,True,True,True,True
