Player,Team,Rot_2.0,Starter,Rot_2.5,Rot_3.0
Kris Dunn,LAC,28.848356537158722,1,28.848356537158722,28.848356537158722
Shaedon Sharpe,POR,28.7704563600617,1,28.7704563600617,28.7704563600617
Matas Buzelis,CHI,28.598675083055262,1,28.598675083055262,28.598675083055262
Deandre Ayton,LAL,28.541944187013556,1,28.541944187013556,28.541944187013556
Peyton Watson,DEN,28.49848265742101,1,28.49848265742101,28.49848265742101
Joel Embiid,PHI,28.457831452248353,1,28.457831452248353,28.457831452248353
Moussa Diabaté,CHA,28.356727633377993,1,28.356727633377993,28.356727633377993
Jaden Hardy,DAL,28.335229689706033,1,28.335229689706033,28.335229689706033
Jeremiah Fears,NOP,28.15004339368431,1,28.15004339368431,28.15004339368431
Jalen Duren,DET,28.069574520602693,1,28.069574520602693,28.069574520602693
Zaccharie Risacher,ATL,28.065844038647096,1,28.065844038647096,28.065844038647096
Trae Young,ATL,28.059697294825515,1,28.059697294825515,28.059697294825515
Chet Holmgren,OKC,28.00332881865885,1,28.00332881865885,28.00332881865885
Jared McCain,PHI,27.98936427076445,1,27.98936427076445,27.98936427076445
Terance Mann,BKN,27.947055391117914,1,27.947055391117914,27.947055391117914
Isaiah Hartenstein,OKC,27.937643422926595,1,27.937643422926595,27.937643422926595
Josh Okogie,HOU,27.911739645814556,1,27.911739645814556,27.911739645814556
Austin Reaves,LAL,27.893213883983496,0,27.893213883983496,27.893213883983496
Sandro Mamukelashvili,TOR,27.823372330429013,1,27.823372330429013,27.823372330429013
Kevin Love,UTA,27.647617977229654,1,27.647617977229654,27.647617977229654
Kyle Filipowski,UTA,27.62386670407022,1,27.62386670407022,27.62386670407022
Donovan Clingan,POR,27.44114295974598,1,27.44114295974598,27.44114295974598
Ethan Thompson,IND,27.385894497497258,1,27.385894497497258,27.385894497497258
Russell Westbrook,SAC,27.370495378172926,1,27.370495378172926,27.370495378172926
Harrison Barnes,SAS,27.30515881410209,1,27.30515881410209,27.30515881410209
Ochai Agbaji,TOR,27.191245688569943,1,27.191245688569943,27.191245688569943
Toumani Camara,POR,27.150846779747695,1,27.150846779747695,27.150846779747695
Luguentz Dort,OKC,27.092067477669342,1,27.092067477669342,27.092067477669342
Alex Sarr,WAS,27.053698514903925,1,27.053698514903925,27.053698514903925
Mike Conley,MIN,26.94040473894024,1,26.94040473894024,26.94040473894024
Andrew Wiggins,MIA,26.87821906473914,1,26.87821906473914,26.87821906473914
Bryce McGowens,NOP,26.69455879158404,1,26.69455879158404,26.69455879158404
Khris Middleton,WAS,26.682306453872073,1,26.682306453872073,26.682306453872073
Kel'el Ware,MIA,26.68133863476192,1,26.68133863476192,26.68133863476192
Spencer Jones,DEN,26.64365169967831,1,26.64365169967831,26.64365169967831
Sam Merrill,CLE,26.29237181643893,1,26.29237181643893,26.29237181643893
Bilal Coulibaly,WAS,26.218903318676357,1,26.218903318676357,26.218903318676357
Mark Williams,PHX,26.1915388773507,1,26.1915388773507,26.1915388773507
GG Jackson,MEM,25.930617077319827,1,25.930617077319827,25.930617077319827
Svi Mykhailiuk,UTA,25.867815971469362,1,25.867815971469362,25.867815971469362
Jabari Walker,PHI,25.356094650069707,1,25.356094650069707,25.356094650069707
Isaac Okoro,CHI,25.282661995962343,1,25.282661995962343,25.282661995962343
Jay Huff,IND,25.25492173405626,1,25.25492173405626,25.25492173405626
Jarrett Allen,CLE,25.178067379833188,1,25.178067379833188,25.178067379833188
Nick Smith Jr.,LAL,25.122550563574464,1,25.122550563574464,25.122550563574464
Dean Wade,CLE,24.887940280171065,1,24.887940280171065,24.887940280171065
Tyus Jones,ORL,24.88098203268404,1,24.88098203268404,24.88098203268404
Kris Murray,POR,24.794399566629675,1,24.794399566629675,24.794399566629675
AJ Green,MIL,24.525338748036322,1,24.525338748036322,24.525338748036322
Precious Achiuwa,SAC,24.27578892335886,1,24.27578892335886,24.27578892335886
P.J. Washington,DAL,23.828057950247953,0,23.828057950247953,23.828057950247953
Bub Carrington,WAS,23.819500558691715,0,23.819500558691715,23.819500558691715
Brook Lopez,LAC,23.53274976063943,1,23.53274976063943,23.53274976063943
Jerami Grant,POR,23.07133569748691,0,23.07133569748691,23.07133569748691
Cedric Coward,MEM,22.006561941704536,0,22.006561941704536,22.006561941704536
Dyson Daniels,ATL,21.7708497120086,0,21.7708497120086,21.7708497120086
Isaiah Stewart,DET,21.342766732090194,0,21.342766732090194,21.342766732090194
Jaylon Tyson,CLE,20.557806156115515,0,20.557806156115515,20.557806156115515
Zion Williamson,NOP,19.663771624306904,0,19.663771624306904,19.663771624306904
Naz Reid,MIN,19.375617617072066,0,19.375617617072066,19.375617617072066
Tyler Herro,MIA,19.10321929746563,0,19.10321929746563,19.10321929746563
Jaime Jaquez Jr.,MIA,18.971278952281644,0,18.971278952281644,18.971278952281644
Jamal Shead,TOR,18.935863806712064,0,18.935863806712064,18.935863806712064
Caris LeVert,DET,18.70934793230057,0,18.70934793230057,18.70934793230057
De'Andre Hunter,CLE,18.69204450855047,0,18.69204450855047,18.69204450855047
Victor Wembanyama,SAS,18.69047568510669,0,18.69047568510669,18.69047568510669
Tim Hardaway Jr.,DEN,18.65573456817102,0,18.65573456817102,18.65573456817102
Jordan Clarkson,NYK,18.592233326152137,0,18.592233326152137,18.592233326152137
Isaiah Collier,UTA,18.164297230897446,0,18.164297230897446,18.164297230897446
Reed Sheppard,HOU,18.029227636111177,0,18.029227636111177,18.029227636111177
Jordan Goodwin,PHX,17.69901812802623,0,17.69901812802623,17.69901812802623
Tre Jones,CHI,17.547744724283053,0,17.547744724283053,17.547744724283053
Sidy Cissoko,POR,17.54557523088627,0,17.54557523088627,17.54557523088627
Nique Clifford,SAC,17.43229407757473,0,17.43229407757473,17.43229407757473
Sion James,CHA,17.364210389744446,0,17.364210389744446,17.364210389744446
Brice Sensabaugh,UTA,17.267561200335493,0,17.267561200335493,17.267561200335493
Aaron Wiggins,OKC,17.170151120762153,0,17.170151120762153,17.170151120762153
Jose Alvarado,NOP,17.061153246018616,0,17.061153246018616,17.061153246018616
Cason Wallace,OKC,16.957707216703405,0,16.957707216703405,16.957707216703405
Andre Drummond,PHI,16.95212278759837,0,16.95212278759837,16.95212278759837
Ryan Rollins,MIL,16.916177127076487,0,16.916177127076487,16.916177127076487
Ayo Dosunmu,CHI,16.73956053284055,0,16.73956053284055,16.73956053284055
Corey Kispert,WAS,16.71330079844646,0,16.71330079844646,16.71330079844646
Dennis Schröder,SAC,16.68584989455192,0,16.68584989455192,16.68584989455192
Isaiah Joe,OKC,16.60648260622736,0,16.60648260622736,16.60648260622736
Nicolas Batum,LAC,16.523230952375638,0,16.523230952375638,16.523230952375638
Oso Ighodaro,PHX,16.2525992839112,0,16.2525992839112,16.2525992839112
Danny Wolf,BKN,16.17094875768962,0,16.17094875768962,16.17094875768962
James Wiseman,IND,16.10433146810545,0,16.10433146810545,16.10433146810545
Marvin Bagley III,WAS,16.103341512625114,0,16.103341512625114,16.103341512625114
Bruce Brown,DEN,16.054373282837055,0,16.054373282837055,16.054373282837055
Adem Bona,PHI,16.002487065474597,0,16.002487065474597,16.002487065474597
Tari Eason,HOU,15.862385477340704,0,15.862385477340704,15.862385477340704
Jarred Vanderbilt,LAL,15.687777113331455,0,15.687777113331455,15.687777113331455
Gary Trent Jr.,MIL,15.664916509660111,0,15.664916509660111,15.664916509660111
Jase Richardson,ORL,15.428995318640794,0,15.428995318640794,15.428995318640794
Julian Champagnie,SAS,15.414083084346633,0,15.414083084346633,15.414083084346633
Bogdan Bogdanović,LAC,15.277581276659571,0,15.277581276659571,15.277581276659571
Jett Howard,ORL,15.141408835602808,0,15.141408835602808,15.141408835602808
Jericho Sims,MIL,15.125913907329581,0,15.125913907329581,15.125913907329581
Malik Monk,SAC,15.0,0,15.0,15.0
Javonte Green,DET,15.0,0,15.0,15.0
Yang Hansen,POR,15.0,0,15.0,15.0
Noah Penda,ORL,15.0,0,15.0,15.0
Jaden Ivey,DET,15.0,0,15.0,15.0
Dario Šarić,SAC,15.0,0,15.0,15.0
Eric Gordon,PHI,15.0,0,15.0,15.0
Quenton Jackson,IND,15.0,0,15.0,15.0
Ziaire Williams,BKN,15.0,0,15.0,15.0
Tristan Vukcevic,WAS,15.0,0,15.0,15.0
Kobe Brown,LAC,15.0,0,15.0,15.0
Steven Adams,HOU,15.0,0,15.0,15.0
Jordan Miller,LAC,15.0,0,15.0,15.0
Keon Ellis,SAC,15.0,0,15.0,15.0
Kyle Lowry,PHI,15.0,0,15.0,15.0
D'Angelo Russell,DAL,15.0,0,15.0,15.0
Matisse Thybulle,POR,15.0,0,15.0,15.0
Taylor Hendricks,UTA,15.0,0,15.0,15.0
Dru Smith,MIA,15.0,0,15.0,15.0
Luke Kennard,ATL,15.0,0,15.0,15.0
Jalen Pickett,DEN,15.0,0,15.0,15.0
Robert Williams III,POR,15.0,0,15.0,15.0
Justin Edwards,PHI,15.0,0,15.0,15.0
Nolan Traore,BKN,15.0,0,15.0,15.0
Jonathan Isaac,ORL,15.0,0,15.0,15.0
Walter Clayton Jr.,UTA,15.0,0,15.0,15.0
Collin Murray-Boyles,TOR,15.0,0,15.0,15.0
Ja'Kobe Walter,TOR,15.0,0,15.0,15.0
Pelle Larsson,MIA,15.0,0,15.0,15.0
Tyrese Martin,BKN,15.0,0,15.0,15.0
Cole Anthony,MIL,15.0,0,15.0,15.0
Ryan Dunn,PHX,15.0,0,15.0,15.0
Vít Krejčí,ATL,15.0,0,15.0,15.0
Julian Phillips,CHI,15.0,0,15.0,15.0
Jock Landale,MEM,15.0,0,15.0,15.0
Kentavious Caldwell-Pope,MEM,15.0,0,15.0,15.0
Jevon Carter,CHI,15.0,0,15.0,15.0
Kevin Huerter,CHI,15.0,0,15.0,15.0
Daniel Gafford,DAL,15.0,0,15.0,15.0
Lonzo Ball,CLE,15.0,0,15.0,15.0
Jamaree Bouyea,PHX,15.0,0,15.0,15.0
Branden Carlson,OKC,15.0,0,15.0,15.0
Thomas Bryant,CLE,15.0,0,15.0,15.0
Jaxson Hayes,LAL,15.0,0,15.0,15.0
Jonas Valančiūnas,DEN,15.0,0,15.0,15.0
Brandon Williams,DAL,15.0,0,15.0,15.0
Tyrese Proctor,CLE,15.0,0,15.0,15.0
Asa Newell,ATL,15.0,0,15.0,15.0
Dylan Harper,SAS,15.0,0,15.0,15.0
Kenrich Williams,OKC,15.0,0,15.0,15.0
Mohamed Diawara,NYK,15.0,0,15.0,15.0
Gary Harris,MIL,15.0,0,15.0,15.0
T.J. McConnell,IND,15.0,0,15.0,15.0
Garrison Mathews,IND,15.0,0,15.0,15.0
Ariel Hukporti,NYK,15.0,0,15.0,15.0
Bones Hyland,MIN,15.0,0,15.0,15.0
Alex Caruso,OKC,15.0,0,15.0,15.0
Nae'Qwan Tomlin,CLE,15.0,0,15.0,15.0
Trey Jemison III,NYK,15.0,0,15.0,15.0
Daniss Jenkins,DET,15.0,0,15.0,15.0
Tidjane Salaün,CHA,15.0,0,15.0,15.0
Tre Johnson,WAS,15.0,0,15.0,15.0
Cam Christie,LAC,14.999999999999998,0,14.999999999999998,14.999999999999998
Andre Jackson Jr.,MIL,14.999999999999998,0,14.999999999999998,14.999999999999998
Cody Williams,UTA,14.999999999999998,0,14.999999999999998,14.999999999999998
Nikola Jović,MIA,14.999999999999996,0,14.999999999999996,14.999999999999996
Justin Champagnie,WAS,14.93999999999999,0,14.93999999999999,14.93999999999999
Kyle Anderson,UTA,14.933386417234832,0,14.933386417234832,14.933386417234832
Johnny Furphy,IND,14.928961691656278,0,14.928961691656278,14.928961691656278
Jeremy Sochan,SAS,14.863934947573272,0,14.863934947573272,14.863934947573272
Lindy Waters III,SAS,14.860065052426716,0,14.860065052426716,14.860065052426716
Olivier-Maxence Prosper,MEM,14.852978027756519,0,14.852978027756519,14.852978027756519
Gradey Dick,TOR,14.705463530810714,0,14.705463530810714,14.705463530810714
Keldon Johnson,SAS,14.598896744335908,0,14.598896744335908,14.598896744335908
Julian Strawther,DEN,14.533535354491121,0,14.533535354491121,14.533535354491121
Simone Fontecchio,MIA,14.516891055600414,0,14.516891055600414,14.516891055600414
Day'Ron Sharpe,BKN,14.183756819764373,0,14.183756819764373,14.183756819764373
Ben Saraf,BKN,14.114633922966185,0,14.114633922966185,14.114633922966185
Zach Collins,CHI,14.073081377856175,0,14.073081377856175,14.073081377856175
Jarace Walker,IND,14.00658736150223,0,14.00658736150223,14.00658736150223
Dylan Cardwell,SAC,13.981396609343983,0,13.981396609343983,13.981396609343983
Aaron Holiday,HOU,13.932931123773892,0,13.932931123773892,13.932931123773892
Kobe Sanders,LAC,13.708162053892252,0,13.708162053892252,13.708162053892252
Caleb Love,POR,13.690516736883422,0,13.690516736883422,13.690516736883422
Jaylen Clark,MIN,13.676813593868758,0,13.676813593868758,13.676813593868758
Maxi Kleber,LAL,13.474472288291814,0,13.474472288291814,13.474472288291814
Keaton Wallace,ATL,13.260000000000002,0,13.260000000000002,13.260000000000002
Johni Broome,PHI,13.211999999999994,0,13.211999999999994,13.211999999999994
Orlando Robinson,ORL,13.030150364506605,0,13.030150364506605,13.030150364506605
Terrence Shannon Jr.,MIN,12.939703567476991,0,12.939703567476991,12.939703567476991
Rob Dillingham,MIN,12.923482838654241,0,12.923482838654241,12.923482838654241
Micah Peavy,NOP,12.821680622752861,0,12.821680622752861,12.821680622752861
Nigel Hayes-Davis,PHX,12.538034934806316,0,12.538034934806316,12.538034934806316
Javon Small,MEM,12.471021972243475,0,12.471021972243475,12.471021972243475
Clint Capela,HOU,12.387874353517436,0,12.387874353517436,12.387874353517436
Jamal Cain,ORL,12.373849635493393,0,12.373849635493393,12.373849635493393
Yves Missi,NOP,12.264443760669774,0,12.264443760669774,12.264443760669774
Jae'Sean Tate,HOU,12.259194522708674,0,12.259194522708674,12.259194522708674
Jordan Hawkins,NOP,12.178641962930977,0,12.178641962930977,12.178641962930977
Tre Mann,CHA,11.831166777363896,0,11.831166777363896,11.831166777363896
Josh Green,CHA,11.751253665960435,0,11.751253665960435,11.751253665960435
Liam McNeeley,CHA,11.605091551147245,0,11.605091551147245,11.605091551147245
Dalton Knecht,LAL,11.33407421152188,0,11.33407421152188,11.33407421152188
DeAndre Jordan,NOP,10.483233653646396,0,10.483233653646396,10.483233653646396
Rasheer Fleming,PHX,9.865965065193677,0,9.865965065193677,9.865965065193677
Adou Thiero,LAL,9.235453500186296,0,9.235453500186296,9.235453500186296
Collin Sexton,CHA,8.192488005528425,0,8.192488005528425,8.192488005528425
Jamison Battle,TOR,7.050536469189285,0,7.050536469189285,7.050536469189285
Zeke Nnaji,DEN,6.430464645508874,0,6.430464645508874,6.430464645508874
AJ Johnson,WAS,0.0,0,0.0,0.0
Pacôme Dadiet,NYK,0.0,0,0.0,0.0
Enrique Freeman,MIN,0.0,0,0.0,0.0
Joan Beringer,MIN,0.0,0,0.0,0.0
Rocco Zikarsky,MIN,0.0,0,0.0,0.0
Bismack Biyombo,SAS,0.0,0,0.0,0.0
Kelly Olynyk,SAS,0.0,0,0.0,0.0
Guerschon Yabusele,NYK,0.0,0,0.0,0.0
OG Anunoby,NYK,0.0,0,0.0,0.0
Jalen Brunson,NYK,0.0,0,0.0,0.0
Landry Shamet,NYK,0.0,0,0.0,0.0
Jaden McDaniels,MIN,0.0,0,0.0,0.0
Curtis Jones,DEN,0.0,0,0.0,0.0
Miles Kelly,DAL,0.0,0,0.0,0.0
Joe Ingles,MIN,0.0,0,0.0,0.0
Tyrese Haliburton,IND,0.0,0,0.0,0.0
Trey Alexander,NOP,0.0,0,0.0,0.0
Hunter Dickinson,NOP,0.0,0,0.0,0.0
Craig Porter Jr.,CLE,0.0,0,0.0,0.0
Thanasis Antetokounmpo,MIL,0.0,0,0.0,0.0
Evan Mobley,CLE,0.0,0,0.0,0.0
Nikola Đurišić,ATL,0.0,0,0.0,0.0
Herbert Jones,NOP,0.0,0,0.0,0.0
Jordan Poole,NOP,0.0,0,0.0,0.0
N'Faly Dante,ATL,0.0,0,0.0,0.0
Harrison Ingram,SAS,0.0,0,0.0,0.0
Ousmane Dieng,OKC,0.0,0,0.0,0.0
Nikola Topić,OKC,0.0,0,0.0,0.0
Taurean Prince,MIL,0.0,0,0.0,0.0
Giannis Antetokounmpo,MIL,0.0,0,0.0,0.0
Obi Toppin,IND,0.0,0,0.0,0.0
Karlo Matković,NOP,0.0,0,0.0,0.0
Luke Travers,CLE,0.0,0,0.0,0.0
Thomas Sorber,OKC,0.0,0,0.0,0.0
Carter Bryant,SAS,0.0,0,0.0,0.0
Jordan McLaughlin,SAS,0.0,0,0.0,0.0
Stanley Umude,SAS,0.0,0,0.0,0.0
Jaylin Williams,OKC,0.0,0,0.0,0.0
David Jones Garcia,SAS,0.0,0,0.0,0.0
Drew Peterson,CHA,0.0,0,0.0,0.0
Antonio Reeves,CHA,0.0,0,0.0,0.0
Chris Paul,LAC,0.0,0,0.0,0.0
Jeff Green,HOU,0.0,0,0.0,0.0
Chris Livingston,CLE,0.0,0,0.0,0.0
Malaki Branham,WAS,0.0,0,0.0,0.0
Tamar Bates,DEN,0.0,0,0.0,0.0
Hunter Tyson,DEN,0.0,0,0.0,0.0
Fred VanVleet,HOU,0.0,0,0.0,0.0
Derrick Jones Jr.,LAC,0.0,0,0.0,0.0
Kevin McCullar Jr.,NYK,0.0,0,0.0,0.0
Tosan Evbuomwan,NYK,0.0,0,0.0,0.0
Leonard Miller,MIN,0.0,0,0.0,0.0
Johnny Juzang,MIN,0.0,0,0.0,0.0
Miles McBride,NYK,0.0,0,0.0,0.0
KJ Simpson,CHA,0.0,0,0.0,0.0
Jamir Watkins,WAS,0.0,0,0.0,0.0
Dorian Finney-Smith,HOU,0.0,0,0.0,0.0
Cam Whitmore,WAS,0.0,0,0.0,0.0
Ivica Zubac,LAC,0.0,0,0.0,0.0
Will Riley,WAS,0.0,0,0.0,0.0
Pat Connaughton,CHA,0.0,0,0.0,0.0
Tolu Smith,DET,0.0,0,0.0,0.0
Chaz Lanier,DET,0.0,0,0.0,0.0
Isaac Jones,DET,0.0,0,0.0,0.0
Yanic Konan Niederhäuser,LAC,0.0,0,0.0,0.0
Isaiah Jackson,IND,0.0,0,0.0,0.0
Aaron Nesmith,IND,0.0,0,0.0,0.0
Max Christie,DAL,0.0,0,0.0,0.0
Moussa Cisse,DAL,0.0,0,0.0,0.0
Alijah Martin,TOR,0.0,0,0.0,0.0
DaRon Holmes II,DEN,0.0,0,0.0,0.0
Dereck Lively II,DAL,0.0,0,0.0,0.0
Christian Braun,DEN,0.0,0,0.0,0.0
Chucky Hepburn,TOR,0.0,0,0.0,0.0
Kyrie Irving,DAL,0.0,0,0.0,0.0
Grayson Allen,PHX,0.0,0,0.0,0.0
Luka Dončić,LAL,0.0,0,0.0,0.0
Jalen Green,PHX,0.0,0,0.0,0.0
Nick Richards,PHX,0.0,0,0.0,0.0
Gabe Vincent,LAL,0.0,0,0.0,0.0
Rui Hachimura,LAL,0.0,0,0.0,0.0
Lachlan Olbrich,CHI,0.0,0,0.0,0.0
Kevon Looney,NOP,0.0,0,0.0,0.0
Larry Nance Jr.,CLE,0.0,0,0.0,0.0
Dejounte Murray,NOP,0.0,0,0.0,0.0
Isaiah Livers,PHX,0.0,0,0.0,0.0
Drew Timme,LAL,0.0,0,0.0,0.0
Noa Essengue,CHI,0.0,0,0.0,0.0
Eli John Ndiaye,ATL,0.0,0,0.0,0.0
Ajay Mitchell,OKC,0.0,0,0.0,0.0
Max Strus,CLE,0.0,0,0.0,0.0
Dalen Terry,CHI,0.0,0,0.0,0.0
Christian Koloko,MEM,0.0,0,0.0,0.0
Oscar Tshiebwe,UTA,0.0,0,0.0,0.0
Malik Williams,ATL,0.0,0,0.0,0.0
Trentyn Flowers,CHI,0.0,0,0.0,0.0
Khaman Maluach,PHX,0.0,0,0.0,0.0
Zach Edey,MEM,0.0,0,0.0,0.0
Elijah Harkless,UTA,0.0,0,0.0,0.0
Chris Mañon,LAL,0.0,0,0.0,0.0
Koby Brea,PHX,0.0,0,0.0,0.0
Jusuf Nurkić,UTA,0.0,0,0.0,0.0
Ja Morant,MEM,0.0,0,0.0,0.0
Kristaps Porziņģis,ATL,0.0,0,0.0,0.0
Patrick Williams,CHI,0.0,0,0.0,0.0
RJ Barrett,TOR,0.0,0,0.0,0.0
Amir Coffey,MIL,0.0,0,0.0,0.0
Caleb Martin,DAL,0.0,0,0.0,0.0
Tony Bradley,IND,0.0,0,0.0,0.0
Danté Exum,DAL,0.0,0,0.0,0.0
Drake Powell,BKN,0.0,0,0.0,0.0
A.J. Lawson,TOR,0.0,0,0.0,0.0
Jalen Smith,CHI,0.0,0,0.0,0.0
