Player,Team,Minutes,Starter,Status,Play Prob,Position
Joel Embiid,PHI,28.457831452248353,1,UNK,1.0,BIG
Moussa Diabaté,CHA,28.356727633377993,1,UNK,1.0,W
Jaden Hardy,DAL,28.335229689706033,1,UNK,1.0,G
Jeremiah Fears,NOP,28.15004339368431,1,UNK,1.0,G
Jalen Duren,DET,28.069574520602693,1,UNK,1.0,BIG
Zaccharie Risacher,ATL,28.065844038647096,1,UNK,1.0,W
Trae Young,ATL,28.059697294825515,1,UNK,1.0,G
Chet Holmgren,OKC,28.00332881865885,1,UNK,1.0,BIG
Jared McCain,PHI,27.98936427076445,1,UNK,1.0,G
Terance Mann,BKN,27.947055391117914,1,UNK,1.0,W
Isaiah Hartenstein,OKC,27.937643422926595,1,UNK,1.0,BIG
Josh Okogie,HOU,27.911739645814556,1,UNK,1.0,G
Austin Reaves,LAL,27.893213883983496,0,UNK,1.0,G
Sandro Mamukelashvili,TOR,27.823372330429013,1,UNK,1.0,BIG
Kevin Love,UTA,27.647617977229654,1,UNK,1.0,BIG
Kyle Filipowski,UTA,27.62386670407022,1,UNK,1.0,BIG
Donovan Clingan,POR,27.44114295974598,1,UNK,1.0,BIG
Ethan Thompson,IND,27.385894497497258,1,UNK,1.0,G
Russell Westbrook,SAC,27.370495378172926,1,UNK,1.0,G
Harrison Barnes,SAS,27.30515881410209,1,UNK,1.0,W
Ochai Agbaji,TOR,27.191245688569943,1,UNK,1.0,G
Toumani Camara,POR,27.150846779747695,1,UNK,1.0,W
Luguentz Dort,OKC,27.092067477669342,1,UNK,1.0,G
Alex Sarr,WAS,27.053698514903925,1,UNK,1.0,BIG
Mike Conley,MIN,26.94040473894024,1,UNK,1.0,G
Andrew Wiggins,MIA,26.87821906473914,1,UNK,1.0,W
Bryce McGowens,NOP,26.69455879158404,1,UNK,1.0,G
Khris Middleton,WAS,26.682306453872073,1,UNK,1.0,W
Kel'el Ware,MIA,26.68133863476192,1,UNK,1.0,BIG
Spencer Jones,DEN,26.64365169967831,1,UNK,1.0,W
Sam Merrill,CLE,26.29237181643893,1,UNK,1.0,G
Bilal Coulibaly,WAS,26.218903318676357,1,UNK,1.0,G
Mark Williams,PHX,26.1915388773507,1,UNK,1.0,BIG
GG Jackson,MEM,25.930617077319827,1,UNK,1.0,W
Svi Mykhailiuk,UTA,25.867815971469362,1,UNK,1.0,W
Jabari Walker,PHI,25.356094650069707,1,UNK,1.0,W
Isaac Okoro,CHI,25.282661995962343,1,UNK,1.0,W
Jay Huff,IND,25.25492173405626,1,UNK,1.0,BIG
Jarrett Allen,CLE,25.178067379833188,1,UNK,1.0,BIG
Nick Smith Jr.,LAL,25.122550563574464,1,UNK,1.0,G
Dean Wade,CLE,24.887940280171065,1,UNK,1.0,BIG
Tyus Jones,ORL,24.88098203268404,1,UNK,1.0,G
Kris Murray,POR,24.794399566629675,1,UNK,1.0,W
AJ Green,MIL,24.525338748036322,1,UNK,1.0,G
Precious Achiuwa,SAC,24.27578892335886,1,UNK,1.0,W
P.J. Washington,DAL,23.828057950247953,0,UNK,1.0,W
Bub Carrington,WAS,23.819500558691715,0,UNK,1.0,G
Brook Lopez,LAC,23.53274976063943,1,UNK,1.0,BIG
Jerami Grant,POR,23.07133569748691,0,UNK,1.0,W
Cedric Coward,MEM,22.006561941704536,0,UNK,1.0,G
Dyson Daniels,ATL,21.7708497120086,0,UNK,1.0,G
Isaiah Stewart,DET,21.342766732090194,0,UNK,1.0,BIG
Jaylon Tyson,CLE,20.557806156115515,0,UNK,1.0,W
Zion Williamson,NOP,19.663771624306904,0,UNK,1.0,W
Naz Reid,MIN,19.375617617072066,0,UNK,1.0,BIG
Tyler Herro,MIA,19.10321929746563,0,UNK,1.0,G
Jaime Jaquez Jr.,MIA,18.971278952281644,0,UNK,1.0,G
Jamal Shead,TOR,18.935863806712064,0,UNK,1.0,G
Caris LeVert,DET,18.70934793230057,0,UNK,1.0,G
