game_date,rows,coverage_rolling,coverage_global,coverage_raw,improvement_vs_global,improvement_vs_raw
2025-10-21,35,0.4857142857142857,0.4857142857142857,0.4857142857142857,0.0,0.0
2025-10-22,204,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.0,0.0
2025-10-23,284,0.4295774647887324,0.4295774647887324,0.4295774647887324,0.0,0.0
2025-10-24,170,0.49411764705882355,0.5,0.5,-0.00588235294117645,-0.00588235294117645
2025-10-25,385,0.45194805194805193,0.4597402597402597,0.4597402597402597,-0.007792207792207795,-0.007792207792207795
2025-10-26,313,0.43450479233226835,0.43769968051118213,0.43769968051118213,-0.0031948881789137795,-0.0031948881789137795
2025-10-27,137,0.45985401459854014,0.45985401459854014,0.45985401459854014,0.0,0.0
2025-10-28,385,0.43116883116883115,0.44155844155844154,0.44155844155844154,-0.010389610389610393,-0.010389610389610393
2025-10-29,240,0.39166666666666666,0.39166666666666666,0.39166666666666666,0.0,0.0
2025-10-30,248,0.47580645161290325,0.4798387096774194,0.4798387096774194,-0.0040322580645161255,-0.0040322580645161255
2025-10-31,208,0.47596153846153844,0.47596153846153844,0.47596153846153844,0.0,0.0
2025-11-01,176,0.4602272727272727,0.4602272727272727,0.4602272727272727,0.0,0.0
2025-11-17,175,0.45714285714285713,0.45714285714285713,0.45714285714285713,0.0,0.0
2025-11-18,281,0.4377224199288256,0.4412811387900356,0.4412811387900356,-0.0035587188612100085,-0.0035587188612100085
