game_date,quality_tier,skip_reason,missing_feature_frac,n_games,n_teams,n_players,has_labels,mae_A,rmse_A,top5_sum_A,max_minutes_A,gini_A,roster_size_A,bench_crush_A,mae_B,rmse_B,top5_sum_B,max_minutes_B,gini_B,roster_size_B,bench_crush_B,mae_C,rmse_C,top5_sum_C,max_minutes_C,gini_C,roster_size_C,bench_crush_C,mae_D,rmse_D,top5_sum_D,max_minutes_D,gini_D,roster_size_D,bench_crush_D,mae_E,rmse_E,top5_sum_E,max_minutes_E,gini_E,roster_size_E,bench_crush_E,mae_F,rmse_F,top5_sum_F,max_minutes_F,gini_F,roster_size_F,bench_crush_F,mae_M,rmse_M,top5_sum_M,max_minutes_M,gini_M,roster_size_M,bench_crush_M,mae_N,rmse_N,top5_sum_N,max_minutes_N,gini_N,roster_size_N,bench_crush_N,mae_D_best,best_D_alpha,mae_F_best,best_F_p,mae_N_best,best_N_bench_pool,best_N_core_k,A_wins_mae,C_wins_mae,D_wins_mae,E_wins_mae,F_wins_mae,M_wins_mae,N_wins_mae,A_wins_top5,C_wins_top5,D_wins_top5,E_wins_top5,F_wins_top5,M_wins_top5,N_wins_top5
2025-11-01,clean,,0.0,8,16,280,True,4.526817497008416,5.731532389616136,155.5014168809538,37.49576070739416,0.47747747086124476,17.5,6.7639357914930365,4.331493476550129,6.552683947980578,147.74466408723313,32.16590201333781,0.18517412552197823,10.9375,14.642900166965006,3.853901652975035,5.941206613791885,171.28758052844756,41.19718382533245,0.33194244780390914,10.9375,6.656869288141877,3.910186455835447,5.782658789310426,168.63371070991207,39.9794532474304,0.31440994816308604,10.9375,7.787832187830405,3.919906416286338,5.857633019528811,166.9403385877209,39.84033862174404,0.304310537562699,10.9375,8.731102886334515,4.332968615064817,6.44751402556356,154.6991617954434,34.22692598382808,0.21863099421985627,10.9375,13.322268601264746,3.5189084878668067,5.127069072157618,133.77748998046178,29.1544521993781,0.42749266931495816,15.4375,12.024401666865248,3.57003560049603,4.998990832585257,138.1980377581109,30.034700152161562,0.4433198852465327,15.0625,11.364961454454253,3.8539016208907366,1.0,4.30454248381883,1.1,3.2663065044598034,70.0,6.0,False,True,True,True,False,True,True,True,True,True,True,True,False,False
2025-11-02,clean,,0.0,8,16,280,False,,,155.45105597138502,37.41425972102095,0.47577042122984003,17.5,6.753935257223398,,,148.15063319310548,32.28706765766998,0.1849248687554524,10.9375,14.663962643039387,,,171.49263967556053,41.21592565773377,0.3313551397861396,10.9375,6.987779694423849,,,168.92481792060488,40.01201497313893,0.31414527845332085,10.9375,8.079094161752959,,,167.1542753474021,39.851494421761444,0.303854588344369,10.9375,8.885507136597234,,,155.1988728793034,34.38357254978624,0.2185558427101299,10.9375,13.346837301540948,,,133.02910754972802,29.02436874816241,0.4233521393539127,15.375,12.070293738893232,,,138.194634800566,30.074264581508174,0.4420901258700649,15.125,11.3157897314507,,,,,,,,,,,,,,,True,True,True,True,True,False,False
2025-11-03,clean,,0.0,8,16,280,False,,,153.5291778557414,37.90130088853722,0.4766555585598261,17.5,7.32505447062656,,,148.355016557548,32.398351949956016,0.19040874495470628,11.0,14.37439838828546,,,168.34466038040188,41.41840140013132,0.3255214729476327,11.0,7.900219384364293,,,166.96022785995098,40.02357305095431,0.31220805652729394,11.0,8.614221231809507,,,165.4267683090491,40.04306198077245,0.3031667509053532,11.0,9.275535663077314,,,155.54944897155963,34.54597897349029,0.22482647474813097,11.0,13.040493453209747,,,129.96878126531635,28.572901452701707,0.4093835898873531,15.75,13.032473118946964,,,137.95490583045574,30.32578084335867,0.4386395143558176,15.1875,11.847928538560527,,,,,,,,,,,,,,,True,True,True,True,True,False,False
2025-11-04,clean,,0.0,8,16,280,False,,,154.9810502475632,37.71163274745774,0.48061093811316236,17.5,7.618563001497793,,,149.78492218788023,32.53142172016696,0.1914269972721325,10.9375,14.105558027150154,,,169.51102733043695,41.242937803015366,0.32354968530295203,10.9375,8.174593034139189,,,168.37256975263625,39.7882378311447,0.311600343613034,10.9375,8.7127952045457,,,166.92504020614194,39.85817311218844,0.3041360182706079,10.9375,9.023623124468859,,,157.09294594354552,34.658610686227156,0.22612882359947656,10.9375,12.738732332469269,,,126.71249968660331,27.88590168394576,0.389709208074265,16.3125,13.193461789243617,,,137.55198740186574,30.29733238274715,0.42999441131327976,15.3125,11.525089524746221,,,,,,,,,,,,,,,True,True,True,True,True,False,False
2025-11-05,clean,,0.0,8,16,280,False,,,154.37503321331891,37.615540301607396,0.4790561395005869,17.5,7.803873105419684,,,148.66065791184855,32.267987856036775,0.18908226875314063,11.0,14.479363055818038,,,169.08053527665004,41.19631376737308,0.32550421656650075,11.0,8.049037174061247,,,167.5065205276607,39.82471499839767,0.31185588750091003,11.0,8.797502747112624,,,166.15546083993473,39.85018429895183,0.30355254572590984,11.0,9.076722331797438,,,155.99457291708643,34.38976640150689,0.22386586762130734,11.0,13.153849299031537,,,125.757304025775,27.827494003799167,0.3860442699009788,16.25,13.434470790611309,,,137.61727093222117,30.4758576595115,0.43007116665315803,15.3125,11.626731375016451,,,,,,,,,,,,,,,True,True,True,True,True,False,False
2025-11-06,clean,,0.0,8,16,280,False,,,152.56026378945168,35.867902292859554,0.47033003456949385,17.375,7.946508214837932,,,148.78223099782997,32.321704645000004,0.19071379496213048,11.0,14.265106221476472,,,166.87377224156936,39.19947276526656,0.3079944189445376,11.0,8.358242446195518,,,165.9697772598363,38.73000967641299,0.300678345199542,11.0,8.928418387139464,,,164.85943818781374,38.62492120843727,0.29386802029674974,11.0,9.335014861633681,,,156.11340553918336,34.450985769835654,0.22558197533433982,11.0,12.917703773808771,,,126.83738686960878,27.752455309292273,0.3911867627982074,15.875,13.373510617567206,,,137.4554846559738,30.088109396233776,0.4306152402406964,15.75,11.722174411166176,,,,,,,,,,,,,,,True,True,True,True,True,False,False
2025-11-07,clean,,0.0,8,16,280,False,,,151.7204847494999,35.75659863058691,0.4672684524200117,17.375,7.951119456889183,,,148.41485701235635,32.080427093037585,0.18888164377088004,11.0,14.274985965506097,,,165.97661918481532,39.08449726801214,0.3036826065387981,11.0,8.427127247283446,,,164.71485428993583,38.51143760048743,0.29514867503463127,11.0,8.938675668663691,,,163.6822631367123,38.43164184050043,0.2888268578990322,11.0,9.531512688563666,,,155.69555179010814,34.15417117722678,0.22342753491828382,11.0,12.931768782318663,,,126.22766214560053,27.679716445388504,0.3884076280194658,15.8125,13.091235441149522,,,137.4493094520425,30.15420492677429,0.4301917558827774,15.75,11.385352004618191,,,,,,,,,,,,,,,True,True,True,True,True,False,False
2025-11-08,skipped,too_many_missing_features (9/58),0.15517241379310345,8,16,280,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,
2025-11-09,skipped,too_many_missing_features (9/58),0.15517241379310345,7,14,246,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,
2025-11-10,skipped,too_many_missing_features (9/58),0.15517241379310345,9,18,316,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,,
