game_date,rows,coverage_rolling,coverage_global,coverage_raw,improvement_vs_global,improvement_vs_raw
2025-10-21,35,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0,0.0
2025-10-22,204,0.9754901960784313,0.9754901960784313,0.9754901960784313,0.0,0.0
2025-10-23,284,0.954225352112676,0.954225352112676,0.954225352112676,0.0,0.0
2025-10-24,170,0.8764705882352941,0.8823529411764706,0.8823529411764706,-0.00588235294117645,-0.00588235294117645
2025-10-25,385,0.9428571428571428,0.9428571428571428,0.9428571428571428,0.0,0.0
2025-10-26,313,0.9169329073482428,0.9201277955271565,0.9201277955271565,-0.0031948881789136685,-0.0031948881789136685
2025-10-27,137,0.8905109489051095,0.8905109489051095,0.8905109489051095,0.0,0.0
2025-10-28,385,0.9116883116883117,0.9194805194805195,0.9194805194805195,-0.007792207792207795,-0.007792207792207795
2025-10-29,240,0.9708333333333333,0.9708333333333333,0.9708333333333333,0.0,0.0
2025-10-30,248,0.9717741935483871,0.9758064516129032,0.9758064516129032,-0.0040322580645161255,-0.0040322580645161255
2025-10-31,208,0.9038461538461539,0.9038461538461539,0.9038461538461539,0.0,0.0
2025-11-01,176,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.0,0.0
2025-11-17,175,0.8514285714285714,0.8514285714285714,0.8514285714285714,0.0,0.0
2025-11-18,281,0.9501779359430605,0.9501779359430605,0.9501779359430605,0.0,0.0
