game_date,rows,coverage_rolling,coverage_global,coverage_raw,improvement_vs_global,improvement_vs_raw
2025-10-21,35,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0,0.0
2025-10-22,204,0.9313725490196079,0.9313725490196079,0.9313725490196079,0.0,0.0
2025-10-23,284,0.9612676056338029,0.9612676056338029,0.9612676056338029,0.0,0.0
2025-10-24,170,0.8705882352941177,0.8705882352941177,0.8705882352941177,0.0,0.0
2025-10-25,385,0.8935064935064935,0.8935064935064935,0.8935064935064935,0.0,0.0
2025-10-26,313,0.8881789137380192,0.8945686900958466,0.8945686900958466,-0.006389776357827448,-0.006389776357827448
2025-10-27,137,0.8321167883211679,0.8394160583941606,0.8394160583941606,-0.007299270072992692,-0.007299270072992692
2025-10-28,385,0.8597402597402597,0.8597402597402597,0.8597402597402597,0.0,0.0
2025-10-29,240,0.9291666666666667,0.925,0.925,0.004166666666666652,0.004166666666666652
2025-10-30,248,0.9112903225806451,0.9112903225806451,0.9112903225806451,0.0,0.0
2025-10-31,208,0.8701923076923077,0.8701923076923077,0.8701923076923077,0.0,0.0
2025-11-01,176,0.9375,0.9375,0.9375,0.0,0.0
2025-11-17,175,0.8628571428571429,0.8628571428571429,0.8628571428571429,0.0,0.0
2025-11-18,281,0.9323843416370107,0.9288256227758007,0.9288256227758007,0.003558718861209953,0.003558718861209953
