game_date,quality_tier,skip_reason,missing_feature_frac,n_games,n_teams,n_players,has_labels,mae_A,rmse_A,top5_sum_A,max_minutes_A,gini_A,roster_size_A,bench_crush_A,mae_B,rmse_B,top5_sum_B,max_minutes_B,gini_B,roster_size_B,bench_crush_B,mae_C,rmse_C,top5_sum_C,max_minutes_C,gini_C,roster_size_C,bench_crush_C,A_wins_top5,C_wins_top5,A_wins_mae,C_wins_mae
2025-11-23,skipped,too_many_missing_features (9/58),0.15517241379310345,8,16,277,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,False,False,,
2025-11-24,skipped,too_many_missing_features (9/58),0.15517241379310345,10,20,352,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,False,False,,
2025-11-25,skipped,too_many_missing_features (9/58),0.15517241379310345,3,6,103,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,False,False,,
2025-11-26,skipped,too_many_missing_features (9/58),0.15517241379310345,9,18,318,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,False,False,,
2025-11-27,skipped,too_many_missing_features (9/58),0.15517241379310345,9,18,318,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,False,False,,
2025-11-28,skipped,too_many_missing_features (9/58),0.15517241379310345,11,22,387,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,False,False,,
2025-11-29,skipped,too_many_missing_features (9/58),0.15517241379310345,8,16,281,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,False,False,,
2025-11-30,skipped,too_many_missing_features (9/58),0.15517241379310345,8,16,280,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,False,False,,
2025-12-01,skipped,too_many_missing_features (9/58),0.15517241379310345,9,18,314,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,False,False,,
2025-12-02,skipped,too_many_missing_features (9/58),0.15517241379310345,6,12,212,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,False,False,,
2025-12-03,skipped,too_many_missing_features (9/58),0.15517241379310345,9,18,317,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,False,False,,
2025-12-04,skipped,too_many_missing_features (9/58),0.15517241379310345,5,10,174,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,False,False,,
2025-12-05,skipped,too_many_missing_features (9/58),0.15517241379310345,12,24,420,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,False,False,,
2025-12-06,skipped,too_many_missing_features (9/58),0.15517241379310345,6,12,210,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,False,False,,
2025-12-07,skipped,too_many_missing_features (9/58),0.15517241379310345,2,4,70,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,False,False,,
2025-12-08,skipped,too_many_missing_features (9/58),0.15517241379310345,3,6,107,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,False,False,,
2025-12-09,skipped,too_many_missing_features (9/58),0.15517241379310345,2,4,68,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,False,False,,
2025-12-10,skipped,too_many_missing_features (9/58),0.15517241379310345,2,4,70,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,False,False,,
2025-12-11,skipped,too_many_missing_features (9/58),0.15517241379310345,4,8,140,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,False,False,,
2025-12-12,skipped,too_many_missing_features (9/58),0.15517241379310345,7,14,247,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,False,False,,
2025-12-13,skipped,too_many_missing_features (9/58),0.15517241379310345,2,4,70,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,False,False,,
2025-12-14,skipped,integrity_failed: incomplete_rosters (min 1 players),0.0,8,22,309,False,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,False,False,,
